SL. No.,Category,States/U.Ts/Cities,Murder - 1973,Murder - 1974,Murder - Percentage Variation,Kidnapping & Abduction - 1973,Kidnapping & Abduction - 1974,Kidnapping & Abduction - Percentage Variation,Dacoity - 1973,Dacoity - 1974,Dacoity - Perentage Variation,Robbery - 1973,Robbery - 1974,Robbery - Percentage Variation,Burglary - 1973,Burglary - 1974,Burglary - Percentage Variation,Thefts - 1973,Thefts - 1974,Thefts - Percentage Variation,Riots - 1973,Riots - 1974,Riots - Percentage Variation,Criminal Breach of Trust - 1973,Criminal Breach of Trust - 1974,Criminal Breach of Trust - Percentage Variation,Cheating - 1973,Cheating - 1974,Cheating - Percentage Variation,Counterfeiting - 1973,Counterfeiting - 1974,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1973,Total Cognizable Crime - 1974,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh,1247,1163,-6.7,159,185,16.4,191,176,-7.8,221,246,11.3,6383,6408,0.4,12437,16724,34.5,3144,2737,-12.9,598,534,-10.7,570,602,5.6,65,130,100,51268,55601,8.4
2,State,Assam,466,498,6.9,472,468,-0.8,253,374,47.8,351,437,24.5,5723,7112,24.3,8432,11168,32.4,3819,3971,4,459,555,20.9,377,477,26.5,6,3,-50,32007,36238,13.2
3,State,Bihar,1716,1946,13.4,713,737,3.4,1973,2994,51.8,1420,1921,35.3,18410,21121,14.7,29499,31752,7.6,12498,14474,15.8,1315,1235,-6.1,775,760,-1.9,66,56,-15.2,92068,101100,9.8
4,State,Gujarat,765,927,21.2,317,387,22.1,130,435,234.6,530,692,30.6,5185,6577,26.8,15424,19439,26,915,3572,290.4,1111,1109,-0.2,743,681,-8.3,6,16,166.7,45421,55829,22.9
5,State,Haryana,216,222,2.8,129,126,-2.3,6,10,66.7,30,32,6.7,1618,1797,11.1,2664,2862,7.4,105,74,-29.5,273,321,17.6,160,252,57.5,3,1,-66.7,9388,10194,8.6
6,State,Himachal Pradesh,66,60,-9.1,66,84,27.3,1,10,900,29,39,34.5,458,567,23.8,615,683,11.1,144,177,22.9,97,86,-11.3,67,90,34.3,NA,NA,NA,3342,3783,13.2
7,State,Jammu & Kashmir,90,86,-4.4,226,284,25.7,14,9,-35.7,10,17,70,925,1245,34.6,1117,1685,50.8,671,879,31,93,109,17.2,63,108,71.4,NA,2,NA,6622,8693,31.3
8,State,Karnataka,712,785,10.2,133,177,33.1,260,168,-35.4,224,222,-0.9,8287,8621,4,13554,16156,19.2,2877,2842,-1.2,677,804,18.8,783,1008,28.7,34,73,114.7,44401,49023,10.4
9,State,Kerala,523,552,5.5,80,79,-1.2,49,51,4.1,186,162,-12.9,4574,4417,-3.4,5270,5724,8.6,5695,5216,-8.4,499,339,-32.1,275,336,22.2,47,31,-34,41848,43124,3
10,State,Madhya Pradesh,1737,2002,15.3,700,743,6.1,372,487,30.9,1333,1644,23.3,22526,25485,13.1,40499,46999,16,3259,3759,15.3,1138,1282,12.6,1265,1475,16.6,20,49,145,110811,127302,14.9
11,State,Maharashtra,1455,1695,16.5,595,590,-0.8,723,683,-5.5,2598,2991,15.1,21707,23425,7.9,59965,69073,15.2,2552,3015,18.1,3857,3680,-4.6,2034,2061,1.3,77,59,-23.4,128992,144432,12
12,State,Manipur,44,32,-27.3,169,187,10.6,12,27,125,21,39,85.7,274,389,42,530,879,65.8,169,180,6.5,55,82,49.1,89,118,32.6,1,1,0,2201,2820,28.1
13,State,Meghalaya,48,48,0,26,15,-42.3,9,15,66.7,23,32,39.1,155,161,3.9,412,713,73.1,86,66,-23.3,37,41,10.8,20,33,65,NA,NA,NA,1322,1566,18.5
14,State,Nagaland,46,54,17.4,32,19,-40.6,36,21,-41.7,61,39,-36.1,166,276,66.4,441,549,24.5,37,52,40.5,42,32,-23.8,41,25,-39,NA,NA,NA,918,1088,18.5
15,State,Orissa,406,453,11.6,105,99,-5.7,152,277,82.2,357,389,9,6140,6519,6.2,12512,11702,-6.5,1807,2156,19.3,544,598,9.9,563,244,-56.7,4,20,400,31252,32207,3.1
16,State,Punjab,714,659,-7.7,311,272,-12.5,8,8,0,55,51,-7.3,1561,1685,7.9,2639,2903,10,50,52,4,85,350,-9.1,298,355,19.1,7,2,-71.4,12511,12878,2.9
