SL. No.,Year,Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered
1,1969,3052.5,21.9
2,1970,3614,22.1
3,1971,3854.6,22.9
4,1972,4542,26.2
5,1973,5315,24.1
6,1974,6909.7,28.3
