SL. No.,Ranks,Killed,Injured
1,Constables,149,3925
2,Head Constables,13,560
3,Assistant Sub-Inspectors,5,113
4,Sub-Inspectors,14,416
5,Inspectors,6,133
6,Other Gazetted Police Officers,3,101
