SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1964,63468,2690,66158,4.1
2,1967,66719,5390,72109,7.5
3,1968,68657,4801,73458,6.5
4,1969,74092,4776,78868,6.1
5,1970,94617,4228,98845,4.3
6,1971,97987,5432,103419,5.3
7,1972,120953,7228,128181,5.6
8,1973,122192,5550,127742,4.3
9,1974,132125,8514,140639,6.1
Percentage Change Over 1964,Percentage Change Over 1964,108.2,216.5,112.6,NA
Percentage Change Over 1973,Percentage Change Over 1973,8.1,53.4,10.1,NA
