SL. No.,Crime Heads,Persons Arrested - 1973,Persons Arrested - 1974,Percentage Variation in 1974 Over 1973,Percentage to Total Arrested
1,Total Cognizable Crimes,1380530,1474217,6.8,100
2,Murder,41117,44926,9.3,3.1
3,Kidnapping & Abduction,13278,13063,-1.6,0.9
4,Dacoity,45408,54726,20.5,3.7
5,Robbery,19119,23170,21.2,1.6
6,Burglary,107892,121153,12.3,8.2
7,Thefts,222437,257554,15.8,17.5
8,Riots,411794,423318,2.8,28.7
9,Criminal Breach of Trust,13809,14931,8.1,1
10,Cheating,11516,11915,NA,0.8
11,Counterfeiting,330,460,39.4,0.03
12,Miscellaneous,493830,509001,3.1,34.5
