SL. No.,Year,Estimated Population in Millions,Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1964,468.2,759013,162.1
2,1965,478.5,751615,157.1
3,1966,489.1,794733,162.5
4,1967,499.9,881981,176.4
5,1968,511.1,862016,168.7
6,1969,522.5,845167,161.8
7,1970,534.3,955422,178.8
8,1971,546.4,952581,174.3
9,1972,557.9,984773,176.5
10,1973,573.4,1077181,187.9
11,1974,586.1,1192277,203.4
Percentage Increase from 1964-1974,Percentage Increase from 1964-1974,25.2,57.1,25.5
