Sr. No.,Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - below 10,Number of Police Stations (Sanctioned Strength) - (11 - 20),Number of Police Stations (Sanctioned Strength) - (21 - 30),Number of Police Stations (Sanctioned Strength) - (31 - 40),Number of Police Stations (Sanctioned Strength) - (41 - 50),Number of Police Stations (Sanctioned Strength) - 51 and above
1,State,Andhra Pradesh,41,824,298,178,78,146
2,State,Arunachal Pradesh,0,58,11,0,0,0
3,State,Assam,41,74,44,39,34,0
4,State,Bihar,284,370,64,14,12,13
5,State,Chhattisgarh,8,135,58,69,17,26
6,State,Goa,1,0,0,1,1,22
7,State,Gujarat,0,10,57,87,93,220
8,State,Haryana,42,58,46,20,43,0
9,State,Himachal Pradesh,0,45,33,2,2,2
10,State,Jammu & Kashmir,2,0,8,21,36,104
11,State,Jharkhand,81,143,50,24,9,22
12,State,Karnataka,0,20,132,275,170,208
13,State,Kerala,1,8,90,217,70,56
14,State,Madhya Pradesh,45,140,220,200,140,185
15,State,Maharashtra,2,88,126,145,123,457
16,State,Manipur,1,41,7,0,2,5
17,State,Meghalaya,3,4,9,12,2,0
18,State,Mizoram,1,16,12,2,1,2
19,State,Nagaland,0,3,4,9,8,19
20,State,Orissa,120,254,43,13,20,9
21,State,Punjab,4,10,14,42,41,148
22,State,Rajasthan,0,290,229,118,32,40
23,State,Sikkim,0,0,0,0,25,2
24,State,Tamil Nadu,0,0,504,334,155,225
25,State,Tripura,1,4,23,18,2,4
26,State,Uttar Pradesh,27,248,431,280,184,275
27,State,Uttarakhand,3,20,34,16,9,22
28,State,West Bengal,2,176,104,63,34,82
State,State,Total (States),710,3039,2651,2199,1343,2294
29,Union Territory,A & N Islands,12,3,0,0,0,2
30,Union Territory,Chandigarh,0,0,0,0,0,11
31,Union Territory,D & N Haveli,0,0,0,1,0,1
32,Union Territory,Daman & Diu,0,0,0,0,0,2
33,Union Territory,Delhi,0,0,1,0,0,126
34,Union Territory,Lakshadweep,0,1,4,3,0,1
35,Union Territory,Puducherry,8,12,12,3,1,1
Union Territory,Union Territory,Total (UTs),20,16,17,7,1,144
Total (All-India),Total (All-India),Total (All-India),730,3055,2668,2206,1344,2438
