Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Share,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Share,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Share,Arson - Incidence,Arson - Rate,Arson - Percentage Share,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Share,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Share,SC/ ST Prev. of Atrocities Act - Incidence,SC/ ST Prev. of Atrocities Act - Rate,SC/ ST Prev. of Atrocities Act - Percentage Share,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share
1,State,Andhra Pradesh,788.5,39,0,6,66,0.1,5.7,28,0,11.1,0,0,0,7,0,9.7,20,0,9.5,474,0.6,12.4,68,0.1,18.7,1319,1.7,14.8,1234,1.6,10.8,3255,4.1,12.1
2,State,Arunachal Pradesh,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,282.1,0,0,0,1,0,0.1,1,0,0.4,0,0,0,1,0,1.4,1,0,0.5,3,0,0.1,0,0,0,0,0,0,13,0,0.1,20,0.1,0.1
4,State,Bihar,883.1,14,0,2.1,14,0,1.2,6,0,2.4,3,0,11.5,10,0,13.9,30,0,14.2,389,0.4,10.2,93,0.1,25.5,1813,2.1,20.4,274,0.3,2.4,2646,3,9.8
5,State,Chhattisgarh,221.5,25,0.1,3.8,77,0.3,6.7,7,0,2.8,0,0,0,5,0,6.9,4,0,1.9,89,0.4,2.3,0,0,0,138,0.6,1.6,353,1.6,3.1,698,3.2,2.6
6,State,Goa,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,534.6,11,0,1.7,19,0,1.6,26,0,10.3,4,0,15.4,13,0,18.1,15,0,7.1,247,0.5,6.5,5,0,1.4,411,0.8,4.6,558,1,4.9,1309,2.4,4.9
8,State,Haryana,224.2,14,0.1,2.1,33,0.1,2.9,6,0,2.4,0,0,0,0,0,0,0,0,0,50,0.2,1.3,0,0,0,31,0.1,0.3,83,0.4,0.7,217,1,0.8
9,State,Himachal Pradesh,63.2,2,0,0.3,6,0.1,0.5,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,40,0.6,0.4,38,0.6,0.3,89,1.4,0.3
10,State,Jammu & Kashmir,110.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.8,0,0,0,1,0,0,4,0,0
