Sr. No,Category,States/ UTs,Total No. of Persons under Arrest* Including those from Previous Year,Number of Persons Released before Trial,Number of Persons Charge Sheeted,Number of Persons under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,478943,687,469177,9079,1.9,3.5
2,State,Arunachal Pradesh,104,18,43,43,41.3,0
3,State,Assam,12033,1362,2550,8121,67.5,3.1
4,State,Bihar,19476,1138,11628,6710,34.5,2.6
5,State,Chhattisgarh,159203,606,157961,636,0.4,0.2
6,State,Goa,5535,1,5101,433,7.8,0.2
7,State,Gujarat,226538,17,211900,14621,6.5,5.6
8,State,Haryana,30983,1,30225,757,2.4,0.3
9,State,Himachal Pradesh,6926,30,5536,1360,19.6,0.5
10,State,Jammu & Kashmir,3038,78,2752,208,6.8,0.1
11,State,Jharkhand,4858,130,3331,1397,28.8,0.5
12,State,Karnataka,38232,1834,34566,1832,4.8,0.7
13,State,Kerala,77919,5932,60905,11082,14.2,4.2
14,State,Madhya Pradesh,243674,13,243257,404,0.2,0.2
15,State,Maharashtra,275250,175,211414,63661,23.1,24.3
16,State,Manipur,1219,312,158,749,61.4,0.3
17,State,Meghalaya,555,64,94,397,71.5,0.2
18,State,Mizoram,887,87,521,279,31.5,0.1
19,State,Nagaland,1356,108,703,545,40.2,0.2
20,State,Orissa,18258,1,17668,589,3.2,0.2
21,State,Punjab,41389,146,26906,14337,34.6,5.5
22,State,Rajasthan,43513,36,43384,93,0.2,0
23,State,Sikkim,82,23,15,44,53.7,0
24,State,Tamil Nadu,742888,234888,420303,87697,11.8,33.5
25,State,Tripura,152,4,108,40,26.3,0
26,State,Uttar Pradesh,899363,1213,890674,7476,0.8,2.9
27,State,Uttaranchal,67699,107,67128,464,0.7,0.2
28,State,West Bengal,1458183,1290,1438652,18241,1.3,7
State,State,Total (States),4858256,250301,4356660,251295,5.2,96.1
29,Union Territory,A & N Islands,8012,0,6323,1689,21.1,0.6
30,Union Territory,Chandigarh,1488,6,1301,181,12.2,0.1
31,Union Territory,D & N Haveli,58,0,38,20,34.5,0
32,Union Territory,Daman & Diu,28,9,16,3,10.7,0
33,Union Territory,Delhi,35898,25,27501,8372,23.3,3.2
34,Union Territory,Lakshadweep,3,0,1,2,66.7,0
35,Union Territory,Pondicherry,1847,0,1789,58,3.1,0
Union Territory,Union Territory,Total (UTs),47334,40,36969,10325,21.8,3.9
Total (All-India),Total (All-India),Total (All-India),4905590,250341,4393629,261620,5.3,100
