Sr. No.,Event,No. of Occasions of Police Firing,Civilians Killed,Civilians Injured,Policemen Killed,Policemen Injured
1,Riot Control,140,26,128,1,372
2,Anti-Dacoity Operations,217,239,13,12,43
3,Against Extremists and Terrorists,286,85,90,51,60
4,Against Others,148,70,26,17,113
5,Total,791,420,257,81,588
