Sr. No.,Category,States/ UTs/ Cities,1999,2000,2001,2002,2003,Quinquennial Average (1999-2003) (Q.A.),2004,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - QA,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 2003
1,State,Andhra Pradesh,120364,121279,130089,143610,156951,134459,158756,18.1,1.2
2,State,Arunachal Pradesh,2266,2367,2342,2228,2061,2253,2256,0.1,9.5
3,State,Assam,37292,35178,36877,36346,38195,36778,40675,10.6,6.5
4,State,Bihar,118648,124082,88432,94040,92263,103493,108060,4.4,17.1
5,State,Chhattisgarh,NA,NA,38460,37950,38449,22972,41927,82.5,9
6,State,Goa,2589,2422,2341,2440,2244,2407,2127,-11.6,-5.2
7,State,Gujarat,124786,115859,103419,106675,103709,110890,105469,-4.9,1.7
8,State,Haryana,39713,39490,38759,40152,38612,39345,39096,-0.6,1.3
9,State,Himachal Pradesh,11077,11135,11499,12243,12011,11593,12326,6.3,2.6
10,State,Jammu & Kashmir,17103,17517,19505,19967,21233,19065,21191,11.2,-0.2
11,State,Jharkhand,NA,NA,25447,31439,32203,17818,31439,76.4,-2.4
12,State,Karnataka,110559,109410,109098,113699,112405,111034,114440,3.1,1.8
13,State,Kerala,94448,99033,103847,104200,98824,100070,104025,4,5.3
14,State,Madhya Pradesh,205964,216441,181741,191799,191078,197405,196867,-0.3,3
15,State,Maharashtra,177436,173466,171233,165462,164306,170381,176302,3.5,7.3
16,State,Manipur,2469,2577,2489,2584,2537,2531,2535,0.2,-0.1
17,State,Meghalaya,1718,1702,1687,1664,1669,1688,1757,4.1,5.3
18,State,Mizoram,2220,2316,2246,2820,3456,2612,1515,-42,-56.2
19,State,Nagaland,1249,1368,1234,1114,976,1188,984,-17.2,0.8
20,State,Orissa,50393,49419,46661,47728,47281,48296,48739,0.9,3.1
21,State,Punjab,20272,24374,27774,28794,28756,25994,25630,-1.4,-10.9
22,State,Rajasthan,168189,160983,155185,151248,145579,156237,154859,-0.9,6.4
23,State,Sikkim,776,432,444,485,443,516,631,22.3,42.4
24,State,Tamil Nadu,145709,151329,154801,166942,157186,155193,166606,7.4,6
25,State,Tripura,3129,3372,2801,3075,3514,3178,3081,-3.1,-12.3
26,State,Uttar Pradesh,173643,175668,178129,146037,95073,153710,130181,-15.3,36.9
27,State,Uttarakhand,NA,NA,8073,7976,7923,4794,8634,80.1,9
28,State,West Bengal,66525,65834,61563,58962,61174,62812,69350,10.4,13.4
State,State,Total (States),1698537,1707053,1706176,1721679,1660111,1698711,1769458,4.2,6.6
29,Union Territory,A & N Islands,603,752,658,608,644,653,748,14.5,16.1
30,Union Territory,Chandigarh,2735,2935,3397,3806,2806,3136,2889,-7.9,3
31,Union Territory,D & N Haveli,413,440,350,349,338,378,409,8.2,21
32,Union Territory,Daman & Diu,247,251,239,261,269,253,198,-21.9,-26.4
33,Union Territory,Delhi,58701,56249,54384,49137,47404,53175,53623,0.8,13.1
34,Union Territory,Lakshadweep,31,24,36,53,31,35,70,100,125.8
35,Union Territory,Puducherry,3362,3380,4068,4437,4517,3953,4620,16.9,2.3
Union Territory,Union Territory,Total (UTs),66092,64031,63132,58651,56009,61583,62557,1.6,11.7
Total (All-India),Total (All-India),Total (All-India),1764629,1771084,1769308,1780330,1716120,1760294,1832015,4.1,6.8
36,City,Agra,NA,NA,6661,5617,2227,2901,3442,18.6,54.6
37,City,Ahmedabad,15652,14150,13496,14479,16199,14795,17553,18.6,8.4
38,City,Allahabad,NA,NA,2126,1838,1072,1007,1551,54,44.7
