Sr. No.,Category,States/ UTs,Area (in Sqr. Kms.),Estimated Mid-Year Population (In Thousands),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of Civ. Pol.),No. of Policemen Per 100 Sqr. Kms. of Area,"No. of Policemen Per 1,000 of Population","No. of Policemen Per 1,00,000 of Population",No. of IPC Cases Per Civil Police Man,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
1,State,Andhra Pradesh,275045,78850,204034,461135,665169,65407,12443,77850,84,8183,69667,'1:09,6658,28.3,1,99,3.1,1159.49,148939
2,State,Arunachal Pradesh,83743,1144,3250,134,3384,3191,2529,5720,55.8,655,5065,'1:08,495,6.8,5,500,1,84.73,148129
3,State,Assam,78438,28211,84032,7308,91340,28341,23708,52049,54.5,6329,45720,'1:07,4876,66.4,1.8,184,3,631.8,121386
4,State,Bihar,94163,88309,161622,14019,175641,39978,9612,49590,80.6,8710,40880,'1:05,7742,52.7,0.6,56,4,897.8,181045
5,State,Chhattisgarh,135191,22154,45511,143942,189453,11841,8509,20350,58.2,2302,18048,'1:08,1436,15.1,0.9,92,3.8,247,121376
6,State,Goa,3702,1465,3289,5048,8337,2881,659,3540,81.4,285,3255,'1:11,229,95.6,2.4,242,1.1,56.72,160226
7,State,Gujarat,196024,53464,114150,178471,292621,46752,10845,57597,81.2,10430,47167,'1:05,8747,29.4,1.1,108,2.4,758.84,131750
8,State,Haryana,44212,22420,42790,25982,68772,34619,3807,38426,90.1,5080,33346,'1:07,4479,86.9,1.7,171,1.2,521.08,135606
9,State,Himachal Pradesh,55673,6316,14487,5844,20331,8212,3311,11523,71.3,1680,9843,'1:06,1205,20.7,1.8,182,1.8,159.34,138280
10,State,Jammu & Kashmir,101387,11041,27809,4380,32189,40278,18759,59037,68.2,6351,52686,'1:08,4810,58.2,5.3,535,0.7,778.69,131899
11,State,Jharkhand,79714,28449,50484,3081,53565,17659,3333,20992,84.1,3118,17874,'1:06,2924,26.3,0.7,74,2.9,299.35,142602
12,State,Karnataka,191791,55044,139465,16871,156336,49727,3592,53319,93.3,5292,48027,'1:09,4859,27.8,1,97,2.8,807.09,151370
13,State,Kerala,38863,32982,133730,61339,195069,35566,7865,43431,81.9,4104,39327,'1:10,3448,111.8,1.3,132,3.8,563.76,129806
14,State,Madhya Pradesh,308245,64665,203295,201584,404879,52934,20082,73016,72.5,9288,63728,'1:07,6529,23.7,1.1,113,3.8,796.36,109067
15,State,Maharashtra,307713,101745,227370,220857,448227,122536,13570,136106,90,23092,113014,'1:05,21046,44.2,1.3,134,1.9,1357.68,99752
16,State,Manipur,22327,2509,6508,1797,8305,4765,8566,13331,35.7,1352,11979,'1:09,918,59.7,5.3,531,1.4,136.72,102558
17,State,Meghalaya,22429,2421,4971,709,5680,5773,3393,9166,63,1099,8067,'1:07,896,40.9,3.8,379,0.9,116.76,127384
