Category,States/ UTs,Disposal of Cases under - Murder - CF,Disposal of Cases under - Murder - TR,Disposal of Cases under - Murder - TL,Disposal of Cases under - Attempt to Commit Murder - CF,Disposal of Cases under - Attempt to Commit Murder - TR,Disposal of Cases under - Attempt to Commit Murder - TL,Disposal of Cases under - C.H. Not Amounting to Murder - CF,Disposal of Cases under - C.H. Not Amounting to Murder - TR,Disposal of Cases under - C.H. Not Amounting to Murder - TL,Disposal of Cases under - Rape - CF,Disposal of Cases under - Rape - TR,Disposal of Cases under - Rape - TL,Disposal of Cases under - Kidnapping & Abduction - CF,Disposal of Cases under - Kidnapping & Abduction - TR,Disposal of Cases under - Kidnapping & Abduction - TL,Disposal of Cases under - Women & Girls - CF,Disposal of Cases under - Women & Girls - TR,Disposal of Cases under - Women & Girls - TL,Disposal of Cases under - Others - CF,Disposal of Cases under - Others - TR,Disposal of Cases under - Others - TL,Disposal of Cases under - Dacoity - CF,Disposal of Cases under - Dacoity - TR,Disposal of Cases under - Dacoity - TL,Disposal of Cases under - Preparation & Assembly for Dacoity - CF,Disposal of Cases under - Preparation & Assembly for Dacoity - TR,Disposal of Cases under - Preparation & Assembly for Dacoity - TL,Disposal of Cases under - Robbery - CF,Disposal of Cases under - Robbery - TR,Disposal of Cases under - Robbery - TL,Disposal of Cases under - Riots - CF,Disposal of Cases under - Riots - TR,Disposal of Cases under - Riots - TL,Disposal of Cases under - Arson - CF,Disposal of Cases under - Arson - TR,Disposal of Cases under - Arson - TL,Disposal of Cases under - Dowry Deaths - CF,Disposal of Cases under - Dowry Deaths - TR,Disposal of Cases under - Dowry Deaths - TL,Disposal of Cases under - Total - CF,Disposal of Cases under - Total - TR,Disposal of Cases under - Total - TL
State,Andhra Pradesh,0,2913,2913,0,1261,1261,0,195,195,0,889,889,0,713,713,0,471,471,0,242,242,0,302,302,0,7,7,0,440,440,0,1450,1450,0,542,542,0,407,407,0,9119,9119
State,Arunachal Pradesh,0,9,9,0,5,5,0,2,2,0,5,5,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0,0,12,12,0,5,5,0,1,1,0,0,0,0,42,42
State,Assam,36,558,594,4,177,181,2,29,31,10,572,582,28,475,503,24,408,432,4,67,71,1,199,200,3,9,12,21,252,273,56,2190,2246,20,173,193,2,30,32,183,4664,4847
State,Bihar,2,2258,2260,1,2445,2446,0,161,161,0,749,749,0,1101,1101,0,451,451,0,650,650,0,872,872,0,118,118,1,850,851,0,5398,5398,0,286,286,1,438,439,5,14676,14681
State,Chhattisgarh,23,642,665,22,451,473,3,30,33,35,716,751,12,259,271,10,239,249,2,20,22,2,36,38,1,5,6,4,270,274,51,220,271,7,70,77,2,87,89,162,2786,2948
State,Goa,0,24,24,0,38,38,0,3,3,0,17,17,0,5,5,0,5,5,0,0,0,0,3,3,0,0,0,0,13,13,0,58,58,0,9,9,0,4,4,0,174,174
State,Gujarat,20,1044,1064,5,592,597,0,6,6,3,269,272,3,521,524,3,456,459,0,65,65,1,157,158,0,9,9,3,330,333,2,927,929,1,288,289,0,54,54,38,4197,4235
State,Haryana,0,536,536,3,439,442,0,66,66,0,315,315,3,286,289,0,207,207,3,79,82,0,75,75,0,177,177,0,319,319,2,565,567,0,111,111,0,283,283,8,3172,3180
State,Himachal Pradesh,0,107,107,0,72,72,0,8,8,0,107,107,0,44,44,0,43,43,0,1,1,0,1,1,0,0,0,0,15,15,0,843,843,0,54,54,0,7,7,0,1258,1258
State,Jammu & Kashmir,2,105,107,0,217,217,0,10,10,2,102,104,0,226,226,0,219,219,0,7,7,0,12,12,0,0,0,0,29,29,4,523,527,0,41,41,0,13,13,8,1278,1286
