Sr. No.,Crime Head,Incidence - Year - 1994,Rate of Crime - Year - 1994,Incidence - Year - 1999,Rate of Crime - Year - 1999,Incidence - Year - 2000,Rate of Crime - Year - 2000,Incidence - Year - 2001,Rate of Crime - Year - 2001,Incidence - Year - 2002,Rate of Crime - Year - 2002,Incidence - Year - 2003,Rate of Crime - Year - 2003,Incidence - Quinquennial Avg.1999-2003 (Q.A.),Rate of Crime - Quinquennial Avg.1999-2003 (Q.A.),Incidence - 2004,Rate of Crime - 2004,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 1994,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - Q.A,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 2003,Note of Incidence - Year - 1994,Note of Rate of Crime - Year - 1994,Note of Incidence - Year - 1999,Note of Rate of Crime - Year - 1999,Note of Incidence - Year - 2000,Note of 2000 - Rate of Crime,Note of 2003 - Incidence,Note of 2003 - Rate of Crime,Note of - Incidence - Quinquennial Avg.1999-2003 (Q.A.),Note of - Rate of Crime - Quinquennial Avg.1999-2003 (Q.A.)
1,Murder,38577,4.3,37170,3.8,37399,3.7,36202,3.5,35290,3.4,32716,3.1,35755,3.5,33608,3.1,-12.9,-6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Attempt to Commit Murder,30020,3.3,29628,3,30743,3.1,31523,3.1,30380,2.9,25942,2.4,29643,2.9,27890,2.6,-7.1,-5.9,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,C.H. Not Amounting to Murder,3946,0.4,3912,0.4,3773,0.4,3367,0.3,3624,0.3,4029,0.4,3741,0.4,3935,0.4,-0.3,5.2,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Rape,13208,1.5,15468,1.6,16496,1.6,16075,1.6,16373,1.6,15847,1.5,16052,1.6,18233,1.7,38,13.6,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Custodial Rape,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,NA,NA,2,0,NA,NA,0,*,*,*,*,*,*,@,@,*,*
4,Other Rape,NA,NA,NA,NA,NA,NA,16075,1.6,16370,1.6,15847,1.5,NA,NA,18231,1.7,NA,NA,15,*,*,*,*,*,*,NA,NA,*,*
5,Kidnapping & Abduction - Total,20983,-2.3,23236,-2.4,22871,-2.3,22487,-2.2,21850,-2.1,19992,-1.9,22087,2.2,23327,2.1,11.2,5.6,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Kidnapping & Abduction - i) of Women & Girls,14075,1.6,15962,1.6,15023,1.5,14645,1.4,14506,1.4,13296,1.2,14686,1.4,15578,1.4,10.7,6.1,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Kidnapping & Abduction ii) of Others,6908,0.8,7274,0.7,7848,0.8,7842,0.8,7344,0.7,6696,0.6,7401,0.7,7749,0.7,12.2,4.7,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Dacoity,9271,1,7079,0.7,6825,0.7,6154,0.6,6101,0.6,5303,0.5,6292,0.6,5311,0.5,-42.7,-15.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Preparation & Assembly for Dacoity,946,0.1,1501,0.2,1505,0.2,1614,0.2,1841,0.2,2302,0.2,1753,0.2,2340,0.2,147.4,33.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Robbery,23933,2.7,21332,2.2,20926,2.1,19901,1.9,18764,1.8,17512,1.6,19687,1.9,18458,1.7,-22.9,-6.2,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Burglary,121536,13.5,111296,11.3,105391,10.5,101182,9.9,96461,9.2,92827,8.7,101431,9.9,92490,8.5,-23.9,-8.8,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Theft - Total,303564,33.7,271907,27.6,258588,25.8,252803,24.6,247462,23.6,245237,23,255199,24.9,273045,25.2,-10.1,7,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Theft - i) Auto Theft,NA,NA,59685,6,58415,5.8,63713,6.2,66668,6.3,69307,6.5,63558,6.2,80682,7.4,NA,26.9,16.4,*,*,NA,NA,NA,NA,NA,NA,NA,NA
10,Theft - ii) Other Theft,NA,NA,212154,21.5,200173,20,189090,18.4,180794,17.2,175930,16.5,191628,18.7,192363,17.7,NA,0.4,9.3,*,*,NA,NA,NA,NA,NA,NA,NA,NA
11,Riots,94344,10.5,80838,8.2,80456,8,76222,7.4,68945,6.6,57334,5.4,72759,7.1,59971,5.5,-36.4,-17.6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Criminal Breach of Trust,16523,1.8,15454,1.6,14581,1.5,14798,1.4,14027,1.3,13432,1.3,14458,1.4,14176,1.3,-14.2,-2,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Cheating,31207,3.5,41403,4.2,41701,4.2,44727,4.4,46271,4.4,47478,4.4,44316,4.3,51939,4.8,66.4,17.2,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Counterfeiting,2851,0.3,1347,0.1,2299,0.2,1683,0.2,1522,0.1,2055,0.2,1781,0.2,1529,0.1,-46.4,-14.2,-25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Arson,NA,NA,11218,1.1,10392,1,10534,1,11820,1.1,9365,0.9,10666,1,8637,0.8,NA,-19,-7.8,*,*,NA,NA,NA,NA,NA,NA,NA,NA
16,Hurt,NA,NA,236313,24,240580,24,271487,26.4,265025,25.2,261444,24.5,254970,24.8,276868,25.5,NA,8.6,5.9,*,*,NA,NA,NA,NA,NA,NA,NA,NA
17,Dowry Deaths,NA,NA,6699,0.7,6995,0.7,6851,0.7,6822,0.6,6208,0.6,6715,0.7,7026,0.6,NA,4.6,13.2,*,*,NA,NA,NA,NA,NA,NA,NA,NA
18,Molestation,NA,NA,32311,3.3,32940,3.3,34124,3.3,33943,3.2,32939,3.1,33251,3.2,34567,3.2,NA,4,4.9,*,*,NA,NA,NA,NA,NA,NA,NA,NA
19,Sexual Harassment (Eve Teasing),NA,NA,8858,0.9,11024,1.1,9746,0.9,10155,1,12325,1.2,10422,1,10001,0.9,NA,-4,-18.9,*,*,NA,NA,NA,NA,NA,NA,NA,NA
20,Cruelty by Husband and Relatives,NA,NA,43823,4.4,45778,4.6,49170,4.8,49237,4.7,50703,4.7,47742,4.6,58121,5.4,NA,21.7,14.6,*,*,NA,NA,NA,NA,NA,NA,NA,NA
21,Importation of Girls,NA,NA,1,0,64,0,114,0,76,0,46,0,60,0,89,0,NA,47.8,93.5,*,*,NA,NA,NA,NA,NA,NA,NA,NA
22,Causing Death by Negligence,NA,NA,NA,NA,NA,NA,57182,5.6,64044,6.1,60672,5.7,NA,NA,69423,6.4,NA,NA,14.4,*,*,*,*,*,*,NA,NA,*,*
23,Other IPC Crimes,924342,102.7,763835,77.4,779757,77.8,701362,68.3,730297,69.5,700412,65.6,735133,71.7,741031,68.3,-19.8,0.8,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,1635251,181.7,1764629,178.9,1771084,176.7,1769308,172.3,1780330,169.5,1716120,160.7,1760294,171.6,1832015,168.8,12,4.1,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
