Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),No. of Cases - Compounded or Withdrawn (Col. 4),No. of Cases - in which Trials were Completed - Convicted (Col. 5),No. of Cases - in which Trials were Completed - Acquitted or Discharged (Col. 6),No. of Cases - in which Trials were Completed - Total {(Col. 5) + (Col. 6)} = (Col. 7),No. of Cases - Pending Trial (Col. 8),Conviction rate (Col. 5)/ (Col. 7) × 100 = (Col. 9)
1,Murder,0.2,2,21.5,8.8,30.3,67.7,71
2,Rape,0,9.9,5,14.5,19.5,70.6,25.7
3,Kidnapping & Abduction,0,5.2,7.5,13.1,20.6,74.2,36.4
4,Dacoity,0,0,26.1,14.5,40.6,59.4,64.3
5,Robbery,0,2.2,38,5.1,43.1,54.7,88.1
6,Arson,0,1.3,2.5,11.3,13.8,85,18.2
7,Hurt,0.1,4,6.9,15,21.9,74.1,31.6
8,P.C.R. Act,0,0,0,6,6,94,0
9,SC/ ST Prev. of Atrocities Act,0.3,3.5,3.2,12.5,15.6,80.9,20.2
10,Other Crimes against SCs,0,3.2,9.1,14.1,23.2,73.6,39.2
11,Total,0.1,3.9,7.2,13.5,20.6,75.5,34.7
