Sr. No.,Rank,Number of Victims Killed in Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operation or Other Raids,Number of Victims Killed by Riotous Mobs,Number of Victims Killed by Other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed in Accidents,Number of Victims Killed - Total,Number of Victims Injured in Terrorist/ Extremists Operations,Number of Victims Injured in Dacoity Operation or Other Raids,Number of Victims Injured by Riotous Mobs,Number of Victims Injured by Other Criminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
1,Constables,97,17,5,65,4,335,523,185,49,574,279,3,410,1500
2,Head Constables,18,3,1,17,4,136,179,28,9,117,50,1,134,339
3,Assistant Sub-Inspectors,6,2,1,9,0,50,68,8,11,52,56,0,42,169
4,Sub-Inspectors,7,0,0,4,0,27,38,11,9,92,37,0,66,215
5,Inspectors,4,0,1,0,0,8,13,5,5,42,19,0,12,83
6,Other Gazetted Officers,3,0,0,0,0,6,9,3,1,28,10,0,2,44
7,Total,135,22,8,95,8,562,830,240,84,905,451,4,666,2350
