Sr. No.,Category,States/ UTs,By Education - Illiterate,By Education - Primary,By Education - Above Primary but below Matric/ H.sec,By Education - Matric/ H.sec and above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,"By Economic-Setup - Annual Income (Upto Rs.25,000)","By Economic-Setup - Annual Income (Rs. 25001 to Rs.50,000)","By Economic-Setup - Middle Income (Rs. 50001 to Rs. 1,00,000)","By Economic-Setup - Middle Income (Rs. 1,00,001 to Rs. 2,00,000)","By Economic-Setup - Upper Middle Income (Rs. 2,00,001 to Rs. 3,00,000)","By Economic-Setup - Upper Income (Above Rs. 3,00,000)",By Economic-Setup - Total,By Recidivism - New Delinquent,By Recidivism - Old Delinquent,By Recidivism - Total
1,State,Andhra Pradesh,959,648,440,149,2196,933,361,902,2196,1620,437,131,8,0,0,2196,1729,467,2196
2,State,Arunachal Pradesh,21,26,23,21,91,68,23,0,91,35,56,0,0,0,0,91,89,2,91
3,State,Assam,76,108,106,41,331,258,48,25,331,153,101,35,23,17,2,331,235,96,331
4,State,Bihar,161,51,24,0,236,186,29,21,236,124,92,20,0,0,0,236,219,17,236
5,State,Chhattisgarh,432,780,699,91,2002,1708,267,27,2002,1474,319,85,118,6,0,2002,1771,231,2002
6,State,Goa,19,18,33,4,74,69,2,3,74,50,14,9,1,0,0,74,68,6,74
7,State,Gujarat,970,1071,489,159,2689,2262,270,157,2689,2392,238,33,19,6,1,2689,2363,326,2689
8,State,Haryana,233,394,923,127,1677,1578,82,17,1677,848,516,186,81,46,0,1677,1665,12,1677
9,State,Himachal Pradesh,0,22,57,38,117,115,2,0,117,72,41,4,0,0,0,117,117,0,117
10,State,Jammu & Kashmir,3,6,2,0,11,10,0,1,11,9,1,0,0,0,1,11,11,0,11
11,State,Jharkhand,248,212,176,186,822,380,442,0,822,302,290,132,98,0,0,822,381,441,822
12,State,Karnataka,172,147,96,25,440,330,94,16,440,353,39,40,8,0,0,440,439,1,440
13,State,Kerala,20,98,193,71,382,292,71,19,382,264,96,18,4,0,0,382,366,16,382
14,State,Madhya Pradesh,2160,3114,1668,491,7433,6061,970,402,7433,4885,1576,891,76,5,0,7433,6974,459,7433
15,State,Maharashtra,859,1984,2291,362,5496,4697,665,134,5496,4248,968,220,59,1,0,5496,5285,211,5496
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,14,20,18,3,55,46,9,0,55,36,19,0,0,0,0,55,52,3,55
18,State,Mizoram,349,153,206,110,818,502,201,115,818,703,115,0,0,0,0,818,689,129,818
19,State,Nagaland,0,3,0,0,3,3,0,0,3,3,0,0,0,0,0,3,3,0,3
20,State,Orissa,162,125,64,8,359,303,37,19,359,335,24,0,0,0,0,359,355,4,359
21,State,Punjab,52,19,14,11,96,94,2,0,96,58,27,9,2,0,0,96,96,0,96
22,State,Rajasthan,346,722,746,61,1875,1697,166,12,1875,1303,368,162,26,15,1,1875,1798,77,1875
23,State,Sikkim,0,6,7,0,13,13,0,0,13,3,6,4,0,0,0,13,13,0,13
24,State,Tamil Nadu,1553,645,145,30,2373,1423,662,288,2373,2296,72,5,0,0,0,2373,2223,150,2373
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,60,39,29,7,135,75,47,13,135,91,24,12,5,3,0,135,125,10,135
27,State,Uttarakhand,0,5,19,12,36,36,0,0,36,5,25,6,0,0,0,36,36,0,36
28,State,West Bengal,21,44,28,0,93,39,27,27,93,78,15,0,0,0,0,93,89,4,93
State,State,Total (States),8890,10460,8496,2007,29853,23178,4477,2198,29853,21740,5479,2002,528,99,5,29853,27191,2662,29853
29,Union Territory,A & N Islands,0,7,6,0,13,8,5,0,13,12,1,0,0,0,0,13,13,0,13
