Sr. No.,Category,States/ UTs/ Cities,No. of Cases in which Offenders were Known to the victims,No. of Cases in which Offenders were - Parents / Close Family Members,No. of Cases in which Offenders were - Relatives,No. of Cases in which Offenders were - Neighbours,No. of Cases in which Offenders were - Other Known Persons
1,State,Andhra Pradesh,924,5,69,313,537
2,State,Arunachal Pradesh,42,0,3,7,32
3,State,Assam,1171,15,65,510,581
4,State,Bihar,1383,6,5,678,694
5,State,Chhattisgarh,969,78,66,232,593
6,State,Goa,36,1,0,14,21
7,State,Gujarat,321,14,15,70,222
8,State,Haryana,386,20,35,133,198
9,State,Himachal Pradesh,142,8,9,41,84
10,State,Jammu & Kashmir,206,1,28,60,117
11,State,Jharkhand,488,18,74,163,233
12,State,Karnataka,217,7,22,92,96
13,State,Kerala,480,3,47,186,244
14,State,Madhya Pradesh,2800,63,253,938,1546
15,State,Maharashtra,1352,31,54,372,895
16,State,Manipur,30,0,0,2,28
17,State,Meghalaya,54,4,12,15,23
18,State,Mizoram,12,0,0,12,0
19,State,Nagaland,15,0,0,0,15
20,State,Orissa,541,1,12,175,353
21,State,Punjab,384,65,13,123,183
22,State,Rajasthan,945,39,48,186,672
23,State,Sikkim,3,0,0,0,3
24,State,Tamil Nadu,592,36,95,209,252
25,State,Tripura,160,1,14,97,48
26,State,Uttar Pradesh,1266,35,67,445,719
27,State,Uttarakhand,115,13,3,19,80
28,State,West Bengal,24,24,0,0,0
State,State,Total (States),15058,488,1009,5092,8469
29,Union Territory,A & N Islands,10,0,0,2,8
30,Union Territory,Chandigarh,19,1,1,10,7
31,Union Territory,D & N Haveli,7,0,0,2,5
32,Union Territory,Daman & Diu,1,0,0,1,0
33,Union Territory,Delhi,518,16,23,249,230
34,Union Territory,Lakshadweep,2,0,0,0,0
35,Union Territory,Puducherry,4,0,0,2,2
Union Territory,Union Territory,Total (UTs),561,17,24,266,252
Total (All-India),Total (All-India),Total (All-India),15619,505,1033,5358,8721
36,City,Agra,12,0,10,0,2
37,City,Ahmedabad,40,5,0,31,4
38,City,Allahabad,0,0,0,0,0
39,City,Amritsar,22,0,0,19,3
40,City,Asansol,0,0,0,0,0
41,City,Bangalore,32,6,1,13,12
42,City,Bhopal,47,4,10,10,23
43,City,Chennai,4,4,0,0,0
44,City,Coimbatore,4,0,0,2,2
45,City,Delhi (City),425,14,11,207,193
46,City,Dhanbad,23,1,0,0,22
47,City,Faridabad,16,1,0,9,6
48,City,Hyderabad,56,0,7,4,45
49,City,Indore,74,0,1,68,5
50,City,Jabalpur,49,0,3,25,21
51,City,Jaipur,56,2,1,20,33
52,City,Jamshedpur,24,2,5,6,11
53,City,Kanpur,20,0,1,3,16
54,City,Kochi,7,0,0,2,5
55,City,Kolkata,0,0,0,0,0
56,City,Lucknow,29,6,2,20,1
57,City,Ludhiana,44,0,5,39,0
58,City,Madurai,8,0,2,3,3
59,City,Meerut,13,1,2,8,2
60,City,Mumbai,161,13,8,35,105
61,City,Nagpur,40,3,2,9,26
62,City,Nasik,15,1,0,0,14
63,City,Patna,26,0,1,12,13
64,City,Pune,63,0,1,51,11
65,City,Rajkot,9,1,0,2,6
66,City,Surat,24,0,1,8,15
67,City,Vadodara,6,0,0,0,6
68,City,Varanasi,3,0,0,0,3
69,City,Vijayawada,19,0,0,0,19
70,City,Vishakhapatnam,12,0,0,3,9
Total (Cities),Total (Cities),Total (Cities),1383,64,74,609,636
