Sr. No.,Category,States/UTs,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Preparation & Assembly for Dacoity,Robbery,Riots,Arson,Dowry Death,Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes under IPC
1,State,Andhra Pradesh,2579,1908,163,1016,1526,199,2,596,2540,915,512,11956,5.7,15.2,7.5
2,State,Arunachal Pradesh,67,45,1,42,65,30,2,45,65,19,0,381,0.2,33.3,16.9
3,State,Assam,1214,410,63,1171,1906,360,31,505,3615,379,74,9728,4.7,34.5,23.9
4,State,Bihar,3948,2995,280,1390,3413,1319,145,2986,9793,707,1029,28005,13.4,31.7,25.9
5,State,Chhattisgarh,927,619,25,969,214,106,8,363,790,242,71,4334,2.1,19.6,10.3
6,State,Goa,40,6,5,37,13,5,0,18,33,7,2,166,0.1,11.3,7.8
7,State,Gujarat,1113,469,27,339,1133,360,15,1136,1599,388,58,6637,3.2,12.4,6.3
8,State,Haryana,733,441,65,386,423,52,145,244,699,95,251,3534,1.7,15.8,9
9,State,Himachal Pradesh,110,77,12,153,123,1,0,25,562,112,8,1183,0.6,18.7,9.6
10,State,Jammu & Kashmir,816,1112,29,218,735,28,0,129,1116,320,9,4512,2.2,40.9,21.3
11,State,Jharkhand,1488,1143,115,797,468,580,55,780,2281,167,275,8149,3.9,28.6,25.9
12,State,Karnataka,1519,1387,57,291,592,177,109,1024,6237,248,259,11900,5.7,21.6,10.4
13,State,Kerala,417,391,473,480,232,129,15,639,6461,374,31,9642,4.6,29.2,9.3
14,State,Madhya Pradesh,2379,2563,188,2875,832,147,134,1526,2479,893,751,14767,7.1,22.8,7.5
15,State,Maharashtra,2696,1463,115,1388,1045,629,315,2229,5980,1149,314,17323,8.3,17,9.8
16,State,Manipur,159,227,3,31,128,2,2,3,115,85,0,755,0.4,30.1,29.8
17,State,Meghalaya,124,42,7,54,54,91,2,81,2,15,2,474,0.2,19.6,27
18,State,Mizoram,35,21,2,20,15,10,0,6,2,22,0,133,0.1,14.2,8.8
19,State,Nagaland,70,33,5,18,23,14,0,117,6,5,0,291,0.1,13.9,29.6
20,State,Orissa,1066,1197,25,770,526,238,0,952,1433,343,319,6869,3.3,17.9,14.1
21,State,Punjab,775,716,148,390,463,17,79,86,16,52,113,2855,1.4,11.2,11.1
22,State,Rajasthan,1279,2030,59,1038,2384,58,46,673,3101,835,379,11882,5.7,19.6,7.7
23,State,Sikkim,16,8,3,3,5,0,0,5,76,7,0,123,0.1,21.7,19.5
24,State,Tamil Nadu,1479,1772,26,618,870,72,54,464,3433,662,225,9675,4.6,15.1,5.8
25,State,Tripura,189,36,0,160,99,27,2,46,148,24,20,751,0.4,22.5,24.4
26,State,Uttar Pradesh,6126,5580,1436,1397,3337,378,98,2606,3915,381,1708,26962,12.9,15.2,20.7
27,State,Uttarakhand,262,247,29,115,213,37,1,165,444,28,82,1623,0.8,18.1,18.8
28,State,West Bengal,1425,390,468,1475,1200,212,943,535,2691,103,396,9838,4.7,11.7,14.2
State,State,Total (States),33051,27328,3829,17641,22037,5278,2203,17984,59632,8577,6888,204448,97.9,19.2,11.6
29,Union Territory,A & N Islands,15,1,2,10,3,0,0,3,9,9,0,52,0,13.7,7
30,Union Territory,Chandigarh,22,19,10,19,54,0,2,6,43,0,6,181,0.1,18.5,6.3
31,Union Territory,D & N Haveli,11,4,0,7,12,3,0,2,17,2,0,58,0,24.4,14.2
32,Union Territory,Daman & Diu,3,1,0,1,2,0,0,1,19,2,0,29,0,17,14.6
33,Union Territory,Delhi,481,519,80,551,1209,30,135,461,67,38,126,3697,1.8,24.2,6.9
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,37,0,0,37,0,57.8,52.9
35,Union Territory,Puducherry,25,18,14,4,10,0,0,1,147,9,6,234,0.1,23,5.1
Union Territory,Union Territory,Total (UTs),557,562,106,592,1290,33,137,474,339,60,138,4288,2.1,23.7,6.9
Total (All-India),Total (All-India),Total (All-India),33608,27890,3935,18233,23327,5311,2340,18458,59971,8637,7026,208736,100,19.2,11.4
