Sr. No.,Category,States/ UTs/ Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated mid-Year Population (In Lakhs)**,Rate of Total Cognizable Crimes,Rank of * Criminality
1,State,Andhra Pradesh,158756,8.7,788.5,201.3,9
2,State,Arunachal Pradesh,2256,0.1,11.44,197.2,12
3,State,Assam,40675,2.2,282.11,144.2,21
4,State,Bihar,108060,5.9,883.09,122.4,23
5,State,Chhattisgarh,41927,2.3,221.54,189.3,15
6,State,Goa,2127,0.1,14.65,145.2,20
7,State,Gujarat,105469,5.8,534.64,197.3,11
8,State,Haryana,39096,2.1,224.2,174.4,16
9,State,Himachal Pradesh,12326,0.7,63.16,195.2,13
10,State,Jammu & Kashmir,21191,1.2,110.41,191.9,14
11,State,Jharkhand,31439,1.7,284.49,110.5,26
12,State,Karnataka,114440,6.2,550.44,207.9,8
13,State,Kerala,104025,5.7,329.82,315.4,3
14,State,Madhya Pradesh,196867,10.7,646.65,304.4,4
15,State,Maharashtra,176302,9.6,1017.45,173.3,17
16,State,Manipur,2535,0.1,25.09,101,28
17,State,Meghalaya,1757,0.1,24.21,72.6,34
18,State,Mizoram,1515,0.1,9.36,161.9,19
19,State,Nagaland,984,0.1,20.96,46.9,35
20,State,Orissa,48739,2.7,382.94,127.3,22
21,State,Punjab,25630,1.4,254.43,100.7,29
22,State,Rajasthan,154859,8.5,605.11,255.9,7
23,State,Sikkim,631,0,5.68,111.1,25
24,State,Tamil Nadu,166606,9.1,642.3,259.4,6
25,State,Tripura,3081,0.2,33.42,92.2,31
26,State,Uttar Pradesh,130181,7.1,1779.41,73.2,33
27,State,Uttarakhand,8634,0.5,89.73,96.2,30
28,State,West Bengal,69350,3.8,839.53,82.6,32
State,State,Total (States),1769458,96.6,10674.76,165.8,NA
29,Union Territory,A & N Islands,748,0,3.79,197.4,10
30,Union Territory,Chandigarh,2889,0.2,9.76,296,5
31,Union Territory,D & N Haveli,409,0,2.38,171.8,18
32,Union Territory,Daman & Diu,198,0,1.71,115.8,24
33,Union Territory,Delhi,53623,2.9,152.79,351,2
34,Union Territory,Lakshadweep,70,0,0.64,109.4,27
35,Union Territory,Puducherry,4620,0.3,10.17,454.3,1
Union Territory,Union Territory,Total (UTs),62557,3.4,181.24,345.2,NA
Total (All-India),Total (All-India),Total (All-India),1832015,100,10856,168.8,NA
36,City,Agra,3442,1.1,13.21,260.6,20
37,City,Ahmedabad,17553,5.7,45.19,388.4,11
38,City,Allahabad,1551,0.5,10.5,147.7,30
39,City,Amritsar,1204,0.4,10.11,119.1,33
40,City,Asansol,1062,0.3,10.91,97.3,34
41,City,Bangalore,28526,9.2,56.87,501.6,6
42,City,Bhopal,12268,4,14.55,843.2,1
43,City,Chennai,12436,4,64.25,193.6,25
44,City,Coimbatore,3831,1.2,14.46,264.9,18
45,City,Delhi (City),48677,15.7,127.91,380.6,12
46,City,Dhanbad,1726,0.6,10.64,162.2,29
47,City,Faridabad,3148,1,10.55,298.4,15
48,City,Hyderabad,18868,6.1,55.34,340.9,14
49,City,Indore,11935,3.9,16.39,728.2,3
50,City,Jabalpur,6395,2.1,11.17,572.5,4
51,City,Jaipur,13224,4.3,23.24,569,5
52,City,Jamshedpur,2203,0.7,11.02,199.9,24
53,City,Kanpur,4526,1.5,26.9,168.3,28
54,City,Kochi,6756,2.2,13.55,498.6,7
55,City,Kolkata,10757,3.5,132.17,81.4,35
56,City,Lucknow,6300,2,22.67,277.9,17
57,City,Ludhiana,2551,0.8,13.95,182.9,26
58,City,Madurai,3164,1,11.95,264.8,19
59,City,Meerut,2479,0.8,11.67,212.4,23
60,City,Mumbai,29453,9.5,163.68,179.9,27
61,City,Nagpur,8518,2.7,21.23,401.2,10
62,City,Nasik,2606,0.8,11.52,226.2,22
63,City,Patna,7597,2.5,17.07,445,8
64,City,Pune,10754,3.5,37.56,286.3,16
65,City,Rajkot,4339,1.4,10.02,433,9
66,City,Surat,4131,1.3,28.11,147,31
67,City,Vadodara,5551,1.8,14.92,372.1,13
68,City,Varanasi,1557,0.5,12.12,128.5,32
69,City,Vijayawada,7659,2.5,10.11,757.6,2
70,City,Vishakhapatnam,3182,1,13.29,239.4,21
Total (Cities),Total (Cities),Total (Cities),309929,100,1078.8,287.3,NA
