Sr. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1994,13852,3351,17203,19.5
2,1995,14542,4251,18793,22.6
3,1996,14068,5030,19098,26.3
4,1997,14282,3514,17796,19.7
5,1998,13974,4949,18923,26.2
6,1999,13088,5372,18460,29.1
7,2000,13854,4128,17982,23
8,2001,31295,2333,33628,6.9
9,2002,33551,2228,35779,6.2
10,2003,30985,2335,33320,7
11,2004,28878,2065,30943,6.7
