Sr. No.,Category,State/ UT,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F./ V.H.F.,Walkie-Talkie,Other Wireless Equipments
1,State,Andhra Pradesh,6253,2313,740,2396,593,56,155,12653,7797,4708,148
2,State,Arunachal Pradesh,694,276,260,0,94,37,27,131,62,69,0
3,State,Assam,3421,893,1555,0,522,451,0,5968,232,5660,76
4,State,Bihar,3906,1197,127,1369,341,180,692,8760,6442,1419,899
5,State,Chhattisgarh,2307,1240,0,641,318,108,0,3828,1989,1839,0
6,State,Goa,328,179,12,93,0,0,44,1935,691,390,854
7,State,Gujarat,4447,1815,164,1319,616,526,7,8695,7209,1440,46
8,State,Haryana,2017,803,124,420,0,0,670,300,100,200,0
9,State,Himachal Pradesh,588,217,73,110,0,130,58,1895,873,992,30
10,State,Jammu & Kashmir,3660,287,614,1525,823,398,13,13249,5704,6980,565
11,State,Jharkhand,1960,411,50,685,274,5,535,5011,2879,1142,990
12,State,Karnataka,4563,1803,198,1583,92,34,853,18061,5865,9304,2892
13,State,Kerala,2639,624,134,1308,42,441,90,7366,3573,2052,1741
14,State,Madhya Pradesh,5353,1658,382,652,871,609,1181,29940,8935,20232,773
15,State,Maharashtra,7520,1970,530,2909,1026,1071,14,15166,8503,6663,0
16,State,Manipur,1096,89,33,163,15,176,620,4541,1591,1095,1855
17,State,Meghalaya,614,56,28,302,104,120,4,76,38,0,38
18,State,Mizoram,520,95,7,14,34,119,251,1437,514,511,412
19,State,Nagaland,321,47,11,107,32,49,75,148,58,73,17
20,State,Orissa,2806,940,135,1165,364,194,8,5426,4245,1061,120
21,State,Punjab,3680,1323,251,1171,923,0,12,13591,4539,6512,2540
22,State,Rajasthan,4410,1845,115,1579,631,240,0,12417,9349,3068,0
23,State,Sikkim,255,46,25,138,46,0,0,781,158,233,390
24,State,Tamil Nadu,9889,3865,318,3325,0,0,2381,14290,6019,7969,302
25,State,Tripura,1141,160,417,205,158,143,58,4354,2300,1997,57
26,State,Uttar Pradesh,6341,1077,410,3176,349,1329,0,35025,17637,16489,899
27,State,Uttarakhand,636,102,40,75,63,119,237,527,100,90,337
28,State,West Bengal,4712,1432,148,2104,599,381,48,8244,4635,3188,421
State,State,Total (States),86077,26763,6901,28534,8930,6916,8033,233815,112037,105376,16402
29,Union Territory,A & N Islands,105,39,9,17,14,16,10,99,3,25,71
30,Union Territory,Chandigarh,269,138,13,71,30,17,0,1108,332,755,21
31,Union Territory,D & N Haveli,28,11,2,5,7,1,2,98,56,40,2
32,Union Territory,Daman & Diu,24,17,1,4,1,0,1,119,93,20,6
33,Union Territory,Delhi,3471,1781,257,874,0,0,559,20465,6573,12757,1135
34,Union Territory,Lakshadweep,19,9,0,10,0,0,0,215,102,97,16
35,Union Territory,Puducherry,318,200,7,76,0,0,35,772,427,345,0
Union Territory,Union Territory,Total (UTs),4234,2195,289,1057,52,34,607,22876,7586,14039,1251
Total (All-India),Total (All-India),Total (All-India),90311,28958,7190,29591,8982,6950,8640,256691,119623,119415,17653
