Sr. No.,Crime Head,Total Count of Persons under Arrest Including those from Previous Year,Persons Released before Trial - Count,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - Count,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the end of the Year - Count,Persons under Investigation at the end of the Year - Percentage to Total
1,Arms Act,89133,881,1,78161,87.7,10091,11.3
2,Narcotic Drugs & Psychotropic Substances Act,41924,435,1,30655,73.1,10834,25.8
3,Gambling Act,399583,1002,0.3,377433,94.5,21148,5.3
4,Excise Act,165672,1283,0.8,145506,87.8,18883,11.4
5,Prohibition Act,506082,9874,2,383413,75.8,112795,22.3
6,Explosive & Explosive Substances Act,7833,187,2.4,4985,63.6,2661,34
7,Immoral Traffic (P) Act,13482,60,0.4,11465,85,1957,14.5
8,Indian Railways Act,23203,51,0.2,22917,98.8,235,1
9,Registration of Foreigners Act,2054,40,1.9,1724,83.9,290,14.1
10,Protection of Civil Rights Act - Total,764,16,2.1,594,77.7,154,20.2
10,Protection of Civil Rights Act - i) PCR Act for SCs,733,8,1.1,581,79.3,144,19.6
10,Protection of Civil Rights Act - ii) PCR Act for STs,31,8,25.8,13,41.9,10,32.3
11,Indian Passport Act,1947,182,9.3,834,42.8,931,47.8
12,Essential Commodities Act,9289,132,1.4,6260,67.4,2897,31.2
13,Terrorist & Disruptive Activities Act,1992,122,6.1,173,8.7,1697,85.2
14,Antiquity & Art Treasure Act,152,8,5.3,80,52.6,64,42.1
15,Dowry Prohibition Act,8126,492,6.1,5477,67.4,2157,26.5
16,Child Marriage Restraint Act,358,5,1.4,331,92.5,22,6.1
17,Indecent Representation of Women (P) Act,1791,1,0.1,1591,88.8,199,11.1
18,Copyrights Act,10089,57,0.6,8075,80,1957,19.4
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ ST (Prevention of Atrocities) Act - Total,20214,693,3.4,15958,78.9,3563,17.6
20,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,18168,648,3.6,14201,78.2,3319,18.3
20,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,2046,45,2.2,1757,85.9,244,11.9
21,Forest Act,7303,134,1.8,6803,93.2,366,5
22,Other SLL Crimes,3594599,234686,6.5,3291194,91.6,68719,1.9
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,4905590,250341,5.1,4393629,89.6,261620,5.3
