Sr. No.,Category,States/ UTs/ Cities,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Total - Incidence,Rape - Total - Rate,Rape - Custodial - Incidence,Rape - Custodial - Rate,Rape - Others - Incidence,Rape - Others - Rate,Kidnapping & Abduction - Total - Incidence,Kidnapping & Abduction - Total - Rate,Kidnapping & Abduction - of Women & Girls - Incidence,Kidnapping & Abduction - of Women & Girls - Rate,Kidnapping & Abduction - of Others - Incidence,Kidnapping & Abduction - of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Total - Incidence,Theft - Total - Rate,Theft - Auto Theft - Incidence,Theft - Auto Theft - Rate,Theft - Other Theft - Incidence,Theft - Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes under IPC - Incidence,Total Cognizable Crimes under IPC - Rate
1,State,Andhra Pradesh,2579,3.3,1908,2.4,163,0.2,1016,1.3,0,0,1016,1.3,1526,1.9,1030,1.3,496,0.6,199,0.3,2,0,596,0.8,8457,10.7,23578,29.9,5042,6.4,18536,23.5,2540,3.2,898,1.1,7928,10.1,175,0.2,915,1.2,43335,55,512,0.6,3817,4.8,2310,2.9,8388,10.6,2,0,11452,14.5,36460,46.2,158756,201.3
2,State,Arunachal Pradesh,67,5.9,45,3.9,1,0.1,42,3.7,0,0,42,3.7,65,5.7,41,3.6,24,2.1,30,2.6,2,0.2,45,3.9,215,18.8,388,33.9,75,6.6,313,27.4,65,5.7,26,2.3,34,3,1,0.1,19,1.7,429,37.5,0,0,61,5.3,0,0,4,0.3,0,0,0,0,717,62.7,2256,197.2
3,State,Assam,1214,4.3,410,1.5,63,0.2,1171,4.2,0,0,1171,4.2,1906,6.8,1552,5.5,354,1.3,360,1.3,31,0.1,505,1.8,2544,9,5866,20.8,685,2.4,5181,18.4,3615,12.8,586,2.1,865,3.1,57,0.2,379,1.3,5911,21,74,0.3,883,3.1,11,0,1945,6.9,0,0,2239,7.9,10040,35.6,40675,144.2
4,State,Bihar,3948,4.5,2995,3.4,280,0.3,1390,1.6,1,0,1389,1.6,3413,3.9,997,1.1,2416,2.7,1319,1.5,145,0.2,2986,3.4,3175,3.6,11113,12.6,2083,2.4,9030,10.2,9793,11.1,1701,1.9,2764,3.1,57,0.1,707,0.8,11231,12.7,1029,1.2,704,0.8,13,0,2679,3,35,0,2405,2.7,44178,50,108060,122.4
5,State,Chhattisgarh,927,4.2,619,2.8,25,0.1,969,4.4,0,0,969,4.4,214,1,174,0.8,40,0.2,106,0.5,8,0,363,1.6,3720,16.8,5014,22.6,1316,5.9,3698,16.7,790,3.6,101,0.5,424,1.9,42,0.2,242,1.1,3899,17.6,71,0.3,1661,7.5,131,0.6,741,3.3,0,0,1717,7.8,20143,90.9,41927,189.3
6,State,Goa,40,2.7,6,0.4,5,0.3,37,2.5,0,0,37,2.5,13,0.9,10,0.7,3,0.2,5,0.3,0,0,18,1.2,261,17.8,503,34.3,120,8.2,383,26.1,33,2.3,49,3.3,61,4.2,0,0,7,0.5,170,11.6,2,0.1,23,1.6,15,1,17,1.2,0,0,216,14.7,646,44.1,2127,145.2
7,State,Gujarat,1113,2.1,469,0.9,27,0.1,339,0.6,0,0,339,0.6,1133,2.1,905,1.7,228,0.4,360,0.7,15,0,1136,2.1,5828,10.9,18551,34.7,6931,13,11620,21.7,1599,3,1612,3,1726,3.2,122,0.2,388,0.7,12262,22.9,58,0.1,757,1.4,164,0.3,3955,7.4,0,0,3958,7.4,49897,93.3,105469,197.3
8,State,Haryana,733,3.3,441,2,65,0.3,386,1.7,0,0,386,1.7,423,1.9,292,1.3,131,0.6,52,0.2,145,0.6,244,1.1,2786,12.4,6558,29.3,3735,16.7,2823,12.6,699,3.1,534,2.4,1089,4.9,32,0.1,95,0.4,4194,18.7,251,1.1,403,1.8,850,3.8,2026,9,0,0,981,4.4,16109,71.9,39096,174.4
9,State,Himachal Pradesh,110,1.7,77,1.2,12,0.2,153,2.4,0,0,153,2.4,123,1.9,99,1.6,24,0.4,1,0,0,0,25,0.4,766,12.1,643,10.2,192,3,451,7.1,562,8.9,97,1.5,174,2.8,6,0.1,112,1.8,1421,22.5,8,0.1,284,4.5,16,0.3,252,4,0,0,469,7.4,7015,111.1,12326,195.2
10,State,Jammu & Kashmir,816,7.4,1112,10.1,29,0.3,218,2,0,0,218,2,735,6.7,632,5.7,103,0.9,28,0.3,0,0,129,1.2,1420,12.9,1939,17.6,573,5.2,1366,12.4,1116,10.1,105,1,414,3.7,32,0.3,320,2.9,334,3,9,0.1,990,9,264,2.4,82,0.7,0,0,422,3.8,10677,96.7,21191,191.9
