Category,States/ UTs,Total No. of Persons under Arrest Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,2370,76,707,1587,139,67,3.7
State,Arunachal Pradesh,4,0,0,4,0,100,0
State,Assam,37,0,8,29,1,78.4,0.1
State,Bihar,276,0,20,256,1,92.8,0.6
State,Chhattisgarh,2085,50,704,1331,214,63.8,3.1
State,Goa,143,3,32,108,10,75.5,0.3
State,Gujarat,3153,24,280,2849,88,90.4,6.6
State,Haryana,779,0,328,451,54,57.9,1.1
State,Himachal Pradesh,319,1,85,233,7,73,0.5
State,Jammu & Kashmir,131,0,10,121,1,92.4,0.3
State,Jharkhand,293,0,144,149,0,50.9,0.3
State,Karnataka,297,0,65,232,1,78.1,0.5
State,Kerala,892,5,107,780,18,87.4,1.8
State,Madhya Pradesh,10670,295,2469,7906,803,74.1,18.5
State,Maharashtra,10072,41,912,9119,126,90.5,21.3
State,Manipur,1,0,0,1,0,100,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,1,0,0,1,0,100,0
State,Orissa,508,0,56,452,31,89,1.1
State,Punjab,559,0,218,341,83,61,0.8
State,Rajasthan,742,1,133,608,43,81.9,1.4
State,Sikkim,31,4,0,27,0,87.1,0.1
State,Tamil Nadu,524,1,103,420,26,80.2,1
State,Tripura,36,0,9,27,7,75,0.1
State,Uttar Pradesh,17092,51,3267,13774,1961,80.6,32.1
State,Uttarakhand,241,0,26,215,17,89.2,0.5
State,West Bengal,205,12,46,147,3,71.7,0.3
State,Total (States),51461,564,9729,41168,3634,80,96.1
Union Territory,A & N Islands,28,0,3,25,0,89.3,0.1
Union Territory,Chandigarh,146,0,28,118,3,80.8,0.3
Union Territory,D & N Haveli,6,0,0,6,0,100,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,1779,0,272,1507,181,84.7,3.5
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,26,0,2,24,0,92.3,0.1
Union Territory,Total (UTs),1985,0,305,1680,184,84.6,3.9
Total (All-India),Total (All-India),53446,564,10034,42848,3818,80.2,100
