States/ UTs,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Andhra Pradesh,Adilabad,113,83,11,50,0,50,48,42,6,4,0,9,177,256,46,210,88,34,152,5,30,1266,14,135,71,296,0,271,1898,5011
Andhra Pradesh,Anantapur,152,79,5,20,0,20,51,31,20,8,0,35,208,442,199,243,143,24,119,2,51,1142,11,196,50,147,0,299,1112,4296
Andhra Pradesh,Chittoor,105,52,1,28,0,28,69,27,42,8,0,17,337,1055,221,834,82,26,267,3,30,1065,22,116,197,234,0,2058,1188,6960
Andhra Pradesh,Cuddapah,96,58,0,14,0,14,39,31,8,3,0,5,111,275,68,207,74,16,120,1,37,1153,7,118,49,120,0,317,1494,4107
Andhra Pradesh,Cyberabad,145,74,8,40,0,40,69,69,0,12,0,43,941,1697,405,1292,32,29,647,6,21,2922,43,106,85,517,0,788,1686,9911
Andhra Pradesh,East Godavari,96,101,1,31,0,31,47,23,24,3,0,17,392,1106,171,935,105,86,251,12,23,3023,13,112,105,293,0,473,1451,7741
Andhra Pradesh,Guntakal Rly.,8,1,0,0,0,0,0,0,0,1,0,1,0,177,0,177,0,0,2,5,0,7,0,1,0,0,0,2,133,338
Andhra Pradesh,Guntur,163,96,0,46,0,46,88,60,28,5,0,36,349,1479,110,1369,133,44,405,9,58,1714,32,186,104,397,0,437,2763,8544
Andhra Pradesh,Hyderabad City,121,135,1,56,0,56,136,62,74,11,2,71,1359,5735,2078,3657,141,110,2160,19,37,4837,29,144,206,1142,2,482,1932,18868
Andhra Pradesh,Karimnagar,123,93,9,85,0,85,124,98,26,7,0,25,236,540,75,465,184,55,444,12,64,2902,61,370,155,717,0,360,1482,8048
Andhra Pradesh,Khammam,108,52,4,43,0,43,70,46,24,6,0,23,242,482,85,397,122,37,166,0,45,1136,18,176,310,400,0,352,2136,5928
Andhra Pradesh,Krishna,60,57,1,33,0,33,28,13,15,4,0,13,197,732,31,701,53,16,162,8,31,2070,13,182,108,362,0,243,1004,5377
Andhra Pradesh,Kurnool,112,96,3,29,0,29,46,32,14,5,0,15,179,328,101,227,125,22,221,6,48,1271,6,242,157,230,0,357,1874,5372
Andhra Pradesh,Mahaboobnagar,183,87,23,56,0,56,63,52,11,15,0,36,290,479,2,477,171,38,109,7,40,902,21,164,10,251,0,522,1078,4545
Andhra Pradesh,Medak,127,36,10,52,0,52,49,32,17,10,0,19,257,505,88,417,53,33,139,11,55,1888,41,86,54,229,0,449,686,4789
Andhra Pradesh,Nalgonda,118,59,5,46,0,46,72,57,15,4,0,26,205,401,83,318,115,26,156,5,69,1368,34,200,66,272,0,528,2234,6009
Andhra Pradesh,Nellore,94,248,13,107,0,107,72,55,17,49,0,40,421,873,219,654,263,24,307,2,62,1919,11,173,88,142,0,516,1623,7047
