Sr. No.,Category,States/ UTs/ Cities,Incidence,Percentage Contribution to All India/ Cities Total, Estimated Mid-Year Population @,Rate of Total Cognizable Crimes,Rank as per Rate of total cognizable crimes,Rank as per percentage share
1,State,Andhra Pradesh,18921,12.3,788.5,24,2,1
2,State,Arunachal Pradesh,148,0.1,11.4,12.9,16,24
3,State,Assam,5700,3.7,282.1,20.2,5,11
4,State,Bihar,8091,5.2,883.1,9.2,24,8
5,State,Chhattisgarh,3763,2.4,221.5,17,11,15
6,State,Goa,132,0.1,14.7,9,25,26
7,State,Gujarat,6211,4,534.6,11.6,18,10
8,State,Haryana,4276,2.8,224.2,19.1,10,14
9,State,Himachal Pradesh,823,0.5,63.2,13,15,21
10,State,Jammu & Kashmir,2208,1.4,110.4,20,7,18
11,State,Jharkhand,2490,1.6,284.5,8.8,26,17
12,State,Karnataka,5423,3.5,550.4,9.9,21,12
13,State,Kerala,6483,4.2,329.8,19.7,8,9
14,State,Madhya Pradesh,15203,9.9,646.7,23.5,3,3
15,State,Maharashtra,12169,7.9,1017.5,12,17,5
16,State,Manipur,134,0.1,25.1,5.3,31,25
17,State,Meghalaya,113,0.1,24.2,4.7,32,27
18,State,Mizoram,91,0.1,9.4,9.7,22,29
19,State,Nagaland,30,0,21,1.4,35,31
20,State,Orissa,5239,3.4,382.9,13.7,13,13
21,State,Punjab,1955,1.3,254.4,7.7,29,19
22,State,Rajasthan,13127,8.5,605.1,21.7,4,4
23,State,Sikkim,49,0,5.7,8.6,28,30
24,State,Tamil Nadu,9332,6,642.3,14.5,12,7
25,State,Tripura,670,0.4,33.4,20,6,22
26,State,Uttar Pradesh,15485,10,1779.4,8.7,27,2
27,State,Uttarakhand,988,0.6,89.7,11,19,20
28,State,West Bengal,11047,7.2,839.5,13.2,14,6
State,State,Total (States),150301,97.4,10674.76,14.1,NA,NA
29,Union Territory,A & N Islands,27,0,3.8,7.1,30,32
30,Union Territory,Chandigarh,188,0.1,9.8,19.3,9,23
31,Union Territory,D & N Haveli,22,0,2.4,9.2,23,33
32,Union Territory,Daman & Diu,7,0,1.7,4.1,33,34
33,Union Territory,Delhi,3677,2.4,152.8,24.1,1,16
34,Union Territory,Lakshadweep,1,0,0.6,1.6,34,35
35,Union Territory,Puducherry,110,0.1,10.2,10.8,20,28
Union Territory,Union Territory,Total (UTs),4032,2.6,181.24,22.2,NA,NA
Total (All-India),Total (All-India),Total (All-India),154333,100,10856,14.2,NA,NA
36,City,Agra,474,2.3,13.2,35.9,3,15
37,City,Ahmedabad,1028,5,45.2,22.7,18,6
38,City,Allahabad,119,0.6,10.5,11.3,30,32
39,City,Amritsar,116,0.6,10.1,11.5,29,34
40,City,Asansol,303,1.5,10.9,27.8,10,23
41,City,Bangalore,1219,5.9,56.9,21.4,19,3
42,City,Bhopal,427,2.1,14.6,29.3,9,16
43,City,Chennai,868,4.2,64.3,13.5,24,7
44,City,Coimbatore,339,1.7,14.5,23.4,17,21
45,City,Delhi (City),3334,16.3,127.9,26.1,13,1
46,City,Dhanbad,94,0.5,10.6,8.8,32,35
47,City,Faridabad,609,3,10.6,57.7,2,11
48,City,Hyderabad,1978,9.7,55.3,35.7,5,2
49,City,Indore,587,2.9,16.4,35.8,4,13
50,City,Jabalpur,347,1.7,11.2,31.1,7,19
51,City,Jaipur,818,4,23.2,35.2,6,8
52,City,Jamshedpur,146,0.7,11,13.2,26,31
53,City,Kanpur,634,3.1,26.9,23.6,16,10
54,City,Kochi,182,0.9,13.6,13.4,25,30
55,City,Kolkata,669,3.3,132.2,5.1,35,9
56,City,Lucknow,587,2.9,22.7,25.9,14,12
57,City,Ludhiana,246,1.2,14,17.6,21,25
58,City,Madurai,326,1.6,12,27.3,11,22
59,City,Meerut,354,1.7,11.7,30.3,8,18
60,City,Mumbai,1191,5.8,163.7,7.3,34,4
61,City,Nagpur,342,1.7,21.2,16.1,22,20
62,City,Nasik,204,1,11.5,17.7,20,29
63,City,Patna,207,1,17.1,12.1,28,28
64,City,Pune,483,2.4,37.6,12.9,27,14
65,City,Rajkot,251,1.2,10,25,15,24
66,City,Surat,220,1.1,28.1,7.8,33,26
67,City,Vadodara,208,1,14.9,13.9,23,27
68,City,Varanasi,116,0.6,12.1,9.6,31,33
69,City,Vijayawada,1107,5.4,10.1,109.5,1,5
70,City,Vishakhapatnam,359,1.8,13.3,27,12,17
Total (Cities),Total (Cities),Total (Cities),20492,100,1078.8,19,NA,NA
