Sr. No,Category,States/ UTs,Total No. of Persons under Arrest* Including those from Previous Year,Number of Persons Released before Trial,Number of Persons Charge Sheeted,Number of Persons under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,282670,8598,200094,73978,26.2,13.3
2,State,Arunachal Pradesh,4051,925,1628,1498,37,0.3
3,State,Assam,124761,24613,39354,60794,48.7,10.9
4,State,Bihar,279360,31576,168865,78919,28.2,14.2
5,State,Chhattisgarh,58873,940,57286,647,1.1,0.1
6,State,Goa,3502,300,1959,1243,35.5,0.2
7,State,Gujarat,151598,136,142882,8580,5.7,1.5
8,State,Haryana,57199,35,53756,3408,6,0.6
9,State,Himachal Pradesh,20154,144,18085,1925,9.6,0.3
10,State,Jammu & Kashmir,28468,133,28118,217,0.8,0
11,State,Jharkhand,54015,3197,32921,17897,33.1,3.2
12,State,Karnataka,158399,6078,133605,18716,11.8,3.4
13,State,Kerala,187290,4375,147971,34944,18.7,6.3
14,State,Madhya Pradesh,325656,39,322907,2710,0.8,0.5
15,State,Maharashtra,314390,5311,256432,52647,16.7,9.5
16,State,Manipur,2962,1216,164,1582,53.4,0.3
17,State,Meghalaya,4440,759,744,2937,66.1,0.5
18,State,Mizoram,2846,101,1057,1688,59.3,0.3
19,State,Nagaland,2262,72,1411,779,34.4,0.1
20,State,Orissa,83330,3,75152,8175,9.8,1.5
21,State,Punjab,62660,2637,39942,20081,32,3.6
22,State,Rajasthan,195306,7,194365,934,0.5,0.2
23,State,Sikkim,1163,236,361,566,48.7,0.1
24,State,Tamil Nadu,257004,4341,204017,48646,18.9,8.7
25,State,Tripura,6652,1395,2937,2320,34.9,0.4
26,State,Uttar Pradesh,235836,9154,204056,22626,9.6,4.1
27,State,Uttaranchal,16200,1584,11896,2720,16.8,0.5
28,State,West Bengal,172547,25203,91238,56106,32.5,10.1
State,State,Total (States),3093594,133108,2433203,527283,17,94.8
29,Union Territory,A & N Islands,1121,0,812,309,27.6,0.1
30,Union Territory,Chandigarh,3114,187,2438,489,15.7,0.1
31,Union Territory,D & N Haveli,748,5,607,136,18.2,0
32,Union Territory,Daman & Diu,398,2,355,41,10.3,0
33,Union Territory,Delhi,74557,4139,42960,27458,36.8,4.9
34,Union Territory,Lakshadweep,41,0,3,38,92.7,0
35,Union Territory,Pondicherry,7063,0,6392,671,9.5,0.1
Union Territory,Union Territory,Total (UTs),87042,4333,53567,29142,33.5,5.2
Total (All-India),Total (All-India),Total (All-India),3180636,137441,2486770,556425,17.5,100
