Sr. No.,Category,States/ UTs/ Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs & Psychotropic Substances Act - Incidence,Narcotic Drugs & Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosive & Explosive Substances Act - Incidence,Explosive & Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyrights Act - Incidence,Copyrights Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ ST (Prevention of Atrocities) Act (Total) - Incidence,SC/ ST (Prevention of Atrocities) Act (Total) - Rate,SC/ ST (Prevention of Atrocities ) Act for SCs - Incidence,SC/ ST (Prevention of Atrocities ) Act for SCs - Rate,SC/ ST (Prevention of Atrocities) Act for STs - Incidence,SC/ ST (Prevention of Atrocities) Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
1,State,Andhra Pradesh,300,0.4,441,0.6,36258,46,1686,2.1,1020,1.3,474,0.6,405,0.5,53,0.1,3,0,72,0.1,68,0.1,4,0,65,0.1,36,0,0,0,9,0,339,0.4,4,0,1102,1.4,500,0.6,0,0,1466,1.9,1319,1.7,147,0.2,28,0,408597,518.2,452858,574.3
2,State,Arunachal Pradesh,16,1.4,30,2.6,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4.5,101,8.8
3,State,Assam,310,1.1,129,0.5,138,0.5,44,0.2,0,0,93,0.3,28,0.1,0,0,0,0,0,0,0,0,0,0,14,0,24,0.1,0,0,0,0,36,0.1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,26,0.1,2130,7.6,2987,10.6
4,State,Bihar,2403,2.7,240,0.3,153,0.2,1135,1.3,12,0,339,0.4,24,0,35,0,0,0,98,0.1,93,0.1,5,0,1,0,174,0.2,0,0,2,0,1220,1.4,3,0,0,0,16,0,0,0,1838,2.1,1813,2.1,25,0,159,0.2,1361,1.5,9213,10.4
5,State,Chhattisgarh,1156,5.2,403,1.8,11631,52.5,10745,48.5,2,0,187,0.8,9,0,2288,10.3,0,0,0,0,0,0,0,0,0,0,77,0.3,0,0,0,0,7,0,14,0.1,0,0,53,0.2,0,0,339,1.5,138,0.6,201,0.9,2,0,116559,526.1,143472,647.6
6,State,Goa,2,0.1,30,2,1471,100.4,0,0,0,0,0,0,28,1.9,0,0,20,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.3,0,0,0,0,0,0,0,0,0,0,3200,218.4,4770,325.6
7,State,Gujarat,295,0.6,108,0.2,8468,15.8,0,0,120862,226.1,62,0.1,33,0.1,3632,6.8,2,0,5,0,5,0,0,0,16,0,321,0.6,0,0,0,0,0,0,30,0.1,0,0,590,1.1,0,0,470,0.9,411,0.8,59,0.1,0,0,32750,61.3,167644,313.6
8,State,Haryana,1393,6.2,1391,6.2,8186,36.5,11438,51,0,0,17,0.1,62,0.3,546,2.4,5,0,0,0,0,0,0,0,1,0,101,0.5,0,0,0,0,6,0,2,0,0,0,200,0.9,0,0,31,0.1,31,0.1,0,0,0,0,1788,8,25167,112.3
9,State,Himachal Pradesh,16,0.3,319,5.1,638,10.1,3283,52,0,0,3,0,4,0.1,0,0,10,0.2,2,0,2,0,0,0,0,0,17,0.3,0,0,0,0,5,0.1,2,0,2,0,48,0.8,0,0,42,0.7,40,0.6,2,0,177,2.8,135,2.1,4703,74.5
10,State,Jammu & Kashmir,761,6.9,162,1.5,126,1.1,319,2.9,0,0,201,1.8,11,0.1,0,0,28,0.3,3,0,3,0,0,0,7,0.1,804,7.3,0,0,0,0,2,0,0,0,0,0,12,0.1,0,0,0,0,0,0,0,0,11,0.1,191,1.7,2638,23.9
