Sr. No.,Category,States/ UTs,Gain - Murder,Gain - C.H.,Property Dispute - Murder,Property Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Witchcraft - Murder,Witchcraft - C.H.,For Political Reasons - Murder,For Political Reasons - C.H.,By Terrorist/ Extremists - Murder,By Terrorist/ Extremists - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
1,State,Andhra Pradesh,129,15,179,0,458,8,390,0,116,0,6,0,24,1,46,0,52,0,0,0,3,0,8,0,1168,139,2579,163
2,State,Arunachal Pradesh,0,0,3,0,6,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,52,1,67,1
3,State,Assam,47,3,160,3,91,0,44,2,62,0,2,0,0,0,0,0,77,0,0,0,0,0,2,0,729,55,1214,63
4,State,Bihar,301,6,769,29,441,15,169,2,261,10,0,0,0,0,37,0,42,3,0,0,14,0,0,0,1914,215,3948,280
5,State,Chhattisgarh,23,2,73,2,153,3,64,2,15,0,6,0,11,0,0,0,33,0,8,0,2,0,17,0,522,16,927,25
6,State,Goa,10,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,40,5
7,State,Gujarat,60,0,117,1,116,5,129,1,10,0,5,0,1,0,2,0,1,0,7,0,2,0,0,0,663,20,1113,27
8,State,Haryana,29,3,171,8,174,16,56,1,12,0,1,0,0,0,0,0,11,7,27,0,0,0,0,0,252,30,733,65
9,State,Himachal Pradesh,9,0,15,2,21,2,11,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,8,110,12
10,State,Jammu & Kashmir,1,0,17,3,9,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,105,26,816,29
11,State,Jharkhand,103,7,228,9,242,1,158,9,70,13,3,3,26,2,25,3,22,0,0,2,9,3,3,2,599,61,1488,115
12,State,Karnataka,48,3,75,0,130,3,109,0,27,0,0,0,0,0,10,0,0,0,3,0,2,0,0,0,1115,51,1519,57
13,State,Kerala,28,12,11,45,172,36,7,0,1,5,0,0,0,0,9,25,1,2,0,0,0,0,0,0,188,348,417,473
14,State,Madhya Pradesh,91,2,314,1,489,6,215,2,78,3,2,0,14,0,5,0,2,0,3,0,1,0,3,0,1162,174,2379,188
15,State,Maharashtra,74,0,147,1,215,2,267,0,99,2,6,3,4,0,8,0,14,0,0,0,0,0,32,1,1830,106,2696,115
16,State,Manipur,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,77,3,159,3
17,State,Meghalaya,3,2,10,0,15,0,1,0,1,0,0,0,1,0,0,0,16,0,1,1,0,0,0,0,76,4,124,7
18,State,Mizoram,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,2,35,2
19,State,Nagaland,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,10,0,1,0,0,0,0,0,55,4,70,5
20,State,Orissa,41,2,45,5,115,2,63,2,163,1,0,0,22,0,2,0,6,0,0,0,0,0,13,0,596,13,1066,25
