Category,Crime Head,Cases Registered,Persons Arrested
Offences under IT Act,Tampering Computer Source Department,2,0
Offences under IT Act,Hacking Computer Systems - i) Loss/ Damage to Computer Resource/ Utility),14,31
Offences under IT Act,Hacking Computer Systems - ii) Hacking),12,1
Offences under IT Act,Obscene Publication/ Transmission in Electronic Form,34,21
Offences under IT Act,Failure - i) of Compliance/ Orders of Certifying Authority,0,0
Offences under IT Act,Failure - ii) To Assist to Decoy or the Information in Interception by Govt,0,0
Offences under IT Act,Unauthorised Access/ Attempt to Access of Protected Computer System,0,0
Offences under IT Act,Obtaining Licence or Digital Signature by Misrepresentation/ Suppression of Fact,0,0
Offences under IT Act,Publishing False Digital Signature/ Certificate,0,0
Offences under IT Act,Fraud Digital Signature,0,0
Offences under IT Act,Breach of Confidentiality/ Privacy,6,7
Offences under IT Act,Other,0,0
Offences under IT Act,Total (Offences under IT Act),68,60
Offences under IPC,Public Servant Offences by/ against,0,0
Offences under IPC,False Electronic Evidence,0,0
Offences under IPC,Destruction of Electronic Evidence,0,0
Offences under IPC,Forgery,77,81
Offences under IPC,Criminal Breach of Trust/ Fraud,173,181
Offences under IPC,Counterfeiting - i) Property/ Mark,12,8
Offences under IPC,Counterfeiting - ii) Tampering,7,16
Offences under IPC,Counterfeiting - iii) Currency/ Stamps,10,43
Offences under IPC,Total (Offences under IPC),279,329
Grand Total (Offences under IT Act+Offences under IPC ),Grand Total (Offences under IT Act+Offences under IPC ),347,389
