Sr. No.,Category,States/ UTs/ Cities,Estimated Mid-Year Population (In Lakhs)@,Rape - Incidence,Rape - Rate of Crime,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate of Crime,Kidnapping & Abduction - Percentage Share,Dowry Deaths - Incidence,Dowry Deaths - Rate of Crime,Dowry Deaths - Percentage Share,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate of Crime,Cruelty by Husband and Relatives - Percentage Share,Molestation - Incidence,Molestation - Rate of Crime,Molestation - Percentage Share,Eve Teasing (Sexual Harassment) - Incidence,Eve Teasing (Sexual Harassment) - Rate of Crime,Eve Teasing (Sexual Harassment) - Percentage Share,Importation of Girls - Incidence,Importation of Girls - Rate of Crime,Importation of Girls - Percentage Share,Sati Prevention Act - Incidence,Sati Prevention Act - Rate of Crime,Sati Prevention Act - Percentage Share,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate of Crime,Immoral Traffic (P) Act - Percentage Share,Indecent Representation Of Women (P) Act - Incidence,Indecent Representation Of Women (P) Act - Rate of Crime,Indecent Representation Of Women (P) Act - Percentage Share,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate of Crime,Dowry Prohibition Act - Percentage Share,Total - Incidence,Total - Rate of Crime,Total - Percentage Share
1,State,Andhra Pradesh,788.5,1016,1.3,5.6,1030,1.3,6.6,512,0.6,7.3,8388,10.6,14.4,3817,4.8,11,2310,2.9,23.1,2,0,2.2,0,0,0,405,0.5,7,1102,1.4,80,339,0.4,9.4,18921,24,12.3
2,State,Arunachal Pradesh,11.44,42,3.7,0.2,41,3.6,0.3,0,0,0,4,0.3,0,61,5.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,12.9,0.1
3,State,Assam,282.11,1171,4.2,6.4,1552,5.5,10,74,0.3,1.1,1945,6.9,3.3,883,3.1,2.6,11,0,0.1,0,0,0,0,0,0,28,0.1,0.5,0,0,0,36,0.1,1,5700,20.2,3.7
4,State,Bihar,883.09,1390,1.6,7.6,997,1.1,6.4,1029,1.2,14.6,2679,3,4.6,704,0.8,2,13,0,0.1,35,0,39.3,0,0,0,24,0,0.4,0,0,0,1220,1.4,34,8091,9.2,5.2
5,State,Chhattisgarh,221.54,969,4.4,5.3,174,0.8,1.1,71,0.3,1,741,3.3,1.3,1661,7.5,4.8,131,0.6,1.3,0,0,0,0,0,0,9,0,0.2,0,0,0,7,0,0.2,3763,17,2.4
6,State,Goa,14.65,37,2.5,0.2,10,0.7,0.1,2,0.1,0,17,1.2,0,23,1.6,0.1,15,1,0.1,0,0,0,0,0,0,28,1.9,0.5,0,0,0,0,0,0,132,9,0.1
7,State,Gujarat,534.64,339,0.6,1.9,905,1.7,5.8,58,0.1,0.8,3955,7.4,6.8,757,1.4,2.2,164,0.3,1.6,0,0,0,0,0,0,33,0.1,0.6,0,0,0,0,0,0,6211,11.6,4
8,State,Haryana,224.2,386,1.7,2.1,292,1.3,1.9,251,1.1,3.6,2026,9,3.5,403,1.8,1.2,850,3.8,8.5,0,0,0,0,0,0,62,0.3,1.1,0,0,0,6,0,0.2,4276,19.1,2.8
9,State,Himachal Pradesh,63.16,153,2.4,0.8,99,1.6,0.6,8,0.1,0.1,252,4,0.4,284,4.5,0.8,16,0.3,0.2,0,0,0,0,0,0,4,0.1,0.1,2,0,0.1,5,0.1,0.1,823,13,0.5
10,State,Jammu & Kashmir,110.41,218,2,1.2,632,5.7,4.1,9,0.1,0.1,82,0.7,0.1,990,9,2.9,264,2.4,2.6,0,0,0,0,0,0,11,0.1,0.2,0,0,0,2,0,0.1,2208,20,1.4
