Sr. No.,Category,States/ UTs/ Cities,Estimated Mid-Year Population (In Lakhs)@,Rape - Incidence,Rape - Rate of Crime,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate of Crime,Kidnapping & Abduction - Percentage Share,Dowry Deaths - Incidence,Dowry Deaths - Rate of Crime,Dowry Deaths - Percentage Share,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate of Crime,Cruelty by Husband and Relatives - Percentage Share,Molestation - Incidence,Molestation - Rate of Crime,Molestation - Percentage Share,Eve Teasing (Sexual Harassment) - Incidence,Eve Teasing (Sexual Harassment) - Rate of Crime,Eve Teasing (Sexual Harassment) - Percentage Share,Importation of Girls - Incidence,Importation of Girls - Rate of Crime,Importation of Girls - Percentage Share,Sati Prevention Act - Incidence,Sati Prevention Act - Rate of Crime,Sati Prevention Act - Percentage Share,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate of Crime,Immoral Traffic (P) Act - Percentage Share,Indecent Representation Of Women (P) Act - Incidence,Indecent Representation Of Women (P) Act - Rate of Crime,Indecent Representation Of Women (P) Act - Percentage Share,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate of Crime,Dowry Prohibition Act - Percentage Share,Total - Incidence,Total - Rate of Crime,Total - Percentage Share
11,State,Jharkhand,284.49,797,2.8,4.4,178,0.6,1.1,275,1,3.9,588,2.1,1,411,1.4,1.2,3,0,0,36,0.1,40.4,0,0,0,3,0,0.1,0,0,0,199,0.7,5.5,2490,8.8,1.6
12,State,Karnataka,550.44,291,0.5,1.6,286,0.5,1.8,259,0.5,3.7,1588,2.9,2.7,1435,2.6,4.2,57,0.1,0.6,0,0,0,0,0,0,1170,2.1,20.4,0,0,0,337,0.6,9.4,5423,9.9,3.5
13,State,Kerala,329.82,480,1.5,2.6,142,0.4,0.9,31,0.1,0.4,3222,9.8,5.5,2260,6.9,6.5,133,0.4,1.3,0,0,0,0,0,0,168,0.5,2.9,45,0.1,3.3,2,0,0.1,6483,19.7,4.2
14,State,Madhya Pradesh,646.65,2875,4.4,15.8,584,0.9,3.7,751,1.2,10.7,3436,5.3,5.9,6690,10.3,19.4,804,1.2,8,0,0,0,0,0,0,23,0,0.4,0,0,0,40,0.1,1.1,15203,23.5,9.9
15,State,Maharashtra,1017.45,1388,1.4,7.6,787,0.8,5.1,314,0.3,4.5,5646,5.5,9.7,2831,2.8,8.2,862,0.8,8.6,0,0,0,0,0,0,309,0.3,5.4,11,0,0.8,21,0,0.6,12169,12,7.9
16,State,Manipur,25.09,31,1.2,0.2,71,2.8,0.5,0,0,0,2,0.1,0,30,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,5.3,0.1
17,State,Meghalaya,24.21,54,2.2,0.3,18,0.7,0.1,2,0.1,0,5,0.2,0,34,1.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,4.7,0.1
18,State,Mizoram,9.36,20,2.1,0.1,0,0,0,0,0,0,0,0,0,66,7.1,0.2,0,0,0,0,0,0,0,0,0,5,0.5,0.1,0,0,0,0,0,0,91,9.7,0.1
19,State,Nagaland,20.96,18,0.9,0.1,4,0.2,0,0,0,0,0,0,0,3,0.1,0,1,0,0,0,0,0,0,0,0,4,0.2,0.1,0,0,0,0,0,0,30,1.4,0
20,State,Orissa,382.94,770,2,4.2,423,1.1,2.7,319,0.8,4.5,1192,3.1,2.1,1811,4.7,5.2,170,0.4,1.7,0,0,0,0,0,0,22,0.1,0.4,0,0,0,532,1.4,14.8,5239,13.7,3.4
21,State,Punjab,254.43,390,1.5,2.1,311,1.2,2,113,0.4,1.6,801,3.1,1.4,261,1,0.8,38,0.1,0.4,0,0,0,0,0,0,32,0.1,0.6,2,0,0.1,7,0,0.2,1955,7.7,1.3
22,State,Rajasthan,605.11,1038,1.7,5.7,1881,3.1,12.1,379,0.6,5.4,6781,11.2,11.7,2825,4.7,8.2,41,0.1,0.4,1,0,1.1,0,0,0,79,0.1,1.4,89,0.1,6.5,13,0,0.4,13127,21.7,8.5
23,State,Sikkim,5.68,3,0.5,0,4,0.7,0,0,0,0,1,0.2,0,40,7,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,49,8.6,0
24,State,Tamil Nadu,642.3,618,1,3.4,692,1.1,4.4,225,0.4,3.2,1437,2.2,2.5,1861,2.9,5.4,1081,1.7,10.8,0,0,0,0,0,0,3022,4.7,52.6,102,0.2,7.4,294,0.5,8.2,9332,14.5,6
25,State,Tripura,33.42,160,4.8,0.9,54,1.6,0.3,20,0.6,0.3,302,9,0.5,134,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,20,0.4
26,State,Uttar Pradesh,1779.41,1397,0.8,7.7,2324,1.3,14.9,1708,1,24.3,4950,2.8,8.5,1900,1.1,5.5,2682,1.5,26.8,3,0,3.4,0,0,0,44,0,0.8,0,0,0,477,0.3,13.3,15485,8.7,10
27,State,Uttarakhand,89.73,115,1.3,0.6,127,1.4,0.8,82,0.9,1.2,405,4.5,0.7,143,1.6,0.4,110,1.2,1.1,0,0,0,0,0,0,4,0,0.1,0,0,0,2,0,0.1,988,11,0.6
28,State,West Bengal,839.53,1475,1.8,8.1,1018,1.2,6.5,396,0.5,5.6,6334,7.5,10.9,1566,1.9,4.5,64,0.1,0.6,12,0,13.5,0,0,0,121,0.1,2.1,25,0,1.8,36,0,1,11047,13.2,7.2
State,State,Total (States),10674.76,17641,1.7,96.8,14636,1.4,94,6888,0.6,98,56779,5.3,97.7,33884,3.2,98,9820,0.9,98.2,89,0,100,0,0,0,5611,0.5,97.6,1378,0.1,100,3575,0.3,99.5,150301,14.1,97.4
29,Union Territory,A & N Islands,3.79,10,2.6,0.1,3,0.8,0,0,0,0,5,1.3,0,6,1.6,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7.1,0
30,Union Territory,Chandigarh,9.76,19,1.9,0.1,43,4.4,0.3,6,0.6,0.1,73,7.5,0.1,20,2,0.1,18,1.8,0.2,0,0,0,0,0,0,9,0.9,0.2,0,0,0,0,0,0,188,19.3,0.1
31,Union Territory,D & N Haveli,2.38,7,2.9,0,7,2.9,0,0,0,0,3,1.3,0,5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9.2,0
32,Union Territory,Daman & Diu,1.71,1,0.6,0,0,0,0,0,0,0,4,2.3,0,1,0.6,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,7,4.1,0
33,Union Territory,Delhi,152.79,551,3.6,3,881,5.8,5.7,126,0.8,1.8,1254,8.2,2.2,601,3.9,1.7,130,0.9,1.3,0,0,0,0,0,0,123,0.8,2.1,0,0,0,11,0.1,0.3,3677,24.1,2.4
34,Union Territory,Lakshadweep,0.64,0,0,0,0,0,0,0,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,0
35,Union Territory,Puducherry,10.17,4,0.4,0,8,0.8,0.1,6,0.6,0.1,2,0.2,0,50,4.9,0.1,30,2.9,0.3,0,0,0,0,0,0,4,0.4,0.1,0,0,0,6,0.6,0.2,110,10.8,0.1
Union Territory,Union Territory,Total (UTs),181.24,592,3.3,3.2,942,5.2,6,138,0.8,2,1342,7.4,2.3,683,3.8,2,181,1,1.8,0,0,0,0,0,0,137,0.8,2.4,0,0.8,0,17,0.1,0.5,4032,22.2,2.6
Total (All-India),Total (All-India),Total (All-India),10856,18233,1.7,100,15578,1.4,100,7026,0.6,100,58121,5.4,100,34567,3.2,100,10001,0.9,100,89,0,100,0,0,0,5748,0.5,100,1378,0.1,100,3592,0.3,100,154333,14.2,100
36,City,Agra,13.21,16,1.2,1.1,87,6.6,3.8,30,2.3,5.4,212,16,2.5,42,3.2,1.5,82,6.2,3.4,0,0,0,0,0,0,5,0.4,0.3,0,0,0,0,0,0,474,35.9,2.3
37,City,Ahmedabad,45.19,40,0.9,2.6,122,2.7,5.3,10,0.2,1.8,768,17,9.2,63,1.4,2.3,20,0.4,0.8,0,0,0,0,0,0,5,0.1,0.3,0,0,0,0,0,0,1028,22.7,5
38,City,Allahabad,10.5,2,0.2,0.1,17,1.6,0.7,11,1,2,65,6.2,0.8,4,0.4,0.1,17,1.6,0.7,0,0,0,0,0,0,1,0.1,0.1,0,0,0,2,0.2,0.6,119,11.3,0.6
39,City,Amritsar,10.11,22,2.2,1.5,26,2.6,1.1,5,0.5,0.9,45,4.5,0.5,9,0.9,0.3,7,0.7,0.3,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,116,11.5,0.6
40,City,Asansol,10.91,9,0.8,0.6,1,0.1,0,7,0.6,1.3,247,22.6,3,37,3.4,1.3,2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,27.8,1.5
41,City,Bangalore,56.87,32,0.6,2.1,61,1.1,2.6,44,0.8,7.9,227,4,2.7,151,2.7,5.5,35,0.6,1.4,0,0,0,0,0,0,422,7.4,22.1,0,0,0,247,4.3,79.4,1219,21.4,5.9
42,City,Bhopal,14.55,47,3.2,3.1,35,2.4,1.5,16,1.1,2.9,135,9.3,1.6,161,11.1,5.8,21,1.4,0.9,0,0,0,0,0,0,8,0.5,0.4,0,0,0,4,0.3,1.3,427,29.3,2.1
43,City,Chennai,64.25,30,0.5,2,20,0.3,0.9,23,0.4,4.1,154,2.4,1.8,55,0.9,2,189,2.9,7.8,0,0,0,0,0,0,392,6.1,20.6,4,0.1,1.1,1,0,0.3,868,13.5,4.2
44,City,Coimbatore,14.46,4,0.3,0.3,4,0.3,0.2,4,0.3,0.7,28,1.9,0.3,16,1.1,0.6,4,0.3,0.2,0,0,0,0,0,0,255,17.6,13.4,23,1.6,6.2,1,0.1,0.3,339,23.4,1.7
45,City,Delhi (City),127.91,457,3.6,30.3,766,6,33.3,111,0.9,19.8,1235,9.7,14.8,506,4,18.3,128,1,5.3,0,0,0,0,0,0,120,0.9,6.3,0,0,0,11,0.1,3.5,3334,26.1,16.3
46,City,Dhanbad,10.64,23,2.2,1.5,24,2.3,1,14,1.3,2.5,3,0.3,0,5,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.3,8,94,8.8,0.5
47,City,Faridabad,10.55,16,1.5,1.1,38,3.6,1.7,13,1.2,2.3,90,8.5,1.1,14,1.3,0.5,434,41.1,17.8,0,0,0,0,0,0,2,0.2,0.1,0,0,0,2,0.2,0.6,609,57.7,3
48,City,Hyderabad,55.34,56,1,3.7,62,1.1,2.7,29,0.5,5.2,1142,20.6,13.7,144,2.6,5.2,206,3.7,8.5,2,0,66.7,0,0,0,39,0.7,2,297,5.4,80.3,1,0,0.3,1978,35.7,9.7
49,City,Indore,16.39,74,4.5,4.9,24,1.5,1,23,1.4,4.1,230,14,2.8,174,10.6,6.3,56,3.4,2.3,0,0,0,0,0,0,5,0.3,0.3,0,0,0,1,0.1,0.3,587,35.8,2.9
50,City,Jabalpur,11.17,49,4.4,3.2,13,1.2,0.6,10,0.9,1.8,54,4.8,0.6,134,12,4.9,87,7.8,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,31.1,1.7
51,City,Jaipur,23.24,56,2.4,3.7,134,5.8,5.8,21,0.9,3.8,402,17.3,4.8,133,5.7,4.8,0,0,0,0,0,0,0,0,0,29,1.2,1.5,43,1.9,11.6,0,0,0,818,35.2,4
52,City,Jamshedpur,11.02,24,2.2,1.6,40,3.6,1.7,3,0.3,0.5,47,4.3,0.6,29,2.6,1.1,0,0,0,0,0,0,0,0,0,3,0.3,0.2,0,0,0,0,0,0,146,13.2,0.7
53,City,Kanpur,26.9,20,0.7,1.3,83,3.1,3.6,46,1.7,8.2,202,7.5,2.4,40,1.5,1.4,239,8.9,9.8,0,0,0,0,0,0,1,0,0.1,0,0,0,3,0.1,1,634,23.6,3.1
54,City,Kochi,13.55,7,0.5,0.5,8,0.6,0.3,1,0.1,0.2,79,5.8,0.9,64,4.7,2.3,5,0.4,0.2,0,0,0,0,0,0,17,1.3,0.9,1,0.1,0.3,0,0,0,182,13.4,0.9
55,City,Kolkata,132.17,27,0.2,1.8,95,0.7,4.1,10,0.1,1.8,252,1.9,3,174,1.3,6.3,34,0.3,1.4,1,0,33.3,0,0,0,76,0.6,4,0,0,0,0,0,0,669,5.1,3.3
56,City,Lucknow,22.67,29,1.3,1.9,104,4.6,4.5,22,1,3.9,255,11.2,3.1,41,1.8,1.5,136,6,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,25.9,2.9
57,City,Ludhiana,13.95,44,3.2,2.9,46,3.3,2,5,0.4,0.9,95,6.8,1.1,31,2.2,1.1,22,1.6,0.9,0,0,0,0,0,0,1,0.1,0.1,2,0.1,0.5,0,0,0,246,17.6,1.2
58,City,Madurai,11.95,8,0.7,0.5,23,1.9,1,5,0.4,0.9,38,3.2,0.5,34,2.8,1.2,40,3.3,1.6,0,0,0,0,0,0,178,14.9,9.3,0,0,0,0,0,0,326,27.3,1.6
59,City,Meerut,11.67,13,1.1,0.9,35,3,1.5,7,0.6,1.3,153,13.1,1.8,27,2.3,1,115,9.9,4.7,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,354,30.3,1.7
60,City,Mumbai,163.68,187,1.1,12.4,113,0.7,4.9,13,0.1,2.3,248,1.5,3,321,2,11.6,78,0.5,3.2,0,0,0,0,0,0,231,1.4,12.1,0,0,0,0,0,0,1191,7.3,5.8
61,City,Nagpur,21.23,41,1.9,2.7,38,1.8,1.7,9,0.4,1.6,156,7.3,1.9,41,1.9,1.5,52,2.4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,1.6,342,16.1,1.7
62,City,Nasik,11.52,15,1.3,1,12,1,0.5,4,0.3,0.7,126,10.9,1.5,26,2.3,0.9,15,1.3,0.6,0,0,0,0,0,0,6,0.5,0.3,0,0,0,0,0,0,204,17.7,1
63,City,Patna,17.07,26,1.5,1.7,31,1.8,1.3,22,1.3,3.9,91,5.3,1.1,18,1.1,0.7,0,0,0,0,0,0,0,0,0,11,0.6,0.6,0,0,0,8,0.5,2.6,207,12.1,1
64,City,Pune,37.56,63,1.7,4.2,51,1.4,2.2,0,0,0,174,4.6,2.1,67,1.8,2.4,98,2.6,4,0,0,0,0,0,0,30,0.8,1.6,0,0,0,0,0,0,483,12.9,2.4
65,City,Rajkot,10.02,9,0.9,0.6,32,3.2,1.4,4,0.4,0.7,184,18.4,2.2,10,1,0.4,10,1,0.4,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,251,25,1.2
66,City,Surat,28.11,24,0.9,1.6,47,1.7,2,17,0.6,3,102,3.6,1.2,21,0.7,0.8,6,0.2,0.2,0,0,0,0,0,0,3,0.1,0.2,0,0,0,0,0,0,220,7.8,1.1
67,City,Vadodara,14.92,6,0.4,0.4,34,2.3,1.5,0,0,0,140,9.4,1.7,10,0.7,0.4,8,0.5,0.3,0,0,0,0,0,0,10,0.7,0.5,0,0,0,0,0,0,208,13.9,1
68,City,Varanasi,12.12,3,0.2,0.2,18,1.5,0.8,10,0.8,1.8,33,2.7,0.4,3,0.2,0.1,49,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,9.6,0.6
69,City,Vijayawada,10.11,19,1.9,1.3,43,4.3,1.9,10,1,1.8,678,67.1,8.1,132,13.1,4.8,196,19.4,8.1,0,0,0,0,0,0,29,2.9,1.5,0,0,0,0,0,0,1107,109.5,5.4
70,City,Vishakhapatnam,13.29,12,0.9,0.8,16,1.2,0.7,1,0.1,0.2,243,18.3,2.9,24,1.8,0.9,43,3.2,1.8,0,0,0,0,0,0,20,1.5,1,0,0,0,0,0,0,359,27,1.8
Total (Cities),Total (Cities),Total (Cities),1078.8,1510,1.4,100,2303,2.1,100,560,0.5,100,8333,7.7,100,2761,2.6,100,2434,2.3,100,3,0,100,0,0,0,1907,1.8,100,370,0.3,100,311,0.3,100,20492,19,100
