Sr. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,79110,44,79154,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,30128,1876,32004,94.1,5.9
3,Gambling Act,378589,717,379306,99.8,0.2
4,Excise Act,142113,9419,151532,93.8,6.2
5,Prohibition Act,309007,86416,395423,78.1,21.9
6,Explosive & Explosive Substances Act,5175,39,5214,99.3,0.7
7,Immoral Traffic (P) Act,3145,8283,11428,27.5,72.5
8,Indian Railways Act,22337,532,22869,97.7,2.3
9,Registration of Foreigners Act,1426,310,1736,82.1,17.9
10,Protection of Civil Rights Act - Total,526,32,558,94.3,5.7
10,Protection of Civil Rights Act - i) PCR Act for SCs,519,32,551,94.2,5.8
10,Protection of Civil Rights Act - ii) PCR Act for STs,7,0,7,100,0
11,Indian Passport Act,966,203,1169,82.6,17.4
12,Essential Commodities Act,6669,32,6701,99.5,0.5
13,Terrorist & Disruptive Activities Act,71,4,75,94.7,5.3
14,Antiquity & Art Treasure Act,100,4,104,96.2,3.8
15,Dowry Prohibition Act,5205,1056,6261,83.1,16.9
16,Child Marriage Restraint Act,252,83,335,75.2,24.8
17,Indecent Representation of Women (P) Act,1024,676,1700,60.2,39.8
18,Copyrights Act,8554,23,8577,99.7,0.3
19,Sati Prevention Act,0,0,0,0,0
20,SC/ ST (Prevention of Atrocities) Act - Total,16506,702,17208,95.9,4.1
20,SC/ ST (Prevention of Atrocities) Act - i) Atrocities Act for SCs,14776,636,15412,95.9,4.1
20,SC/ ST (Prevention of Atrocities) Act - ii) Atrocities Act for STs,1730,66,1796,96.3,3.7
21,Forest Act,6972,5,6977,99.9,0.1
22,Other SLL Crimes,3489646,38952,3528598,98.9,1.1
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,4507521,149408,4656929,96.8,3.2
