Sr. No.,Crime Head,Total No. of Persons under Arrest Including those from Previous Year,Persons Released before Trial - No.,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the End of the Year - No.,Persons under Investigation at the End of the Year - Percentage to Total
1,Murder,385,4,1,290,75.3,91,23.6
2,Rape,804,3,0.4,723,89.9,78,9.7
3,Kidnapping & Abduction,98,4,4.1,81,82.7,13,13.3
4,Dacoity,105,0,0,104,99,1,1
5,Robbery,69,0,0,64,92.8,5,7.2
6,Arson,233,0,0,75,32.2,158,67.8
7,Hurt,1776,15,0.8,1505,84.7,256,14.4
8,P.C.R. Act,31,8,25.8,13,41.9,10,32.3
9,SC/ ST (Prev.) of Atrocities Act,2046,45,2.2,1757,85.9,244,11.9
10,Other Crimes against SCs,5033,174,3.5,4480,89,379,7.5
11,Total,10580,253,2.4,9092,85.9,1235,11.7
