Sr. No.,Category,States/ UTs,DG/ Addl.DG/ IG/ DIG - Sanctioned,DG/ Addl.DG/ IG/ DIG - Actual,SSP/ SP/ Addl.SP/ ASP/ Dy.SP - Sanctioned,SSP/ SP/ Addl.SP/ ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,0,0,0,0,40,35,1374,1316,1414,1351
2,State,Arunachal Pradesh,0,0,0,0,13,13,52,125,65,138
3,State,Assam,0,0,0,0,22,22,201,201,223,223
4,State,Bihar,0,0,7,7,61,61,822,822,890,890
5,State,Chhattisgarh,0,0,0,5,8,726,87,308,95,1039
6,State,Goa,0,0,0,2,4,23,193,177,197,202
7,State,Gujarat,0,0,0,0,282,163,2047,1469,2329,1632
8,State,Haryana,0,0,0,0,60,60,823,823,883,883
9,State,Himachal Pradesh,0,0,0,6,3,30,137,443,140,479
10,State,Jammu & Kashmir,1,1,8,8,40,40,1383,1383,1432,1432
11,State,Jharkhand,0,0,0,0,1,23,157,222,158,245
12,State,Karnataka,0,0,16,11,531,329,5928,3843,6475,4183
13,State,Kerala,0,0,1,1,96,74,2678,1316,2775,1391
14,State,Madhya Pradesh,2,2,40,40,161,161,1752,1752,1955,1955
15,State,Maharashtra,0,2,3,24,216,518,3278,6739,3497,7283
16,State,Manipur,0,0,0,0,5,5,259,239,264,244
17,State,Meghalaya,0,0,0,2,4,35,40,96,44,133
18,State,Mizoram,0,0,0,0,0,82,6,181,6,263
19,State,Nagaland,0,0,1,0,12,0,63,24,76,24
20,State,Orissa,0,0,1,1,100,89,241,241,342,331
21,State,Punjab,0,0,0,0,175,175,1340,1340,1515,1515
22,State,Rajasthan,0,0,2,2,55,91,663,1593,720,1686
23,State,Sikkim,0,0,2,2,32,21,133,94,167,117
24,State,Tamil Nadu,5,5,50,50,1566,860,7958,7136,9579,8051
25,State,Tripura,0,0,3,3,57,28,419,193,479,224
26,State,Uttar Pradesh,0,0,0,29,194,193,1683,1679,1877,1901
27,State,Uttarakhand,0,1,0,1,9,23,177,444,186,469
28,State,West Bengal,2,2,11,11,305,258,1130,884,1448,1155
State,State,Total (States),10,13,145,205,4052,4138,35024,35083,39231,39439
29,Union Territory,A & N Islands,0,0,0,2,2,13,14,115,16,130
30,Union Territory,Chandigarh,0,0,0,0,2,28,33,203,35,231
31,Union Territory,D & N Haveli,0,0,0,0,2,2,7,6,9,8
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,1,7,559,446,1639,1599,2199,2052
34,Union Territory,Lakshadweep,0,0,0,0,1,0,17,0,18,0
35,Union Territory,Puducherry,0,0,0,0,5,5,76,74,81,79
Union Territory,Union Territory,Total (UTs),0,0,1,9,571,494,1786,1997,2358,2500
Total (All-India),Total (All-India),Total (All-India),10,13,146,214,4623,4632,36810,37080,41589,41939
