Category,Crime Head,Below 18 Years,Between 18 - 30 Years,Between 30 -45 Years,Between 45 - 60 Years,Above 60 Years,Total (All Age Groups)
Offences under IT Act,Tampering Computer Source Department,0,0,0,0,0,0
Offences under IT Act,Hacking Computer Systems - i) Loss/ Damage to Computer Resource/ Utility),0,24,6,1,0,31
Offences under IT Act,Hacking Computer Systems - ii) Hacking),0,0,1,0,0,1
Offences under IT Act,Obscene Publication/ Transmission in Electronic Form,2,11,7,1,0,21
Offences under IT Act,Failure - i) of Compliance/ Orders of Certifying Authority,0,0,0,0,0,0
Offences under IT Act,Failure - ii) To Assist to Decoy or the Information in Interception by Govt,0,0,0,0,0,0
Offences under IT Act,Unauthorised Access/ Attempt to Access of Protected Computer System,0,0,0,0,0,0
Offences under IT Act,Obtaining Licence or Digital Signature by Misrepresentation/ Suppression of Fact,0,0,0,0,0,0
Offences under IT Act,Publishing False Digital Signature/ Certificate,0,0,0,0,0,0
Offences under IT Act,Fraud Digital Signature,0,0,0,0,0,0
Offences under IT Act,Breach of Confidentiality/ Privacy,0,3,3,1,0,7
Offences under IT Act,Other,0,0,0,0,0,0
Offences under IT Act,Total (Offences under IT Act),2,38,17,3,0,60
Offences under IPC,Public Servant Offences by/ against,0,0,0,0,0,0
Offences under IPC,False Electronic Evidence,0,0,0,0,0,0
Offences under IPC,Destruction of Electronic Evidence,0,0,0,0,0,0
Offences under IPC,Forgery,2,28,25,24,2,81
Offences under IPC,Criminal Breach of Trust/ Fraud,2,72,94,13,0,181
Offences under IPC,Counterfeiting - i) Property/ Mark,0,0,0,5,3,8
Offences under IPC,Counterfeiting - ii) Tampering,0,9,6,1,0,16
Offences under IPC,Counterfeiting - iii) Currency/ Stamps,11,15,15,2,0,43
Offences under IPC,Total (Offences under IPC),15,124,140,45,5,329
Grand Total (Offences under IT Act+Offences under IPC ),Grand Total (Offences under IT Act+Offences under IPC ),17,162,157,48,5,389
