Sr. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1994,86504,20963,24.2
2,1995,106306,25717,24.2
3,1996,99669,28142,28.2
4,1997,131216,33514,25.5
5,1998,147770,35748,24.2
6,1999,158080,50319,31.8
7,2000,159323,39815,25
8,2001,151723,44733,29.5
9,2002,246723,47742,19.4
10,2003,173504,44759,25.8
11,2004,236170,46947,19.9
12,Percentage Change in 2004 Over 1994,173,124,-18
