Sr. No.,Category,States/ UTs,For Officers - Sanctioned Strength,For Officers - Built-in Houses Provided by Government,"For Officers - Houses Provided on Lease, Rent/ General Pool by Govt.",Upper Subordinates - Sanctioned Strength,Upper Subordinates - Built-in Houses Provided by Government,"Upper Subordinates - Houses Provided on Lease, Rent/ General Pool by Govt.",Lower Subordinates - Sanctioned Strength,Lower Subordinates - Built-in Houses Provided by Government,"Lower Subordinates - Houses Provided on Lease, Rent/ General Pool by Govt."
1,State,Andhra Pradesh,607,32,575,8487,2620,5867,75209,35456,39753
2,State,Arunachal Pradesh,95,90,5,624,411,213,5556,2176,3388
3,State,Assam,531,77,0,6008,859,0,49408,6990,0
4,State,Bihar,475,144,73,12108,2112,688,59644,3561,36379
5,State,Chhattisgarh,82,34,73,2441,448,543,20859,4554,2425
6,State,Goa,34,6,10,350,142,4,3457,1693,0
7,State,Gujarat,376,95,39,11647,3959,703,53519,31815,4587
8,State,Haryana,282,138,25,5650,856,2376,41379,4341,22178
9,State,Himachal Pradesh,197,43,21,1523,180,0,12022,2066,0
10,State,Jammu & Kashmir,569,0,0,5782,0,0,52686,0,0
11,State,Jharkhand,57,20,16,2257,508,643,13695,716,2768
12,State,Karnataka,275,105,33,5984,2311,638,55962,25673,4912
13,State,Kerala,424,38,2,3988,388,0,41545,6408,0
14,State,Madhya Pradesh,938,443,302,8496,2076,1463,63728,17035,8398
15,State,Maharashtra,963,0,0,25180,4666,0,125821,70841,0
16,State,Manipur,203,22,1,1476,116,3,13443,188,2
17,State,Meghalaya,112,45,67,1114,874,343,9112,2063,6944
18,State,Mizoram,120,64,0,883,139,0,6076,1162,0
19,State,Nagaland,126,152,4,622,119,224,11086,493,601
20,State,Orissa,434,174,2,6200,2504,26,32342,8127,120
21,State,Punjab,618,47,0,7146,1505,0,63216,11012,0
22,State,Rajasthan,763,50,0,8157,1836,0,61704,13531,0
23,State,Sikkim,96,8,9,460,190,0,3053,394,0
24,State,Tamil Nadu,912,272,0,10045,3175,0,84722,35892,0
25,State,Tripura,353,71,0,2219,237,0,21501,1800,0
26,State,Uttar Pradesh,1606,240,395,14583,6570,1375,150732,42247,10315
27,State,Uttarakhand,126,38,0,774,506,0,11840,3506,0
28,State,West Bengal,730,505,10,17928,4484,237,73890,14261,991
State,State,Total (States),12104,2953,1662,172132,43791,15346,1217207,348001,143761
29,Union Territory,A & N Islands,17,7,4,428,404,0,2455,629,10
30,Union Territory,Chandigarh,17,10,0,487,487,0,3705,1639,0
31,Union Territory,D & N Haveli,2,0,2,17,0,18,222,0,200
32,Union Territory,Daman & Diu,4,3,1,21,13,0,217,144,0
33,Union Territory,Delhi,371,314,0,10875,6392,0,45957,5064,0
34,Union Territory,Lakshadweep,2,2,0,52,40,0,294,179,0
35,Union Territory,Puducherry,20,13,1,337,73,0,2045,748,0
Union Territory,Union Territory,Total (UTs),433,349,8,12217,7409,18,54895,8403,210
Total (All-India),Total (All-India),Total (All-India),12537,3302,1670,184349,51200,15364,1272102,356404,143971
