Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in which - Investigation was Refused (Col. 5),No. of Cases in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 7),No. of Cases in which - Investigation was Completed - Charge Sheets were Submitted (Col. 8),No. of Cases in which - Investigation was Completed - Total {(Col. 6 + Col. 7 + Col. 8)} = (Col. 9),No. of Cases Pending Investigation (Col. 10),Pendency Percentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),Charge Sheeting Rate {(Col. 8)/ (Col. 7 + Col. 8) × 100} = (Col. 13)
State,Andhra Pradesh,1768,1,0,182,68,1033,1283,484,27.4,17.2,93.8
State,Arunachal Pradesh,25,0,0,0,3,9,12,13,52,0.5,75
State,Assam,26,0,0,1,0,19,20,6,23.1,0.2,100
State,Bihar,84,0,0,0,2,23,25,59,70.2,2.1,92
State,Chhattisgarh,1007,0,0,14,34,867,915,92,9.1,3.3,96.2
State,Goa,80,0,0,0,8,38,46,34,42.5,1.2,82.6
State,Gujarat,836,0,0,32,168,582,782,54,6.5,1.9,77.6
State,Haryana,184,0,0,23,44,90,157,27,14.7,1,67.2
State,Himachal Pradesh,124,0,0,13,15,76,104,20,16.1,0.7,83.5
State,Jammu & Kashmir,66,0,0,8,4,32,44,22,33.3,0.8,88.9
State,Jharkhand,122,0,0,1,8,37,46,76,62.3,2.7,82.2
State,Karnataka,219,0,0,13,40,137,190,29,13.2,1,77.4
State,Kerala,713,0,3,21,25,238,284,426,59.7,15.1,90.5
State,Madhya Pradesh,3765,0,0,9,227,3430,3666,99,2.6,3.5,93.8
State,Maharashtra,2589,0,0,49,361,1714,2124,465,18,16.5,82.6
State,Manipur,66,0,0,0,25,0,25,41,62.1,1.5,0
State,Meghalaya,105,0,0,0,1,12,13,92,87.6,3.3,92.3
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,1,0,0,0,0,1,1,0,0,0,100
State,Orissa,137,0,0,2,4,123,129,8,5.8,0.3,96.9
State,Punjab,246,0,0,14,40,125,179,67,27.2,2.4,75.8
State,Rajasthan,419,0,0,81,107,224,412,7,1.7,0.2,67.7
State,Sikkim,8,0,0,0,0,3,3,5,62.5,0.2,100
State,Tamil Nadu,426,1,7,7,55,261,323,95,22.3,3.4,82.6
State,Tripura,59,0,0,0,3,40,43,16,27.1,0.6,93
State,Uttar Pradesh,2057,0,0,20,62,1768,1850,207,10.1,7.3,96.6
State,Uttarakhand,56,0,0,3,11,37,51,5,8.9,0.2,77.1
State,West Bengal,312,0,0,34,35,79,148,164,52.6,5.8,69.3
State,Total (States),15500,2,10,527,1350,10998,12875,2613,16.9,92.6,89.1
Union Territory,A & N Islands,18,0,0,0,2,9,11,7,38.9,0.2,81.8
Union Territory,Chandigarh,76,0,0,10,10,44,64,12,15.8,0.4,81.5
Union Territory,D & N Haveli,11,0,0,0,0,5,5,6,54.5,0.2,100
Union Territory,Daman & Diu,2,0,0,0,1,1,2,0,0,0,50
Union Territory,Delhi,875,11,8,40,222,420,682,174,19.9,6.2,65.4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,20,0,2,0,1,8,9,9,45,0.3,88.9
Union Territory,Total (UTs),1002,11,10,50,236,487,773,208,20.8,7.4,67.4
Total (All-India),Total (All-India),16502,13,20,577,1586,11485,13648,2821,17.1,100,87.9
