Category (Col. 1),States/ UTs (Col. 2),District / Session Judge - Duration of Trial - Less than 6 Months (Col. 3),District / Session Judge - Duration of Trial - 6-12 Months (Col. 4),District / Session Judge - Duration of Trial - 1-3 Years (Col. 5),District / Session Judge - Duration of Trial - 3-5 Years (Col. 6),District / Session Judge - Duration of Trial - 5-10 Years (Col. 7),District / Session Judge - Duration of Trial - Over 10 Years (Col. 8),District / Session Judge - Duration of Trial - Total (Col. 3 to Col. 8) = (Col. 9),Additional Session Judge - Duration of Trial. - Less than 6 Months (Col. 10),Additional Session Judge - Duration of Trial. - 6-12 Months (Col. 11),Additional Session Judge - Duration of Trial. - 1-3 Years (Col. 12),Additional Session Judge - Duration of Trial. - 3-5 Years (Col. 13),Additional Session Judge - Duration of Trial. - 5-10 Years (Col. 14),Additional Session Judge - Duration of Trial. - Over 10 Years (Col. 15),Additional Session Judge - Duration of Trial. - Total (Col. 10) to (Col. 15) = (Col. 16),Chief Judicial Magistrate - Duration of Trial. - Less than 6 Months (Col. 17),Chief Judicial Magistrate - Duration of Trial. - 6-12 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial. - 1-3 Years (Col. 19),Chief Judicial Magistrate - Duration of Trial. - 3-5 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial. - 5-10 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial. - Over 10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial. - Total {(Col. 17) to (Col. 22)} = (Col. 23),Judicial Magistrate (I) - Duration of Trial. - Less than 6 Months (Col. 24),Judicial Magistrate (I) - Duration of Trial. - 6-12 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial. - 1-3 Years (Col. 26),Judicial Magistrate (I) - Duration of Trial. - 3-5 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial. - 5-10 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial. - Over 10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial. - Total (Col. 24) to (Col. 29) = (Col. 30),Judicial Magistrate (II) - Duration of Trial. - Less than 6 Months (Col. 31),Judicial Magistrate (II) - Duration of Trial. - 6-12 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial. - 1-3 Years (Col. 33),Judicial Magistrate (II) - Duration of Trial. - 3-5 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial. - 5-10 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial. - Over 10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial. - Total (Col. 31) to (Col. 36) = (Col. 37),Special Judicial Magistrate - Duration of Trial. - Less than 6 Months (Col. 38),Special Judicial Magistrate - Duration of Trial. - 6-12 Months (Col. 39),Special Judicial Magistrate - Duration of Trial. - 1-3 Years (Col. 40),Special Judicial Magistrate - Duration of Trial. - 3-5 Years (Col. 41),Special Judicial Magistrate - Duration of Trial. - 5-10 Years (Col. 42),Special Judicial Magistrate - Duration of Trial. - Over 10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial. - Total (Col. 38) to (Col. 43) = (Col. 44),Other Type of Courts - Duration of Trial. - Less than 6 Months (Col. 45),Other Type of Courts - Duration of Trial. - 6-12 Months (Col. 46),Other Type of Courts - Duration of Trial. - 1-3 Years (Col. 47),Other Type of Courts - Duration of Trial. - 3-5 Years (Col. 48),Other Type of Courts - Duration of Trial. - 5-10 Years (Col. 49),Other Type of Courts - Duration of Trial. - Over 10 Years (Col. 50),Other Type of Courts - Duration of Trial. - Total (Col. 45) to (Col. 50) = (Col. 51),Sum of All Type of Courts - Duration of Trial. - Less than 6 Months (Col. 52),Sum of All Type of Courts - Duration of Trial. - 6-12 Months (Col. 53),Sum of All Type of Courts - Duration of Trial. - 1-3 Years (Col. 54),Sum of All Type of Courts - Duration of Trial. - 3-5 Years (Col. 55),Sum of All Type of Courts - Duration of Trial. - 5-10 Years (Col. 56),Sum of All Type of Courts - Duration of Trial. - Over 10 Years (Col. 57),Sum of All Type of Courts - Duration of Trial. - Total (Col. 52) to (Col. 57) = (Col. 58)
State,Andhra Pradesh,44,293,1931,805,196,57,3326,92,319,2774,1169,287,90,4731,126,835,2459,889,252,20,4581,5504,10384,16983,6529,1564,166,41130,2121,3653,6170,1944,221,31,14140,2113,1907,2883,1056,242,24,8225,1282,3007,1545,492,78,0,6404,11282,20398,34745,12884,2840,388,82537
State,Arunachal Pradesh,0,5,13,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,103,28,0,0,142,0,67,119,85,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,235,119,0,0,437
State,Assam,69,127,582,444,170,22,1414,9,53,225,341,260,61,949,238,564,3014,1851,558,137,6362,375,724,2212,2812,660,40,6823,0,0,0,0,0,0,0,32,79,333,350,31,0,825,5,318,1195,1060,255,64,2897,728,1865,7561,6858,1934,324,19270
State,Bihar,0,11,297,590,594,233,1725,0,98,1921,3312,3022,1048,9401,32,93,285,503,288,32,1233,217,825,5880,5370,3758,815,16865,1,70,1152,1729,1468,319,4739,0,161,230,216,183,26,816,53,208,1173,1615,1898,817,5764,303,1466,10938,13335,11211,3290,40543
State,Chhattisgarh,271,222,239,171,72,17,992,205,153,451,243,99,129,1280,1165,983,1093,806,328,144,4519,2008,1494,1474,1097,656,360,7089,269,316,1065,407,150,17,2224,44,63,125,45,4,7,288,157,232,442,768,687,332,2618,4119,3463,4889,3537,1996,1006,19010
State,Goa,0,14,22,15,10,0,61,1,12,15,9,2,1,40,1,7,44,18,16,3,89,92,232,357,125,74,16,896,9,9,41,23,18,30,130,0,0,0,0,0,0,0,0,8,20,13,1,23,65,103,282,499,203,121,73,1281
State,Gujarat,63,248,578,611,350,86,1936,16,268,781,517,406,43,2031,459,1135,1996,2444,1257,229,7520,1243,2156,6069,5460,2420,711,18059,612,634,1867,1509,858,117,5597,143,317,864,718,529,230,2801,44,99,119,87,74,3,426,2580,4857,12274,11346,5894,1419,38370
State,Haryana,17,144,435,145,69,4,814,169,830,1713,914,345,186,4157,381,1185,2194,1665,500,120,6045,2174,2561,2547,1957,989,153,10381,617,1003,2130,1926,755,388,6819,188,348,466,347,91,45,1485,4,65,172,115,80,22,458,3550,6136,9657,7069,2829,918,30159
State,Himachal Pradesh,2,16,132,80,13,0,243,4,13,130,75,44,2,268,266,228,683,441,120,3,1741,372,258,1258,1900,377,5,4170,2,38,287,207,59,0,593,0,13,27,10,5,3,58,30,17,257,225,225,2,756,676,583,2774,2938,843,15,7829
State,Jammu & Kashmir,55,111,320,207,169,40,902,71,86,178,132,55,58,580,619,536,562,544,123,37,2421,591,839,1071,986,374,101,3962,75,186,301,137,79,23,801,25,92,192,115,6,0,430,253,103,106,135,11,0,608,1689,1953,2730,2256,817,259,9704
State,Jharkhand,18,105,170,435,345,152,1225,8,257,925,740,875,920,3725,11,89,495,640,595,305,2135,18,282,2145,2225,2301,2294,9265,9,264,455,535,280,333,1876,0,18,83,65,40,12,218,45,46,52,85,40,57,325,109,1061,4325,4725,4476,4073,18769
State,Karnataka,141,183,1158,1067,715,86,3350,37,77,1699,1265,805,103,3986,1105,1441,4114,2901,1669,358,11588,4689,4896,7531,3931,1608,201,22856,3999,4626,5089,2714,832,128,17388,9,43,348,197,23,1,621,808,818,2115,1315,682,33,5771,10788,12084,22054,13390,6334,910,65560
State,Kerala,299,203,697,490,240,30,1959,393,495,943,344,138,35,2348,403,665,1212,687,298,39,3304,5999,7009,17437,5061,1215,312,37033,1459,3865,5756,3923,813,120,15936,18,102,104,15,28,0,267,240,315,321,150,88,34,1148,8811,12654,26470,10670,2820,570,61995
State,Madhya Pradesh,1886,1586,2034,874,161,49,6590,2722,2838,4114,1917,667,131,12389,8339,6208,8253,5359,2540,781,31480,6689,3876,4675,3703,3034,2100,24077,2405,2141,2374,2000,1144,103,10167,1139,990,1647,798,158,62,4794,8955,4318,3994,5406,2323,189,25185,32135,21957,27091,20057,10027,3415,114682
