Sr. No.,Category,States/ UTs/ Cities,Murder - 2003,Murder - 2004,Murder - % Variation,Attempt to Commit Murder - 2003,Attempt to Commit Murder - 2004,Attempt to Commit Murder - % Variation,C.H. Not Amounting - 2003,C.H. Not Amounting - 2004,C.H. Not Amounting - % Variation,Rape - Total - 2003,Rape - Total - 2004,Rape - Total - % Variation,Rape - Custodial - 2003,Rape - Custodial - 2004,Rape - Custodial - % Variation,Rape - Other - 2003,Rape - Other - 2004,Rape - Other - % Variation,Kidnapping & Abduction - Total - 2003,Kidnapping & Abduction - Total - 2004,Kidnapping & Abduction - Total - % Variation,Kidnapping & Abduction of Women & Girls - 2003,Kidnapping & Abduction of Women & Girls - 2004,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction - of Others - 2003,Kidnapping & Abduction - of Others - 2004,Kidnapping & Abduction - of Others - % Variation,Dacoity - 2003,Dacoity - 2004,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2003,Preparation & Assembly for Dacoity - 2004,Preparation & Assembly for Dacoity - % Variation,Robbery - 2003,Robbery - 2004,Robbery - % Variation,Burglary - 2003,Burglary - 2004,Burglary - % Variation,Theft - Total - 2003,Theft - Total - 2004,Theft - Total - % Variation,Theft - Auto Theft - 2003,Theft - Auto Theft - 2004,Theft - Auto Theft - % Variation,Theft - Other Theft - 2003,Theft - Other Theft - 2004,Theft - Other Theft - % Variation,Riots - 2003,Riots - 2004,Riots - % Variation,Criminal Breach of Trust - 2003,Criminal Breach of Trust - 2004,Criminal Breach of Trust - % Variation,Cheating - 2003,Cheating - 2004,Cheating - % Variation,Counterfeiting - 2003,Counterfeiting - 2004,Counterfeiting - % Variation,Arson - 2003,Arson - 2004,Arson - % Variation,Hurt - 2003,Hurt - 2004,Hurt - % Variation,Dowry Deaths - 2003,Dowry Deaths - 2004,Dowry Deaths - % Variation,Molestation - 2003,Molestation - 2004,Molestation - % Variation,Sexual Harassment - 2003,Sexual Harassment - 2004,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2003,Cruelty by Husband and Relatives - 2004,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2003,Importation of Girls - 2004,Importation of Girls - % Variation,Causing Death by Negligence - 2003,Causing Death by Negligence - 2004,Causing Death by Negligence - % Variation,Other IPC Crimes - 2003,Other IPC Crimes - 2004,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2003,Total Cognizable Crimes under IPC - 2004,Total Cognizable Crimes under IPC - % Variation,Note of C.H. Not Amounting - % Variation,Note of Rape - Custodial - % Variation,Note of Kidnapping & Abduction - Total - % Variation,Note of Kidnapping & Abduction of Women & Girls - % Variation,Note of Kidnapping & Abduction - of Others - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Riots - % Variation,Note of Counterfeiting - % Variation,Note of Arson - % Variation,Note of Dowry Deaths - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Importation of Girls - % Variation,Note of Causing Death by Negligence - % Variation
1,State,Andhra Pradesh,2667,2579,-3.3,1678,1908,13.7,147,163,10.9,946,1016,7.4,0,0,0,946,1016,7.4,1485,1526,2.8,931,1030,10.6,554,496,-10.5,176,199,13.1,5,2,-60,660,596,-9.7,9050,8457,-6.6,23408,23578,0.7,4521,5042,11.5,18887,18536,-1.9,2328,2540,9.1,1099,898,-18.3,7581,7928,4.6,318,175,-45,1049,915,-12.8,41545,43335,4.3,466,512,9.9,4128,3817,-7.5,2286,2310,1,8167,8388,2.7,5,2,-60,8515,11452,34.5,39242,36460,-7.1,156951,158756,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,State,Arunachal Pradesh,77,67,-13,20,45,125,3,1,-66.7,31,42,35.5,0,0,0,31,42,35.5,68,65,-4.4,51,41,-19.6,17,24,41.2,37,30,-18.9,0,2,NA,60,45,-25,253,215,-15,370,388,4.9,50,75,50,320,313,-2.2,7,65,828.6,28,26,-7.1,21,34,61.9,7,1,-85.7,10,19,90,427,429,0.5,0,0,0,43,61,41.9,0,0,0,14,4,-71.4,0,0,0,0,0,0,585,717,22.6,2061,2256,9.5,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
3,State,Assam,1191,1214,1.9,485,410,-15.5,48,63,31.3,1095,1171,6.9,0,0,0,1095,1171,6.9,1628,1906,17.1,1351,1552,14.9,277,354,27.8,471,360,-23.6,26,31,19.2,523,505,-3.4,2606,2544,-2.4,5525,5866,6.2,406,685,68.7,5119,5181,1.2,3340,3615,8.2,611,586,-4.1,894,865,-3.2,58,57,-1.7,677,379,-44,4952,5911,19.4,60,74,23.3,878,883,0.6,6,11,83.3,1808,1945,7.6,0,0,0,2086,2239,7.3,9227,10040,8.8,38195,40675,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,State,Bihar,3771,3948,4.7,3540,2995,-15.4,298,280,-6,985,1390,41.1,0,1,NA,985,1389,41,2427,3413,40.6,674,997,47.9,1753,2416,37.8,1221,1319,8,120,145,20.8,2463,2986,21.2,2986,3175,6.3,10124,11113,9.8,1357,2083,53.5,8767,9030,3,8029,9793,22,1105,1701,53.9,1947,2764,42,92,57,-38,669,707,5.7,8884,11231,26.4,909,1029,13.2,688,704,2.3,11,13,18.2,1880,2679,42.5,37,35,-5.4,2574,2405,-6.6,37503,44178,17.8,92263,108060,17.1,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,State,Chhattisgarh,776,927,19.5,513,619,20.7,51,25,-51,898,969,7.9,0,0,0,898,969,7.9,177,214,20.9,149,174,16.8,28,40,42.9,140,106,-24.3,14,8,-42.9,331,363,9.7,3621,3720,2.7,4170,5014,20.2,922,1316,42.7,3248,3698,13.9,703,790,12.4,76,101,32.9,412,424,2.9,24,42,75,151,242,60.3,3653,3899,6.7,79,71,-10.1,1481,1661,12.2,105,131,24.8,601,741,23.3,0,0,0,1158,1717,48.3,19315,20143,4.3,38449,41927,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,State,Goa,34,40,17.6,25,6,-76,6,5,-16.7,31,37,19.4,0,0,0,31,37,19.4,14,13,-7.1,13,10,-23.1,1,3,200,5,5,0,0,0,0,21,18,-14.3,257,261,1.6,464,503,8.4,132,120,-9.1,332,383,15.4,47,33,-29.8,60,49,-18.3,106,61,-42.5,3,0,-100,18,7,-61.1,198,170,-14.1,2,2,0,19,23,21.1,7,15,114.3,24,17,-29.2,0,0,0,164,216,31.7,739,646,-12.6,2244,2127,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,State,Gujarat,1114,1113,-0.1,478,469,-1.9,29,27,-6.9,236,339,43.6,0,0,0,236,339,43.6,1044,1133,8.5,859,905,5.4,185,228,23.2,338,360,6.5,14,15,7.1,1267,1136,-10.3,5844,5828,-0.3,19304,18551,-3.9,7201,6931,-3.7,12103,11620,-4,1824,1599,-12.3,1873,1612,-13.9,1975,1726,-12.6,275,122,-55.6,516,388,-24.8,12611,12262,-2.8,54,58,7.4,722,757,4.8,92,164,78.3,3684,3955,7.4,0,0,0,3536,3958,11.9,46879,49897,6.4,103709,105469,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,State,Haryana,702,733,4.4,446,441,-1.1,76,65,-14.5,353,386,9.3,0,0,0,353,386,9.3,388,423,9,271,292,7.7,117,131,12,63,52,-17.5,190,145,-23.7,281,244,-13.2,2981,2786,-6.5,5591,6558,17.3,3079,3735,21.3,2512,2823,12.4,639,699,9.4,586,534,-8.9,900,1089,21,30,32,6.7,122,95,-22.1,4153,4194,1,222,251,13.1,344,403,17.2,1302,850,-34.7,1618,2026,25.2,0,0,0,971,981,1,16654,16109,-3.3,38612,39096,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,State,Himachal Pradesh,125,110,-12,74,77,4.1,5,12,140,126,153,21.4,0,0,0,126,153,21.4,113,123,8.8,96,99,3.1,17,24,41.2,8,1,-87.5,0,0,0,19,25,31.6,707,766,8.3,627,643,2.6,218,192,-11.9,409,451,10.3,610,562,-7.9,63,97,54,130,174,33.8,3,6,100,121,112,-7.4,1385,1421,2.6,6,8,33.3,250,284,13.6,18,16,-11.1,221,252,14,0,0,0,463,469,1.3,6937,7015,1.1,12011,12326,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,State,Jammu & Kashmir,929,816,-12.2,1216,1112,-8.6,29,29,0,211,218,3.3,0,0,0,211,218,3.3,712,735,3.2,615,632,2.8,97,103,6.2,23,28,21.7,0,0,0,154,129,-16.2,1526,1420,-6.9,1949,1939,-0.5,576,573,-0.5,1373,1366,-0.5,1167,1116,-4.4,116,105,-9.5,408,414,1.5,21,32,52.4,328,320,-2.4,310,334,7.7,10,9,-10,875,990,13.1,376,264,-29.8,71,82,15.5,0,0,0,378,422,11.6,10424,10677,2.4,21233,21191,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,State,Jharkhand,1482,1488,0.4,957,1143,19.4,109,115,5.5,712,797,11.9,0,0,0,712,797,11.9,487,468,-3.9,262,178,-32.1,225,290,28.9,702,580,-17.4,37,55,48.6,864,780,-9.7,1468,1419,-3.3,4155,4374,5.3,564,560,-0.7,3591,3814,6.2,2481,2281,-8.1,265,333,25.7,479,441,-7.9,5,6,20,147,167,13.6,3062,2294,-25.1,262,275,5,424,411,-3.1,2,3,50,559,588,5.2,0,36,NA,642,416,-35.2,12902,12969,0.5,32203,31439,-2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
