Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 6),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total {(Col. 5) + (Col. 6)} = (Col. 7),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 8),Conviction Rate {(Col. 5)/ (Col. 7) × 100} = (Col. 9)
1,Arms Act,0,0.1,10.1,5.9,15.9,84,63.2
2,Narcotic Drugs & Psychotropic Substances Act,0,0,10,6.6,16.7,83.3,60.1
3,Gambling Act,0,0.4,31.1,5.2,36.4,63.2,85.6
4,Excise Act,0,0.3,17.9,5.9,23.8,75.9,75.1
5,Prohibition Act,0,1.7,5.1,6.8,11.9,86.4,43
6,Explosive & Explosive Substances Act,0,0.1,7.4,7.8,15.2,84.7,49
7,Immoral Traffic (P) Act,0,0.3,36,6.5,42.5,57.2,84.8
8,Indian Railways Act,0,0.2,54.6,2.6,57.2,42.6,95.5
9,Registration of Foreigners Act,0,0.1,13,2.1,15.1,84.8,86.2
10,Protection of Civil Rights Act - Total,0,8.5,1.8,13,14.9,76.7,12.3
10,Protection of Civil Rights Act - i) PCR Act for SCs,0,8.9,1.9,13.4,15.3,75.8,12.6
10,Protection of Civil Rights Act - ii) PCR Act for STs,0,0,0,6,0,94,0
11,Indian Passport Act,0,0.1,15.8,10.7,26.5,73.4,59.6
12,Essential Commodities Act,0,0.1,1.6,6.5,8.1,91.7,19.7
13,Terrorist & Disruptive Activities Act,0,0,0.4,9.7,10.2,89.8,4.1
14,Antiquity & Art Treasure Act,0,0,3.4,15.5,19,81,18.2
15,Dowry Prohibition Act,0,1.8,4.5,13.4,17.8,80.4,25
16,Child Marriage Restraint Act,0,0,6,7.2,13.2,86.8,45.3
17,Indecent Representation of Women (P) Act,0,0.1,57.1,6.4,63.5,36.5,90
18,Copyrights Act,0,0.1,9.7,6.8,16.4,83.4,58.8
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ ST (Prevention of Atrocities) Act - Total,0,1,3.8,12.7,16.5,82.4,23
20,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,0,0.7,3.9,12.8,16.7,82.6,23.4
20,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,0.3,3.5,3.2,12.5,15.6,80.9,20.2
21,Forest Act,0,0.2,19.3,6.6,25.9,73.9,74.6
22,Other SLL Crimes,0,0.2,67.2,2.3,69.6,30.2,96.6
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,0,0.6,41,4.3,45.2,54.1,90.6
