Sr. No.,Category,States/UTs/ Cities,Estimated Mid-Year Population (In Lakhs)@,Infanticide - Incidence,Infanticide - Rate,Infanticide - Percentage Share,Murder - Incidence,Murder - Rate,Murder - Percentage Share,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Foeticide - Incidence,Foeticide - Rate,Foeticide - Percentage Share,Abetment of Suicide - Incidence,Abetment of Suicide - Rate,Abetment of Suicide - Percentage Share,Exposure and Abandonment - Incidence,Exposure and Abandonment - Rate,Exposure and Abandonment - Percentage Share,Procuration of Minor Girls - Incidence,Procuration of Minor Girls - Rate,Procuration of Minor Girls - Percentage Share,Buying of Girls for Prostitution - Incidence,Buying of Girls for Prostitution - Rate,Buying of Girls for Prostitution - Percentage Share,Selling of Girls for Prostitution - Incidence,Selling of Girls for Prostitution - Rate,Selling of Girls for Prostitution - Percentage Share,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Child Marriage Restraint Act - Percentage Share,Other Crimes - Incidence,Other Crimes - Rate,Other Crimes - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share
1,State,Andhra Pradesh,788.5,1,0,1,70,0.1,5.4,363,0.5,10.2,396,0.5,12.4,0,0,0,2,0,6.1,26,0,3.6,60,0.1,29.3,0,0,0,0,0,0,4,0,4.3,406,0.5,7.9,1328,1.7,9.2
2,State,Arunachal Pradesh,11.44,0,0,0,0,0,0,11,1,0.3,8,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.1,22,1.9,0.2
3,State,Assam,282.11,0,0,0,1,0,0.1,7,0,0.2,3,0,0.1,0,0,0,0,0,0,0,0,0,8,0,3.9,0,0,0,1,0,5.3,1,0,1.1,0,0,0,21,0.1,0.1
4,State,Bihar,883.09,0,0,0,9,0,0.7,3,0,0.1,29,0,0.9,1,0,1.2,0,0,0,1,0,0.1,7,0,3.4,0,0,0,1,0,5.3,3,0,3.2,5,0,0.1,59,0.1,0.4
5,State,Chhattisgarh,221.54,12,0.1,11.8,32,0.1,2.5,308,1.4,8.7,70,0.3,2.2,6,0,7,6,0,18.2,14,0.1,2,1,0,0.5,0,0,0,0,0,0,14,0.1,15.1,477,2.2,9.3,940,4.2,6.5
6,State,Goa,14.65,0,0,0,2,0.1,0.2,20,1.4,0.6,9,0.6,0.3,0,0,0,0,0,0,1,0.1,0.1,1,0.1,0.5,0,0,0,0,0,0,0,0,0,20,1.4,0.4,53,3.6,0.4
7,State,Gujarat,534.64,5,0,4.9,69,0.1,5.3,96,0.2,2.7,300,0.6,9.4,0,0,0,1,0,3,95,0.2,13.3,5,0,2.4,0,0,0,0,0,0,30,0.1,32.3,198,0.4,3.9,799,1.5,5.5
8,State,Haryana,224.2,2,0,2,21,0.1,1.6,24,0.1,0.7,42,0.2,1.3,15,0.1,17.4,1,0,3,15,0.1,2.1,0,0,0,0,0,0,0,0,0,2,0,2.2,42,0.2,0.8,164,0.7,1.1
9,State,Himachal Pradesh,63.16,0,0,0,5,0.1,0.4,32,0.5,0.9,26,0.4,0.8,2,0,2.3,0,0,0,13,0.2,1.8,0,0,0,0,0,0,0,0,0,2,0,2.2,12,0.2,0.2,92,1.5,0.6
10,State,Jammu & Kashmir,110.41,0,0,0,1,0,0.1,4,0,0.1,27,0.2,0.8,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,0.3,0.2
11,State,Jharkhand,284.49,0,0,0,6,0,0.5,43,0.2,1.2,18,0.1,0.6,1,0,1.2,0,0,0,0,0,0,5,0,2.4,0,0,0,0,0,0,0,0,0,39,0.1,0.8,112,0.4,0.8
12,State,Karnataka,550.44,8,0,7.8,46,0.1,3.5,42,0.1,1.2,41,0.1,1.3,4,0,4.7,1,0,3,17,0,2.4,4,0,2,0,0,0,0,0,0,1,0,1.1,25,0,0.5,189,0.3,1.3
13,State,Kerala,329.82,2,0,2,49,0.1,3.8,159,0.5,4.5,74,0.2,2.3,0,0,0,0,0,0,0,0,0,20,0.1,9.8,0,0,0,0,0,0,1,0,1.1,56,0.2,1.1,361,1.1,2.5
14,State,Madhya Pradesh,646.65,23,0,22.5,121,0.2,9.3,710,1.1,20,179,0.3,5.6,9,0,10.5,5,0,15.2,115,0.2,16.1,2,0,1,0,0,0,0,0,0,2,0,2.2,2487,3.8,48.7,3653,5.6,25.3
15,State,Maharashtra,1017.45,6,0,5.9,181,0.2,13.9,634,0.6,17.9,380,0.4,11.9,15,0,17.4,8,0,24.2,249,0.2,34.8,14,0,6.8,11,0,52.4,3,0,15.8,14,0,15.1,766,0.8,15,2281,2.2,15.8
16,State,Manipur,25.09,0,0,0,0,0,0,4,0.2,0.1,27,1.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.2,0.2
17,State,Meghalaya,24.21,0,0,0,1,0,0.1,22,0.9,0.6,9,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.5,0.2,43,1.8,0.3
18,State,Mizoram,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,20.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,State,Orissa,382.94,0,0,0,9,0,0.7,31,0.1,0.9,11,0,0.3,0,0,0,0,0,0,0,0,0,3,0,1.5,0,0,0,0,0,0,1,0,1.1,74,0.2,1.4,129,0.3,0.9
21,State,Punjab,254.43,7,0,6.9,35,0.1,2.7,54,0.2,1.5,53,0.2,1.7,8,0,9.3,1,0,3,12,0,1.7,0,0,0,0,0,0,1,0,5.3,2,0,2.2,20,0.1,0.4,193,0.8,1.3
22,State,Rajasthan,605.11,1,0,1,20,0,1.5,137,0.2,3.9,128,0.2,4,17,0,19.8,0,0,0,90,0.1,12.6,1,0,0.5,1,0,4.8,1,0,5.3,2,0,2.2,5,0,0.1,403,0.7,2.8
23,State,Sikkim,5.68,1,0.2,1,1,0.2,0.1,1,0.2,0,2,0.4,0.1,1,0.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0,8,1.4,0.1
24,State,Tamil Nadu,642.3,17,0,16.7,54,0.1,4.1,166,0.3,4.7,93,0.1,2.9,0,0,0,3,0,9.1,20,0,2.8,6,0,2.9,0,0,0,0,0,0,5,0,5.4,29,0,0.6,393,0.6,2.7
25,State,Tripura,33.42,0,0,0,5,0.1,0.4,28,0.8,0.8,14,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.4,0.2,59,1.8,0.4
