Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs),Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Hurt - I,Hurt - R,Hurt - P,Prot. of Civil Rights Act - I,Prot. of Civil Rights Act - R,Prot. of Civil Rights Act - P,SC/ ST Prev. of Atrocities Act - I,SC/ ST Prev. of Atrocities Act - R,SC/ ST Prev. of Atrocities Act - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
1,State,Andhra Pradesh,788.5,10,0,6.4,34,0,6,9,0,11.4,0,0,0,0,0,0,1,0,3,81,0.1,10.6,4,0,36.4,147,0.2,12.5,280,0.4,10.5,566,0.7,10.2
2,State,Arunachal Pradesh,11.4,2,0.2,1.3,3,0.3,0.5,7,0.6,8.9,0,0,0,0,0,0,0,0,0,15,1.3,2,0,0,0,0,0,0,48,4.2,1.8,75,6.6,1.4
3,State,Assam,282.1,1,0,0.6,1,0,0.2,1,0,1.3,0,0,0,2,0,4,0,0,0,5,0,0.7,0,0,0,0,0,0,2,0,0.1,12,0,0.2
4,State,Bihar,883.1,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.3,5,0,45.5,25,0,2.1,4,0,0.2,45,0.1,0.8
5,State,Chhattisgarh,221.5,32,0.1,20.5,100,0.5,17.7,14,0.1,17.7,6,0,15,1,0,2,0,0,0,47,0.2,6.1,0,0,0,201,0.9,17.1,275,1.2,10.3,676,3.1,12.2
6,State,Goa,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,534.6,6,0,3.8,21,0,3.7,6,0,7.6,29,0.1,72.5,34,0.1,68,1,0,3,35,0.1,4.6,0,0,0,59,0.1,5,50,0.1,1.9,241,0.5,4.4
8,State,Haryana,224.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,63.2,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,8,0.1,0.3,11,0.2,0.2
10,State,Jammu & Kashmir,110.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11,State,Jharkhand,284.5,10,0,6.4,13,0,2.3,7,0,8.9,0,0,0,1,0,2,0,0,0,9,0,1.2,0,0,0,40,0.1,3.4,43,0.2,1.6,123,0.4,2.2
12,State,Karnataka,550.4,3,0,1.9,1,0,0.2,0,0,0,0,0,0,2,0,4,0,0,0,10,0,1.3,1,0,9.1,118,0.2,10,38,0.1,1.4,173,0.3,3.1
13,State,Kerala,329.8,2,0,1.3,19,0.1,3.4,1,0,1.3,0,0,0,0,0,0,1,0,3,21,0.1,2.7,0,0,0,11,0,0.9,27,0.1,1,82,0.2,1.5
14,State,Madhya Pradesh,646.7,43,0.1,27.6,270,0.4,47.7,15,0,19,1,0,2.5,3,0,6,11,0,33.3,245,0.4,31.9,0,0,0,212,0.3,18,867,1.3,32.6,1667,2.6,30.1
15,State,Maharashtra,1017.5,6,0,3.8,38,0,6.7,4,0,5.1,3,0,7.5,1,0,2,7,0,21.2,11,0,1.4,0,0,0,40,0,3.4,121,0.1,4.6,231,0.2,4.2
16,State,Manipur,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,382.9,24,0.1,15.4,33,0.1,5.8,11,0,13.9,1,0,2.5,2,0,4,3,0,9.1,79,0.2,10.3,0,0,0,159,0.4,13.5,207,0.5,7.8,519,1.4,9.4
21,State,Punjab,254.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,605.1,15,0,9.6,25,0,4.4,4,0,5.1,0,0,0,4,0,8,8,0,24.2,176,0.3,22.9,0,0,0,147,0.2,12.5,652,1.1,24.5,1031,1.7,18.6
23,State,Sikkim,5.7,1,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,3,19,3.3,2.5,0,0,0,0,0,0,11,1.9,0.4,32,5.6,0.6
24,State,Tamil Nadu,642.3,0,0,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,1,0,9.1,7,0,0.6,13,0,0.5,27,0,0.5
25,State,Tripura,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,1779.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.2,5,0,0.1
27,State,Uttarakhand,89.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3,0,0,0,3,0,0.1
28,State,West Bengal,839.5,0,0,0,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.3,3,0,0.1,9,0,0.2
State,State,Total (States),10674.76,155,0,99.4,564,0.1,99.6,79,0,100,40,0,100,50,0,100,33,0,100,767,0.1,100,11,0,100,1175,0.1,100,2655,0.2,99.9,5529,0.5,99.9
29,Union Territory,A & N Islands,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,1,0.3,0
30,Union Territory,Chandigarh,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,2.4,1,0.4,0.6,1,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.1,4,1.7,0.1
32,Union Territory,Daman & Diu,1.7,0,0,0,1,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0
33,Union Territory,Delhi,152.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
