Sr. No.,Category,States/ UTs/ Cities,No. of Cases Reported (Incest Rape Cases),No. of Victims (Incest Rape Cases) - Upto 10 Years,No. of Victims (Incest Rape Cases) - 10 - 14 Years,No. of Victims (Incest Rape Cases) - 14 - 18 Years,No. of Victims (Incest Rape Cases) - 18 - 30 Years,No. of Victims (Incest Rape Cases) - 30 - 50 Years,No. of Victims (Incest Rape Cases) - Above 50 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Cases Reported (Other Rape Cases),No. of Victims (Other Rape Cases) - Upto 10 Years,No. of Victims (Other Rape Cases) - 10 - 14 Years,No. of Victims (Other Rape Cases) - 14 - 18 Years,No. of Victims (Other Rape Cases) - 18 - 30 Years,No. of Victims (Other Rape Cases) - 30 - 50 Years,No. of Victims (Other Rape Cases) - Above 50 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Cases Reported (Total Rape Cases),No. of Victims (Total Rape Cases) - Upto 10 Years,No. of Victims (Total Rape Cases) - 10 - 14 Years,No. of Victims (Total Rape Cases) - 14 - 18 Years,No. of Victims (Total Rape Cases) - 18 - 30 Years,No. of Victims (Total Rape Cases) - 30 - 50 Years,No. of Victims (Total Rape Cases) - Above 50 Years,No. of Victims (Total Rape Cases) - Total Victims
1,State,Andhra Pradesh,5,1,0,3,1,0,0,5,1011,54,145,160,515,130,7,1011,1016,55,145,163,516,130,7,1016
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,42,2,9,0,31,0,0,42,42,2,9,0,31,0,0,42
3,State,Assam,15,0,0,0,14,1,0,15,1156,7,0,0,843,292,14,1156,1171,7,0,0,857,293,14,1171
4,State,Bihar,6,0,0,0,5,1,0,6,1384,0,3,0,1013,362,6,1384,1390,0,3,0,1018,363,6,1390
5,State,Chhattisgarh,78,2,6,30,30,9,1,78,891,12,55,203,396,217,8,891,969,14,61,233,426,226,9,969
6,State,Goa,1,0,0,1,0,0,0,1,36,8,7,4,12,5,0,36,37,8,7,5,12,5,0,37
7,State,Gujarat,14,0,2,2,7,3,0,14,325,12,25,55,187,44,2,325,339,12,27,57,194,47,2,339
8,State,Haryana,20,0,0,3,13,4,0,20,366,2,2,17,302,43,0,366,386,2,2,20,315,47,0,386
9,State,Himachal Pradesh,8,0,2,1,3,2,0,8,145,4,9,16,65,46,5,145,153,4,11,17,68,48,5,153
10,State,Jammu & Kashmir,1,0,0,0,1,0,0,1,217,2,0,2,169,44,0,217,218,2,0,2,170,44,0,218
