Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,7710,963.9,333,165,71,1.6,851,170.5,389,81.3,462,89.3,93,14.4,2656,555.2,11864,2039.6,23578,3910.3
2,State,Arunachal Pradesh,147,50,9,1.9,0,0,0,0,0,0,0,0,0,0,56,38.7,176,21.9,388,112.4
3,State,Assam,2772,341.3,73,27.4,10,0.6,110,4.7,53,1.2,57,3.5,0,0,633,65.6,2268,317.2,5866,756.9
4,State,Bihar,4481,409,440,81.8,1,0,1447,128.3,1098,114.9,349,13.4,2,1.5,857,122.4,3885,511.4,11113,1254.4
5,State,Chhattisgarh,1426,202.2,16,1.9,1,0.1,249,33.4,0,0,249,33.4,79,17.7,429,56.7,2814,706.2,5014,1018.3
6,State,Goa,57,116.7,4,0.3,0,0,3,0.1,0,0,3,0.1,2,0.2,70,27.2,367,17.8,503,162.3
7,State,Gujarat,3825,921.7,118,172.3,9,6,517,119.5,515,119.2,2,0.3,18,25.8,2223,537.6,11841,3016.5,18551,4799.4
8,State,Haryana,2266,1181.3,264,102.6,0,0,180,31,35,8.8,145,22.2,1,0.1,696,179.8,3151,1152.3,6558,2647
9,State,Himachal Pradesh,47,31.1,26,46.8,0,0,0,0,0,0,0,0,0,0,84,51.8,486,266,643,395.6
10,State,Jammu & Kashmir,412,120.8,15,28.4,0,0,0,0,0,0,0,0,0,0,116,42.5,1396,387.8,1939,579.5
11,State,Jharkhand,1937,158.8,214,15.7,0,0,242,0,145,0,97,0,0,0,393,196.2,1588,392.9,4374,763.7
12,State,Karnataka,3479,767.3,50,11.2,3,1.1,651,142.2,552,133.8,99,8.5,6,11.1,1603,558.8,10301,2484.9,16093,3976.6
13,State,Kerala,1528,834.7,71,26.2,1,1,122,29.7,95,25.9,27,3.8,49,34.8,263,91.3,3206,952.7,5240,1970.5
14,State,Madhya Pradesh,8114,1239.7,523,126.6,56,3.5,1737,188.8,1065,141.2,672,47.6,9,10.3,1751,331.8,10396,1475.3,22586,3375.9
15,State,Maharashtra,8350,2227.7,771,950,7,0.9,2946,428.9,1409,254.7,1537,174.2,81,49.9,3015,1605.5,28782,11354.3,43952,16617.2
16,State,Manipur,19,3.5,0,0,0,0,0,0,0,0,0,0,0,0,105,37,120,89.8,244,130.4
17,State,Meghalaya,116,35.9,1,0.1,0,0,0,0,0,0,0,0,0,0,221,1014.3,80,124.7,418,1175
18,State,Mizoram,310,2.6,1,0,0,0,0,0,0,0,0,0,0,0,199,2.5,100,0,610,5.1
19,State,Nagaland,95,14,0,0,0,0,0,0,0,0,0,0,0,0,79,5.4,81,13.4,255,32.8
20,State,Orissa,2472,549.3,35,16.2,0,0,355,48.2,273,38,82,10.2,0,0,625,112.5,2480,426.9,5967,1153.1
21,State,Punjab,638,437.1,21,11.6,0,0,30,13.4,10,10.5,20,2.8,0,0,439,427.2,1459,914.1,2587,1803.4
22,State,Rajasthan,2585,406.7,87,93.2,0,0,543,55.2,397,34.4,146,20.8,1,0.5,1632,404.4,13994,3533.9,18842,4494
23,State,Sikkim,33,21.1,15,5,0,0,0,0,0,0,0,0,0,0,4,2.5,21,9,73,37.6
24,State,Tamil Nadu,4105,610.6,69,26,5,0.5,288,24.6,164,17.3,124,7.3,4,0,2283,280.3,10776,1382,17530,2324.1
25,State,Tripura,168,40.5,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,77,25.4,260,66.3
26,State,Uttar Pradesh,6526,1409.1,4216,1055.1,0,0,1970,172.2,1555,121.5,415,50.7,0,0,480,144.1,9332,2361.8,22524,5142.3
27,State,Uttarakhand,469,64,47,15,0,0,54,2,26,1.2,28,0.8,0,0,143,97.6,884,137.3,1597,315.9
