Category,States/ UTs,Total No. of Persons under Arrest Including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,1618,9,1159,450,27.8,19.1
State,Arunachal Pradesh,13,2,4,7,53.8,0.3
State,Assam,26,3,19,4,15.4,0.2
State,Bihar,130,10,46,74,56.9,3.1
State,Chhattisgarh,969,0,969,0,0,0
State,Goa,91,3,59,29,31.9,1.2
State,Gujarat,839,0,796,43,5.1,1.8
State,Haryana,301,0,301,0,0,0
State,Himachal Pradesh,132,3,109,20,15.2,0.8
State,Jammu & Kashmir,36,0,36,0,0,0
State,Jharkhand,147,0,140,7,4.8,0.3
State,Karnataka,157,1,132,24,15.3,1
State,Kerala,413,19,116,278,67.3,11.8
State,Madhya Pradesh,4669,0,4570,99,2.1,4.2
State,Maharashtra,2696,22,2301,373,13.8,15.8
State,Manipur,27,11,0,16,59.3,0.7
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,1,0,1,0,0,0
State,Orissa,172,0,166,6,3.5,0.3
State,Punjab,360,13,284,63,17.5,2.7
State,Rajasthan,306,0,303,3,1,0.1
State,Sikkim,35,0,13,22,62.9,0.9
State,Tamil Nadu,454,11,321,122,26.9,5.2
State,Tripura,56,3,36,17,30.4,0.7
State,Uttar Pradesh,3454,35,3027,392,11.3,16.6
State,Uttarakhand,67,4,61,2,3,0.1
State,West Bengal,349,56,113,180,51.6,7.6
State,Total (States),17518,205,15082,2231,12.7,94.7
Union Territory,A & N Islands,23,0,10,13,56.5,0.6
Union Territory,Chandigarh,25,8,17,0,0,0
Union Territory,D & N Haveli,1,0,1,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,675,2,572,101,15,4.3
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,20,1,8,11,55,0.5
Union Territory,Total (UTs),744,11,608,125,16.8,5.3
Total (All-India),Total (All-India),18262,216,15690,2356,12.9,100
