Category,States/UTs/Cities,Population (in Lakhs)@,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - Percentage Contribution,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives - Percentage Contribution,Molestation - Incidence,Molestation - Rate,Molestation - Percentage Contribution,Eve-Teasing - Incidence,Eve-Teasing - Rate,Eve-Teasing - Percentage Contribution,Importation of Girls - Incidence,Importation of Girls - Rate,Importation of Girls - Percentage Contribution,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,Sati Prevention Act - Percentage Contribution,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate,Immoral Traffic (P) Act - Percentage Contribution,Indecent Represention of Women (P) Act - Incidence,Indecent Represention of Women (P) Act - Rate,Indecent Represention of Women (P) Act - Percentage Contribution,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Dowry Prohibition Act - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Jharkhand,269.09,567,2.1,3.5,279,1,1.9,217,0.8,3.2,484,1.8,1,297,1.1,0.9,5,0,0.1,2,0,1.8,0,0,0,3,0,0,0,0,0,375,1.4,11.6,2229,8.3,1.6
State,Karnataka,527.34,293,0.6,1.8,271,0.5,1.9,220,0.4,3.2,1755,3.3,3.6,1665,3.2,4.9,81,0.2,0.8,0,0,0,0,0,0,1356,2.6,15.4,0,0,0,361,0.7,11.2,6002,11.4,4.2
State,Kerala,318.39,562,1.8,3.5,97,0.3,0.7,27,0.1,0.4,2561,8,5.2,1942,6.1,5.7,81,0.3,0.8,0,0,0,0,0,0,132,0.4,1.5,42,0.1,4,6,0,0.2,5450,17.1,3.8
State,Madhya Pradesh,603.85,2851,4.7,17.7,668,1.1,4.6,609,1,8.9,2562,4.2,5.2,7063,11.7,20.7,751,1.2,7.7,0,0,0,0,0,0,15,0,0.2,0,0,0,30,0,0.9,14549,24.1,10.1
State,Maharashtra,967.52,1302,1.3,8.1,611,0.6,4.2,308,0.3,4.5,6090,6.3,12.4,2823,2.9,8.3,1120,1.2,11.5,1,0,0.9,0,0,0,233,0.2,2.6,9,0,0.9,27,0,0.8,12524,12.9,8.7
State,Manipur,23.89,20,0.8,0.1,62,2.6,0.4,0,0,0,5,0.2,0,21,0.9,0.1,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,112,4.7,0.1
State,Meghalaya,23.06,26,1.1,0.2,11,0.5,0.1,0,0,0,4,0.2,0,25,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2.9,0
State,Mizoram,8.91,52,5.8,0.3,1,0.1,0,0,0,0,16,1.8,0,52,5.8,0.2,0,0,0,3,0.3,2.6,0,0,0,2,0.2,0,0,0,0,0,0,0,126,14.1,0.1
State,Nagaland,19.89,17,0.9,0.1,6,0.3,0,0,0,0,0,0,0,6,0.3,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,30,1.5,0
State,Orissa,367.07,790,2.2,4.9,434,1.2,3,294,0.8,4.3,1266,3.4,2.6,1655,4.5,4.8,458,1.2,4.7,0,0,0,0,0,0,24,0.1,0.3,0,0,0,436,1.2,13.5,5357,14.6,3.7
State,Punjab,242.89,298,1.2,1.9,324,1.3,2.2,159,0.7,2.3,1128,4.6,2.3,372,1.5,1.1,47,0.2,0.5,0,0,0,0,0,0,32,0.1,0.4,1,0,0.1,0,0,0,2361,9.7,1.6
State,Rajasthan,564.73,1049,1.9,6.5,2165,3.8,14.8,376,0.7,5.5,5532,9.8,11.3,2878,5.1,8.4,56,0.1,0.6,1,0,0.9,0,0,0,68,0.1,0.8,46,0.1,4.4,4,0,0.1,12175,21.6,8.5
State,Sikkim,5.4,8,1.5,0,2,0.4,0,0,0,0,0,0,0,0,0,0,14,2.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4.4,0
State,Tamil Nadu,621.11,423,0.7,2.6,607,1,4.1,191,0.3,2.8,815,1.3,1.7,1773,2.9,5.2,1012,1.6,10.4,14,0,12.3,0,0,0,5232,8.4,59.5,11,0,1,33,0.1,1,10111,16.3,7
State,Tripura,31.91,102,3.2,0.6,35,1.1,0.2,16,0.5,0.2,227,7.1,0.5,58,1.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,13.7,0.3
State,Uttar Pradesh,1660.53,1958,1.2,12.2,2879,1.7,19.7,2211,1.3,32.3,7365,4.4,15,2870,1.7,8.4,2575,1.6,26.4,0,0,0,0,0,0,26,0,0.3,3,0,0.3,340,0.2,10.6,20227,12.2,14.1
State,Uttaranchal,84.8,74,0.9,0.5,126,1.5,0.9,56,0.7,0.8,301,3.5,0.6,103,1.2,0.3,84,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,0.2,749,8.8,0.5
State,West Bengal,802.21,709,0.9,4.4,695,0.9,4.7,265,0.3,3.9,3859,4.8,7.8,954,1.2,2.8,48,0.1,0.5,3,0,2.6,0,0,0,31,0,0.4,0,0,0,6,0,0.2,6570,8.2,4.6
State,Total (States),10105.62,15658,1.5,97.4,13621,1.3,93,6734,0.7,98.3,48976,4.8,99.6,33537,3.3,98.3,9613,1,98.6,114,0,100,0,0,0,8656,0.9,98.4,1050,0.1,99.8,3213,0.3,99.7,141172,14,98.2
Union Territory,A & N Islands,3.56,3,0.8,0,2,0.6,0,0,0,0,9,2.5,0,19,5.3,0.1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9.6,0
Union Territory,Chandigarh,9.01,18,2,0.1,50,5.5,0.3,3,0.3,0,36,4,0.1,24,2.7,0.1,15,1.7,0.2,0,0,0,0,0,0,3,0.3,0,1,0.1,0.1,0,0,0,150,16.6,0.1
Union Territory,D & N Haveli,2.2,6,2.7,0,2,0.9,0,0,0,0,4,1.8,0,7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8.6,0
Union Territory,Daman & Diu,1.58,0,0,0,3,1.9,0,0,0,0,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9,0,0,0,0,0,0,0,10,6.3,0
Union Territory,Delhi,137.83,381,2.8,2.4,964,7,6.6,113,0.8,1.6,138,1,0.3,502,3.6,1.5,90,0.7,0.9,0,0,0,0,0,0,95,0.7,1.1,1,0,0.1,7,0.1,0.2,2291,16.6,1.6
Union Territory,Lakshadweep,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,9.74,9,0.9,0.1,3,0.3,0,1,0.1,0,3,0.3,0,35,3.6,0.1,27,2.8,0.3,0,0,0,0,0,0,39,4,0.4,0,0,0,2,0.2,0.1,119,12.2,0.1
Union Territory,Total (UTs),164.53,417,2.5,2.6,1024,6.2,7,117,0.7,1.7,194,1.2,0.4,587,3.6,1.7,133,0.8,1.4,0,0,0,0,0,0,140,0.9,1.6,2,0.9,0.2,9,0.1,0.3,2623,15.9,1.8
Total (All-India),Total (All-India),10270.15,16075,1.6,100,14645,1.4,100,6851,0.7,100,49170,4.8,100,34124,3.3,100,9746,0.9,100,114,0,100,0,0,0,8796,0.9,100,1052,0.1,100,3222,0.3,100,143795,14,100
City,Agra,13.21,66,5,5.2,131,9.9,5.8,62,4.7,11.2,327,24.8,5.3,110,8.3,4.3,114,8.6,4.7,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,813,61.5,4.1
City,Ahmedabad,45.19,39,0.9,3.1,117,2.6,5.1,7,0.2,1.3,530,11.7,8.6,54,1.2,2.1,27,0.6,1.1,0,0,0,0,0,0,5,0.1,0.1,0,0,0,0,0,0,779,17.2,4
City,Allahabad,10.5,7,0.7,0.6,39,3.7,1.7,7,0.7,1.3,64,6.1,1,20,1.9,0.8,88,8.4,3.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,1.5,230,21.9,1.2
City,Amritsar,10.11,7,0.7,0.6,23,2.3,1,7,0.7,1.3,72,7.1,1.2,9,0.9,0.3,0,0,0,0,0,0,0,0,0,6,0.6,0.2,0,0,0,0,0,0,124,12.3,0.6
City,Asansol,10.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
City,Bangalore,56.87,40,0.7,3.2,56,1,2.5,40,0.7,7.2,229,4,3.7,223,3.9,8.6,51,0.9,2.1,0,0,0,0,0,0,356,6.3,9.8,0,0,0,263,4.6,79.9,1258,22.1,6.4
City,Bhopal,14.55,75,5.2,5.9,45,3.1,2,12,0.8,2.2,123,8.5,2,200,13.7,7.7,52,3.6,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,34.8,2.6
City,Chennai,64.25,28,0.4,2.2,0,0,0,13,0.2,2.3,111,1.7,1.8,70,1.1,2.7,209,3.3,8.7,0,0,0,0,0,0,2397,37.3,66,0,0,0,0,0,0,2828,44,14.4
City,Coimbatore,14.46,4,0.3,0.3,10,0.7,0.4,5,0.3,0.9,28,1.9,0.5,19,1.3,0.7,38,2.6,1.6,0,0,0,0,0,0,134,9.3,3.7,1,0.1,0.2,0,0,0,239,16.5,1.2
City,Delhi (City),127.91,326,2.5,25.9,820,6.4,36,84,0.7,15.1,108,0.8,1.8,392,3.1,15.1,78,0.6,3.2,0,0,0,0,0,0,95,0.7,2.6,1,0,0.2,7,0.1,2.1,1911,14.9,9.7
City,Dhanbad,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
City,Faridabad,10.55,11,1,0.9,37,3.5,1.6,9,0.9,1.6,53,5,0.9,16,1.5,0.6,184,17.4,7.6,0,0,0,0,0,0,5,0.5,0.1,0,0,0,0,0,0,315,29.9,1.6
City,Hyderabad,55.34,37,0.7,2.9,39,0.7,1.7,24,0.4,4.3,746,13.5,12.1,118,2.1,4.6,27,0.5,1.1,0,0,0,0,0,0,31,0.6,0.9,427,7.7,95.1,6,0.1,1.8,1455,26.3,7.4
City,Indore,16.39,50,3.1,4,33,2,1.4,21,1.3,3.8,100,6.1,1.6,141,8.6,5.4,45,2.7,1.9,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,392,23.9,2
City,Jabalpur,11.17,64,5.7,5.1,15,1.3,0.7,12,1.1,2.2,39,3.5,0.6,33,3,1.3,37,3.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,202,18.1,1
City,Jaipur,23.24,28,1.2,2.2,155,6.7,6.8,16,0.7,2.9,338,14.5,5.5,105,4.5,4.1,0,0,0,0,0,0,0,0,0,13,0.6,0.4,0,0,0,1,0,0.3,656,28.2,3.3
City,Jamshedpur,11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
City,Kanpur,26.9,47,1.7,3.7,176,6.5,7.7,64,2.4,11.5,356,13.2,5.8,106,3.9,4.1,213,7.9,8.8,0,0,0,0,0,0,0,0,0,0,0,0,13,0.5,4,975,36.2,4.9
City,Kochi,13.55,10,0.7,0.8,1,0.1,0,0,0,0,62,4.6,1,44,3.2,1.7,3,0.2,0.1,0,0,0,0,0,0,15,1.1,0.4,16,1.2,3.6,0,0,0,151,11.1,0.8
City,Kolkata,132.17,19,0.1,1.5,78,0.6,3.4,6,0,1.1,207,1.6,3.4,165,1.2,6.4,37,0.3,1.5,2,0,6.5,0,0,0,25,0.2,0.7,0,0,0,0,0,0,539,4.1,2.7
City,Lucknow,22.67,39,1.7,3.1,107,4.7,4.7,27,1.2,4.9,304,13.4,4.9,75,3.3,2.9,148,6.5,6.1,0,0,0,0,0,0,1,0,0,3,0.1,0.7,0,0,0,704,31.1,3.6
City,Ludhiana,13.95,34,2.4,2.7,42,3,1.8,9,0.6,1.6,233,16.7,3.8,45,3.2,1.7,13,0.9,0.5,0,0,0,0,0,0,3,0.2,0.1,1,0.1,0.2,0,0,0,380,27.2,1.9
City,Madurai,11.95,2,0.2,0.2,18,1.5,0.8,12,1,2.2,24,2,0.4,20,1.7,0.8,52,4.4,2.2,0,0,0,0,0,0,171,14.3,4.7,0,0,0,0,0,0,299,25,1.5
City,Meerut,11.67,6,0.5,0.5,51,4.4,2.2,9,0.8,1.6,151,12.9,2.4,18,1.5,0.7,98,8.4,4.1,0,0,0,0,0,0,4,0.3,0.1,0,0,0,0,0,0,337,28.9,1.7
City,Mumbai,163.68,127,0.8,10.1,12,0.1,0.5,18,0.1,3.2,198,1.2,3.2,274,1.7,10.6,44,0.3,1.8,0,0,0,0,0,0,180,1.1,5,0,0,0,0,0,0,853,5.2,4.3
City,Nagpur,21.23,39,1.8,3.1,51,2.4,2.2,7,0.3,1.3,218,10.3,3.5,75,3.5,2.9,56,2.6,2.3,0,0,0,0,0,0,7,0.3,0.2,0,0,0,3,0.1,0.9,456,21.5,2.3
City,Nasik,11.52,9,0.8,0.7,9,0.8,0.4,3,0.3,0.5,99,8.6,1.6,19,1.6,0.7,2,0.2,0.1,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,143,12.4,0.7
City,Patna,17.07,17,1,1.3,7,0.4,0.3,40,2.3,7.2,97,5.7,1.6,21,1.2,0.8,0,0,0,28,1.6,90.3,0,0,0,13,0.8,0.4,0,0,0,21,1.2,6.4,244,14.3,1.2
City,Pune,37.56,56,1.5,4.4,28,0.7,1.2,2,0.1,0.4,147,3.9,2.4,54,1.4,2.1,105,2.8,4.4,1,0,3.2,0,0,0,18,0.5,0.5,0,0,0,0,0,0,411,10.9,2.1
City,Rajkot,10.02,5,0.5,0.4,38,3.8,1.7,3,0.3,0.5,199,19.9,3.2,19,1.9,0.7,12,1.2,0.5,0,0,0,0,0,0,6,0.6,0.2,0,0,0,0,0,0,282,28.1,1.4
City,Surat,28.11,11,0.4,0.9,37,1.3,1.6,20,0.7,3.6,132,4.7,2.1,10,0.4,0.4,1,0,0,0,0,0,0,0,0,45,1.6,1.2,0,0,0,0,0,0,256,9.1,1.3
City,Vadodara,14.92,3,0.2,0.2,32,2.1,1.4,0,0,0,90,6,1.5,11,0.7,0.4,10,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,9.8,0.7
City,Varanasi,12.12,17,1.4,1.3,17,1.4,0.7,15,1.2,2.7,58,4.8,0.9,5,0.4,0.2,81,6.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,1.2,197,16.3,1
City,Vijayawada,10.11,25,2.5,2,48,4.7,2.1,2,0.2,0.4,520,51.4,8.4,84,8.3,3.2,122,12.1,5.1,0,0,0,0,0,0,70,6.9,1.9,0,0,0,2,0.2,0.6,873,86.4,4.4
City,Vishakhapatnam,13.29,13,1,1,6,0.5,0.3,0,0,0,204,15.3,3.3,33,2.5,1.3,462,34.8,19.2,0,0,0,0,0,0,26,2,0.7,0,0,0,2,0.2,0.6,746,56.1,3.8
City,Total (Cities),1046.23,1261,1.2,100,2278,2.2,100,556,0.5,100,6167,5.9,100,2588,2.5,100,2409,2.3,100,31,0,100,0,0,0,3633,3.5,100,449,0.4,100,329,0.3,100,19701,18.8,100
