Category,States/ UTs,Incidence,Percentage Contribution to All-India Total,Population (in Lakhs),Rate of Total Cognizable Crimes,Rank per Rate of Total Cognizable Crimes,Rank per Percentage Share
State,Andhra Pradesh,2933,8.8,757.28,3.9,5,4
State,Arunachal Pradesh,0,0,10.91,0,NA,NA
State,Assam,6,0,266.38,0,27,23
State,Bihar,1303,3.9,828.79,1.6,12,8
State,Chhattisgarh,501,1.5,207.96,2.4,9,11
State,Goa,1,0,13.44,0.1,24,28
State,Gujarat,1242,3.7,505.97,2.5,8,9
State,Haryana,229,0.7,210.83,1.1,16,13
State,Himachal Pradesh,110,0.3,60.77,1.8,11,17
State,Jammu & Kashmir,10,0,100.7,0.1,23,21
State,Jharkhand,158,0.5,269.09,0.6,18,15
State,Karnataka,1621,4.8,527.34,3.1,7,7
State,Kerala,499,1.5,318.39,1.6,13,12
State,Madhya Pradesh,4212,12.6,603.85,7,2,3
State,Maharashtra,625,1.9,967.52,0.6,17,10
State,Manipur,0,0,23.89,0,NA,NA
State,Meghalaya,0,0,23.06,0,NA,NA
State,Mizoram,1,0,8.91,0.1,22,27
State,Nagaland,1,0,19.89,0.1,26,26
State,Orissa,1734,5.2,367.07,4.7,4,6
State,Punjab,134,0.4,242.89,0.6,19,16
State,Rajasthan,4892,14.6,564.73,8.7,1,2
State,Sikkim,6,0,5.4,1.1,15,22
State,Tamil Nadu,2336,7,621.11,3.8,6,5
State,Tripura,2,0,31.91,0.1,25,25
State,Uttar Pradesh,10732,32,1660.53,6.5,3,1
State,Uttaranchal,168,0.5,84.8,2,10,14
State,West Bengal,10,0,802.21,0,28,20
State,Total (States),33466,99.9,10105.62,3.3,NA,NA
Union Territory,A & N Islands,0,0,3.56,0,NA,NA
Union Territory,Chandigarh,3,0,9.01,0.3,20,24
Union Territory,D & N Haveli,0,0,2.2,0,NA,NA
Union Territory,Daman & Diu,0,0,1.58,0,NA,NA
Union Territory,Delhi,19,0.1,137.83,0.1,21,18
Union Territory,Lakshadweep,0,0,0.61,0,NA,NA
Union Territory,Pondicherry,13,0,9.74,1.3,14,19
Union Territory,Total (UTs),35,0.1,164.53,0.2,NA,NA
Total (All-India),Total (All-India),33501,100,10270.2,3.3,NA,NA
