Category (Col. 1),States/UTs (Col. 2),District/Session Judge - Duration of Trial - Less than 6 Months (Col. 3),District/Session Judge - Duration of Trial - 6-12 Months (Col. 4),District/Session Judge - Duration of Trial - 1-3 Years (Col. 5),District/Session Judge - Duration of Trial - 3-5 Years (Col. 6),District/Session Judge - Duration of Trial - 5-10 Years (Col. 7),District/Session Judge - Duration of Trial - Over 10 Years (Col. 8),District/Session Judge - Duration of Trial - Total (Col.3 to Col.8) = (Col. 9),Additional Session Judge - Duration of Trial - Less than 6 Months (Col. 10),Additional Session Judge - Duration of Trial - 6-12 Months (Col. 11),Additional Session Judge - Duration of Trial - 1-3 Years (Col. 12),Additional Session Judge - Duration of Trial - 3-5 Years (Col. 13),Additional Session Judge - Duration of Trial - 5-10 Years (Col. 14),Additional Session Judge - Duration of Trial - Over 10 Years (Col. 15),Additional Session Judge - Duration of Trial - Total (Col.10 to Col.15) = (Col. 16),Chief Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 17),Chief Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 19),Chief Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial - Total (Col.17 to Col.22) = (Col. 23),Judicial Magistrate (I) - Duration of Trial - Less than 6 Months (Col. 24),Judicial Magistrate (I) - Duration of Trial - 6-12 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial - 1-3 Years (Col. 26),Judicial Magistrate (I) - Duration of Trial - 3-5 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial - 5-10 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial - Total (Col.24 to Col.29) = (Col. 30),Judicial Magistrate (II) - Duration of Trial - Less than 6 Months (Col. 31),Judicial Magistrate (II) - Duration of Trial - 6-12 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial - 1-3 Years (Col. 33),Judicial Magistrate (II) - Duration of Trial - 3-5 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial - 5-10 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial - Total (Col.31 to Col.36) = (Col. 37),Special Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 38),Special Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 39),Special Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 40),Special Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 41),Special Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 42),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial - Total (Col.38 to Col.43) = (Col. 44),Other Type of Courts - Duration of Trial - Less than 6 Months (Col. 45),Other Type of Courts - Duration of Trial - 6-12 Months (Col. 46),Other Type of Courts - Duration of Trial - 1-3 Years (Col. 47),Other Type of Courts - Duration of Trial - 3-5 Years (Col. 48),Other Type of Courts - Duration of Trial - 5-10 Years (Col. 49),Other Type of Courts - Duration of Trial - Over 10 Years (Col. 50),Other Type of Courts - Duration of Trial - Total (Col.45 to Col.50) = (Col. 51),Sum of All Type of Courts - Duration of Trial - Less than 6 Months (Col. 52),Sum of All Type of Courts - Duration of Trial - 6-12 Months (Col. 53),Sum of All Type of Courts - Duration of Trial - 1-3 Years (Col. 54),Sum of All Type of Courts - Duration of Trial - 3-5 Years (Col. 55),Sum of All Type of Courts - Duration of Trial - 5-10 Years (Col. 56),Sum of All Type of Courts - Duration of Trial - Over 10 Years (Col. 57),Sum of All Type of Courts - Duration of Trial - Total (Col.52 to Col.57) = (Col. 58)
State,Andhra Pradesh,92,261,1292,1013,579,79,3316,122,485,1850,1650,812,83,5002,246,1527,2164,771,479,35,5222,3843,7789,12420,6229,2072,241,32594,1560,3403,5606,3332,494,6,14401,750,1293,2385,1125,401,40,5994,1718,1538,1041,1269,63,0,5629,8331,16296,26758,15389,4900,484,72158
State,Arunachal Pradesh,1,3,19,26,9,0,58,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,40,98,88,2,0,232,7,88,145,100,2,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,132,262,214,13,0,633
State,Assam,389,434,344,286,146,30,1629,332,407,330,304,169,32,1574,595,966,1182,555,351,59,3708,1274,948,1184,481,183,59,4129,453,558,596,343,180,29,2159,53,124,147,108,94,40,566,20,56,59,56,31,2,224,3116,3493,3842,2133,1154,251,13989
State,Bihar,102,214,804,587,682,259,2648,46,383,2195,2611,2349,758,8342,67,365,1974,1789,681,544,5420,117,761,4562,5079,2150,628,13297,23,503,2319,2639,1180,445,7109,14,104,550,370,147,26,1211,24,148,177,205,62,0,616,393,2478,12581,13280,7251,2660,38643
State,Chhattisgarh,151,147,176,112,52,18,656,491,214,380,271,87,17,1460,1215,1097,929,608,240,98,4187,2394,1482,1277,525,208,98,5984,351,470,386,185,79,8,1479,158,111,144,55,18,2,488,50,23,8,8,0,0,89,4810,3544,3300,1764,684,241,14343
State,Goa,0,3,30,52,32,4,121,0,2,14,36,32,7,91,11,4,71,79,98,160,423,53,223,853,601,629,478,2837,6,45,74,73,87,14,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,277,1042,841,878,663,3771
State,Gujarat,22,109,449,390,229,35,1234,26,116,567,478,256,33,1476,592,1087,1395,1448,1224,256,6002,1638,3171,7067,6378,3347,885,22486,465,1289,1882,2151,1045,383,7215,44,87,173,164,66,16,550,107,328,798,110,70,14,1427,2894,6187,12331,11119,6237,1622,40390
State,Haryana,15,67,271,253,62,3,671,160,331,1328,775,261,62,2917,728,1010,1866,1379,517,111,5611,1606,1984,2890,1581,1101,134,9296,1564,1296,1512,788,344,80,5584,126,152,224,162,27,27,718,77,84,407,320,50,26,964,4276,4924,8498,5258,2362,443,25761
State,Himachal Pradesh,9,60,165,49,2,1,286,10,58,127,52,15,0,262,447,381,947,431,135,0,2341,174,318,971,485,89,0,2037,44,257,929,531,71,0,1832,18,76,90,12,18,0,214,53,46,53,29,36,9,226,755,1196,3282,1589,366,10,7198
State,Jammu & Kashmir,24,42,269,197,153,54,739,26,62,118,153,40,18,417,470,320,283,236,293,164,1766,581,564,870,372,214,99,2700,171,226,299,142,75,37,950,397,389,413,247,59,54,1559,0,0,0,0,0,0,0,1669,1603,2252,1347,834,426,8131
State,Jharkhand,5,28,133,138,361,208,873,15,52,307,627,658,308,1967,24,106,266,379,308,209,1292,46,906,3582,1720,907,805,7966,0,65,236,481,428,477,1687,0,1,51,170,93,106,421,0,16,70,27,42,20,175,90,1174,4645,3542,2797,2133,14381
State,Karnataka,101,219,1106,1039,650,114,3229,26,79,629,811,357,78,1980,1989,3510,7773,4857,2593,122,20844,2382,5042,8743,5370,1313,157,23007,3024,4582,6499,4110,853,105,19173,210,525,341,195,159,2,1432,107,540,2196,710,185,0,3738,7839,14497,27287,17092,6110,578,73403
State,Kerala,32,146,352,234,75,7,846,53,67,671,421,170,14,1396,75,519,1233,798,380,32,3037,3240,8244,17980,7132,1118,341,38055,181,1769,8115,6813,185,0,17063,14,28,74,7,11,0,134,0,0,340,0,0,0,340,3595,10773,28765,15405,1939,394,60871
