Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Andhra Pradesh,90.9,95.3,99.2,97.2,NA,97.2,92.4,95.2,87.7,84,70,76.3,61.9,71,67.7,71.7,94.5,81.1,83,62.4,75,95.6,97.3,98.5,99.3,97.5,66.7,89,94.8,88.9
State,Arunachal Pradesh,69.3,71.7,100,92.6,NA,92.6,70.5,79.1,50,41.7,100,62.5,34.8,50.8,77.1,48.5,62.1,43.6,71,83.3,55.6,85.4,NA,88.3,100,80,NA,NA,71,65.9
State,Assam,55.7,60.3,80.3,83.9,NA,83.9,50.5,54.8,39.7,37.9,50,41.6,31.1,41,28.6,41.5,62.8,49.6,49,72.5,47.6,51.2,100,71.3,60,64.3,NA,68.3,45.9,50.1
State,Bihar,76.7,85.9,76.5,82.9,NA,82.9,78.7,80.2,78.2,64.9,90.7,66.9,44.4,52.5,71.1,50.4,85.6,83.1,80.8,88.5,72.3,88.2,86.2,92.6,81,88.1,95.5,78.7,83.8,78.3
State,Chhattisgarh,92.4,95.4,91.2,98.5,NA,98.5,89.4,91.4,81,75.9,94.4,67.6,29.9,33.1,36.5,32.3,95.3,84,85.1,25,57.1,97.1,100,99.3,98.2,97.8,NA,79.4,91.3,78.5
State,Goa,77.8,91.4,100,93.3,NA,93.3,11.1,16.7,0,75,NA,56.5,20,31.8,24.8,34.7,87.3,63,59.6,25,69.6,85.9,100,90.5,75,91.7,NA,85.5,89.5,61.2
State,Gujarat,83.5,94.5,96.1,96.6,NA,96.6,81.4,81.2,82.3,63.5,100,52.7,30.8,31.8,21.2,37.4,92.4,79.8,75.9,35.3,77.1,97.5,100,98.8,95.4,98.2,NA,86.2,92.5,79.6
State,Haryana,82.5,92.6,91.6,98.3,100,98.3,85.8,89.6,79.3,75.9,98,73.7,45.4,46.7,42.8,50.2,98.1,85.2,89.3,88.2,80.2,97.3,99.3,93,99.2,77.8,NA,79.9,88.8,78.9
State,Himachal Pradesh,69.6,96.6,100,100,NA,100,79.3,83.3,68.8,83.3,NA,73.3,23.2,34.3,26.5,36.7,97.8,80,85.7,50,60.6,96.7,100,99.7,100,98.3,NA,69.5,95.2,84.3
State,Jammu & Kashmir,22.4,32.3,60.6,97.4,NA,97.4,86.3,91.7,59.5,47.4,NA,48.5,19.7,53.7,19.8,69.4,89.1,83.3,75.5,63.6,14.3,95.1,94.1,98.3,98.3,93.6,NA,82.2,88.3,70.6
