Crime Head (Col. 1),Total No. of Cases for Trial including Pending Cases (Col. 2),Cases Withdrawn by Govt. (Col. 3),No. of Cases Compounded or Withdrawn (Col. 4),No. of Cases in which Trials were Completed - Convicted (Col. 5),No. of Cases in which Trials were Completed - Acquitted or Discharged (Col. 6),No. of Cases in which Trials were Completed - Total {(Col.5) + (Col.6)} = (Col. 7),No. of Cases Pending Trial (Col. 8)
Arms Act,304720,8,432,26085,17440,43525,260763
Narcotic Drugs & Psychotropic Substances Act,111609,49,1039,9151,8246,17397,93173
Gambling Act,359313,13,1490,109501,18905,128406,229417
Excise Act,410705,1566,681,75371,32844,108215,301809
Prohibition Act,2068193,316,23401,203640,161670,365310,1679482
Explosive & Explosive Substances Act,24625,0,60,1583,1491,3074,21491
Immoral Traffic (P) Act,14000,0,4,7758,576,8334,5662
Indian Railways Act,87056,0,221,53012,793,53805,33030
Registration of Foreigners Act,4784,0,2,647,344,991,3791
Protection of Civil Rights Act - Total,5094,1,41,255,786,1041,4012
Protection of Civil Rights Act - (i) PCR Act for SCs,4699,1,41,250,762,1012,3646
Protection of Civil Rights Act - (ii) PCR Act for STs,395,0,0,5,24,29,366
Indian Passport Act,1079,0,0,172,213,385,694
Essential Commodities Act,31229,1,276,715,2880,3595,27358
Terrorist & Disruptive Activities Act,2449,0,0,28,68,96,2353
Antiquity & Art Treasure Act,95,0,2,1,13,14,79
Dowry Prohibition Act,10698,3,216,547,1281,1828,8654
Child Marriage Restraint Act,301,0,0,8,30,38,263
Indecent Representation of Women (P) Act,1635,0,3,888,41,929,703
Copyrights Act,8503,0,13,481,488,969,7521
Sati Prevention Act,0,0,0,0,0,0,0
SC/ST (Prevention of Atrocities) Act - Total,52314,58,397,2716,5599,8315,43602
SC/ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,45388,58,330,2437,4586,7023,38035
SC/ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,6926,0,67,279,1013,1292,5567
Forest Act,18102,0,10,2887,1163,4050,14042
Other SLL Crimes,3527869,406,533678,1633590,276854,1910444,1083747
Total Cognizable Crimes under SLL,7044373,2421,561966,2129036,531725,2660761,3821646
