Category (Col. 1),States/ UTs (Col. 2),No. of Police Personnel Died due to Natural Death while in Service - 18-25 Years (Col. 3),No. of Police Personnel Died due to Natural Death while in Service - 25-35 Years (Col. 4),No. of Police Personnel Died due to Natural Death while in Service - 35-45 Years (Col. 5),No. of Police Personnel Died due to Natural Death while in Service - 45-55 Years (Col. 6),No. of Police Personnel Died due to Natural Death while in Service above 55 Years (Col. 7),No. of Police Personnel Died due to Natural Death while in Service - Total (Col. 3 to Col. 7) = (Col. 8),No. of Police Personnel Committed Suicide while in Service - 18-25 Years (Col. 9),No. of Police Personnel Committed Suicide while in Service - 25-35 Years (Col. 10),No. of Police Personnel Committed Suicide while in Service - 35-45 Years (Col. 11),No. of Police Personnel Committed Suicide while in Service - 45-55 Years (Col. 12),No. of Police Personnel Committed Suicide while in Service above 55 Years (Col. 13),No. of Police Personnel Committed Suicide while in Service - Total (Col. 9 to Col. 13) = (Col. 14)
State,Andhra Pradesh,7,39,100,76,11,233,0,6,4,0,1,11
State,Arunachal Pradesh,0,2,0,0,0,2,0,0,0,0,0,0
State,Assam,0,2,4,8,3,17,0,0,0,0,0,0
State,Bihar,0,7,22,27,13,69,0,0,0,3,0,3
State,Chhattisgarh,1,4,10,7,0,22,0,2,3,3,0,8
State,Goa,0,2,1,5,5,13,0,0,0,0,0,0
State,Gujarat,0,18,40,41,8,107,1,0,4,2,1,8
State,Haryana,0,9,31,15,2,57,0,1,1,0,0,2
State,Himachal Pradesh,0,1,3,4,0,8,0,0,2,1,0,3
State,Jammu & Kashmir,0,2,8,4,0,14,0,1,1,1,0,3
State,Jharkhand,1,1,1,9,1,13,0,0,0,0,0,0
State,Karnataka,0,15,31,81,6,133,0,0,5,2,1,8
State,Kerala,0,4,14,35,0,53,0,0,0,10,0,10
State,Madhya Pradesh,1,13,23,45,10,92,1,2,5,2,0,10
State,Maharashtra,14,76,123,87,25,325,0,10,7,3,0,20
State,Manipur,0,2,6,2,0,10,0,0,0,0,0,0
State,Meghalaya,1,0,0,1,0,2,0,0,0,0,0,0
State,Mizoram,0,2,2,1,0,5,0,0,0,0,0,0
State,Nagaland,2,3,2,2,0,9,0,1,0,0,0,1
State,Orissa,0,9,12,10,2,33,0,0,1,0,1,2
State,Punjab,1,29,41,37,1,109,0,1,0,0,0,1
State,Rajasthan,5,10,37,23,6,81,0,1,3,1,1,6
State,Sikkim,0,0,1,0,1,2,1,2,0,0,0,3
State,Tamil Nadu,1,16,41,53,23,134,0,2,0,1,0,3
State,Tripura,0,2,0,4,5,11,0,0,0,0,0,0
State,Uttar Pradesh,0,6,18,33,12,69,0,0,0,0,0,0
State,Uttaranchal,0,3,4,9,0,16,1,0,0,0,0,1
State,West Bengal,5,21,49,90,76,241,0,1,2,2,0,5
State,Total (States),39,298,624,709,210,1880,4,30,38,31,5,108
Union Territory,A & N Islands,0,0,0,0,1,1,0,0,0,0,1,1
Union Territory,Chandigarh,0,2,4,4,0,10,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,1,0,1,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,7,19,44,24,28,122,2,1,2,0,0,5
Union Territory,Lakshadweep,0,0,0,1,1,2,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,4,5,0,9,0,0,0,0,0,0
Union Territory,Total (UTs),7,21,52,35,30,145,2,1,2,0,1,6
Total (All-India),Total (All-India),46,319,676,744,240,2025,6,31,40,31,6,114
