Category,States/UTs,Gain - Murder,Gain - C.H.,Property Dispute - Murder,Property Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Witchcraft - Murder,Witchcraft - C.H.,For Political Reasons - Murder,For Political Reasons - C.H.,By Terrorist/ Extremists - Murder,By Terrorist/ Extremists - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
State,Andhra Pradesh,122,1,159,3,332,5,355,2,96,0,7,0,20,0,39,0,120,0,1,0,1,0,2,1,1348,124,2602,136
State,Arunachal Pradesh,8,0,2,0,16,0,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,48,2,83,3
State,Assam,94,2,125,2,83,0,37,0,62,0,1,0,3,0,2,0,111,0,0,0,1,0,25,1,812,35,1356,40
State,Bihar,310,15,888,30,579,22,178,6,288,12,4,0,1,0,47,0,22,0,0,0,27,0,6,1,1293,164,3643,250
State,Chhattisgarh,25,1,81,5,129,2,75,2,21,1,21,1,14,2,0,0,57,0,0,0,1,0,0,0,456,31,880,45
State,Goa,8,0,0,1,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,3,36,5
State,Gujarat,89,77,127,0,133,0,152,0,24,0,14,0,2,0,0,0,1,0,1,0,2,0,0,0,681,17,1226,94
State,Haryana,41,5,184,11,134,14,54,1,3,0,0,0,2,0,0,0,0,0,27,3,0,0,0,0,336,44,781,78
State,Himachal Pradesh,4,0,16,0,15,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,119,11
State,Jammu & Kashmir,0,0,23,0,18,0,4,0,1,0,0,0,1,0,0,0,958,6,0,0,0,0,1,0,69,27,1075,33
State,Jharkhand,84,2,141,4,160,4,69,4,31,17,1,0,21,1,4,0,38,0,0,0,13,0,8,0,937,111,1507,143
State,Karnataka,66,0,91,0,140,3,143,1,33,0,0,0,0,0,7,0,0,0,3,0,1,0,0,0,1142,70,1626,74
State,Kerala,27,0,14,0,188,0,5,1,1,0,6,0,0,0,16,1,0,0,0,0,0,0,0,0,215,109,472,111
State,Madhya Pradesh,86,0,240,2,440,1,149,0,67,6,5,0,13,0,9,0,1,0,7,0,0,0,1,0,1407,116,2425,125
State,Maharashtra,96,4,150,0,228,1,338,0,112,3,9,0,6,0,4,0,10,0,4,1,2,0,43,3,1837,89,2839,101
State,Manipur,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,72,5,209,5
State,Meghalaya,11,0,8,0,7,0,2,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,122,2,164,2
State,Mizoram,3,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,31,5
State,Nagaland,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,86,9,101,9
State,Orissa,37,1,49,5,145,1,51,1,133,10,0,0,30,0,17,0,2,0,0,0,0,0,0,0,523,35,987,53
State,Punjab,33,1,72,13,57,5,82,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,479,60,738,80
State,Rajasthan,76,0,80,1,110,2,43,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,913,59,1259,63
State,Sikkim,3,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,19,7
State,Tamil Nadu,79,1,132,0,443,0,194,0,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,805,18,1662,19
State,Tripura,7,0,12,0,35,0,6,0,14,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,84,0,240,0
State,Uttar Pradesh,289,2,496,26,1207,18,424,5,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,5177,1133,7601,1186
State,Uttaranchal,2,1,23,1,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,36,316,38
State,West Bengal,16,2,29,12,158,29,39,0,9,0,0,0,13,0,21,5,1,0,0,0,0,0,0,0,1308,533,1594,581
State,Total (States),1624,115,3143,116,4795,109,2443,25,948,50,71,4,126,3,174,6,1553,6,55,4,50,0,88,6,20521,2853,35591,3297
Union Territory,A & N Islands,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0
Union Territory,Chandigarh,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,15,6
Union Territory,D & N Haveli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
Union Territory,Daman & Diu,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
