Category,State/UT,Total No. of Persons under Arrest* Including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Chargesheeted,Number of - Persons under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,511504,1302,501205,8997,1.8,4
State,Arunachal Pradesh,89,15,46,28,31.5,0
State,Assam,13159,1668,2294,9197,69.9,4.1
State,Bihar,25657,2004,15625,8028,31.3,3.6
State,Chhattisgarh,134141,4,133797,340,0.3,0.2
State,Goa,2693,18,2423,252,9.4,0.1
State,Gujarat,211340,22,197048,14270,6.8,6.4
State,Haryana,34003,87,31947,1969,5.8,0.9
State,Himachal Pradesh,6307,67,4863,1377,21.8,0.6
State,Jammu & Kashmir,3293,88,3030,175,5.3,0.1
State,Jharkhand,4264,219,3225,820,19.2,0.4
State,Karnataka,42798,3528,36446,2824,6.6,1.3
State,Kerala,53043,932,45394,6717,12.7,3
State,Madhya Pradesh,174312,7,173520,785,0.5,0.4
State,Maharashtra,318370,137,267323,50910,16,22.8
State,Manipur,2261,1389,266,606,26.8,0.3
State,Meghalaya,546,46,155,345,63.2,0.2
State,Mizoram,3134,0,2632,502,16,0.2
State,Nagaland,1542,76,413,1053,68.3,0.5
State,Orissa,14753,36,14346,371,2.5,0.2
State,Punjab,37894,329,26445,11120,29.3,5
State,Rajasthan,44363,78,44072,213,0.5,0.1
State,Sikkim,87,38,31,18,20.7,0
State,Tamil Nadu,668877,168396,432890,67591,10.1,30.2
State,Tripura,172,12,125,35,20.3,0
State,Uttar Pradesh,534451,2965,519864,11622,2.2,5.2
State,Uttaranchal,41745,114,41314,317,0.8,0.1
State,West Bengal,1440684,7475,1414585,18624,1.3,8.3
State,Total (States),4325482,191052,3915324,219106,5.1,98
Union Territory,A & N Islands,4503,0,4286,217,4.8,0.1
Union Territory,Chandigarh,1079,13,975,91,8.4,0
Union Territory,D & N Haveli,89,0,31,58,65.2,0
Union Territory,Daman & Diu,58,1,41,16,27.6,0
Union Territory,Delhi,20144,40,16005,4099,20.3,1.8
Union Territory,Lakshadweep,19,0,14,5,26.3,0
Union Territory,Pondicherry,1648,2,1626,20,1.2,0
Union Territory,Total (UTs),27540,56,22978,4506,16.4,2
Total (All-India),Total (All-India),4353022,191108,3938302,223612,5.1,100
