Category,States/UTs/Cities,No. of Cases Reported (Incest Rape Cases),No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) - 10 - 14 Years,No. of Victims (Incest Rape Cases) - 14 - 18 Years,No. of Victims (Incest Rape Cases) - 18 - 30 Years,No. of Victims (Incest Rape Cases) - 30 - 50 Years,No. of Victims (Incest Rape Cases) above 50 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Cases Reported (Other Rape Cases),No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) - 10 - 14 Years,No. of Victims (Other Rape Cases) - 14 - 18 Years,No. of Victims (Other Rape Cases) - 18 - 30 Years,No. of Victims (Other Rape Cases) - 30 - 50 Years,No. of Victims (Other Rape Cases) above 50 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Cases Reported (Total Rape Cases),No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) - 10-14 Years,No. of Victims (Total Rape Cases) - 14 - 18 Years,No. of Victims (Total Rape Cases) - 18 - 30 Years,No. of Victims (Total Rape Cases) - 30 - 50 Years,No. of Victims (Total Rape Cases) above 50 Years,No. of Victims (Total Rape Cases) - Total Victims
City,Bangalore,3,2,0,1,0,0,0,3,37,0,4,17,11,5,0,37,40,2,4,18,11,5,0,40
City,Bhopal,8,2,5,1,0,0,0,8,67,3,15,21,23,5,0,67,75,5,20,22,23,5,0,75
City,Chennai,0,0,0,0,0,0,0,0,28,0,0,8,17,3,0,28,28,0,0,8,17,3,0,28
City,Coimbatore,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,4,4,0,2,0,2,0,0,4
City,Delhi (City),7,2,2,2,1,0,0,7,319,32,53,137,58,41,0,321,326,34,55,139,59,41,0,328
City,Dhanbad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Faridabad,0,0,0,0,0,0,0,0,11,0,3,4,3,1,0,11,11,0,3,4,3,1,0,11
City,Hyderabad,2,0,0,0,2,0,0,2,35,0,0,10,22,3,0,35,37,0,0,10,24,3,0,37
City,Indore,0,0,0,0,0,0,0,0,50,0,3,11,31,5,0,50,50,0,3,11,31,5,0,50
City,Jabalpur,0,0,0,0,0,0,0,0,64,2,5,23,29,5,0,64,64,2,5,23,29,5,0,64
City,Jaipur,0,0,0,0,0,0,0,0,28,1,2,6,14,5,0,28,28,1,2,6,14,5,0,28
City,Jamshedpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kanpur,0,0,0,0,0,0,0,0,47,2,5,4,32,4,0,47,47,2,5,4,32,4,0,47
City,Kochi,0,0,0,0,0,0,0,0,10,0,1,1,7,1,0,10,10,0,1,1,7,1,0,10
City,Kolkata,0,0,0,0,0,0,0,0,19,4,3,5,6,1,0,19,19,4,3,5,6,1,0,19
City,Lucknow,0,0,0,0,0,0,0,0,39,0,8,13,12,6,0,39,39,0,8,13,12,6,0,39
City,Ludhiana,0,0,0,0,0,0,0,0,34,3,3,17,11,0,0,34,34,3,3,17,11,0,0,34
City,Madurai,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,2,0,0,1,1,0,0,2
City,Meerut,2,0,0,2,0,0,0,2,4,1,0,2,1,0,0,4,6,1,0,4,1,0,0,6
City,Mumbai,1,0,0,1,0,0,0,1,126,12,30,42,39,3,0,126,127,12,30,43,39,3,0,127
City,Nagpur,0,0,0,0,0,0,0,0,39,11,2,13,13,0,0,39,39,11,2,13,13,0,0,39
City,Nasik,0,0,0,0,0,0,0,0,9,0,1,4,3,1,0,9,9,0,1,4,3,1,0,9
City,Patna,0,0,0,0,0,0,0,0,17,0,1,10,6,0,0,17,17,0,1,10,6,0,0,17
City,Pune,3,0,1,0,1,1,0,3,53,3,8,25,11,5,1,53,56,3,9,25,12,6,1,56
City,Rajkot,1,0,0,1,0,0,0,1,4,1,0,2,1,0,0,4,5,1,0,3,1,0,0,5
City,Surat,0,0,0,0,0,0,0,0,11,3,1,3,4,0,0,11,11,3,1,3,4,0,0,11
City,Vadodara,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,3,3,0,2,0,1,0,0,3
City,Varanasi,0,0,0,0,0,0,0,0,17,2,2,5,6,2,0,17,17,2,2,5,6,2,0,17
City,Vijayawada,0,0,0,0,0,0,0,0,25,3,10,6,4,2,0,25,25,3,10,6,4,2,0,25
City,Vishakhapatnam,0,0,0,0,0,0,0,0,13,0,0,5,8,0,0,13,13,0,0,5,8,0,0,13
City,Total (Cities),30,7,8,9,5,1,0,30,1231,90,177,432,423,110,1,1233,1261,97,185,441,428,111,1,1263
