Category,States/UTs,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. not Amounting to Murder - Male,C.H. not Amounting to Murder - Female,C.H. not Amounting to Murder - Total,Total Rape - Male,Total Rape - Female,Total Rape - Total,Custodial Rape - Male,Custodial Rape - Female,Custodial Rape - Total,Other Rape - Male,Other Rape - Female,Other Rape - Total,Kidnapping & Abduction Total - Male,Kidnapping & Abduction Total - Female,Kidnapping & Abduction Total - (Male + Female),Kidnapping & Abduction of Women & Girls - Male,Kidnapping & Abduction of Women & Girls - Female,Kidnapping & Abduction of Women & Girls - Total,Kidnapping & Abduction of Others - Male,Kidnapping & Abduction of Others - Female,Kidnapping & Abduction of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assessmbly for Dacoity - Male,Preparation & Assessmbly for Dacoity - Female,Preparation & Assessmbly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft Total - Male,Theft Total - Female,Theft Total - (Male + Female),Theft Auto Theft - Male,Theft Auto Theft - Female,Theft Auto Theft - Total,Theft Other Theft - Male,Theft Other Theft - Female,Theft Other Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach Of Trust - Male,Criminal Breach Of Trust - Female,Criminal Breach Of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowry Deaths - Male,Dowry Deaths - Female,Dowry Deaths - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty by Husband and Relatives - Male,Cruelty by Husband and Relatives - Female,Cruelty by Husband and Relatives - Total,Importation of Girls - Male,Importation of Girls - Female,Importation of Girls - Total,Causing Death by Negligence - Male,Causing Death by Negligence - Female,Causing Death by Negligence - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes under IPC - Male,Total Cognizable Crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of Female to Total
State,Andhra Pradesh,5644,253,5897,3568,107,3675,180,2,182,1128,22,1150,0,0,0,1128,22,1150,1523,170,1693,885,80,965,638,90,728,877,0,877,46,0,46,1151,16,1167,4862,92,4954,10044,441,10485,2611,45,2656,7433,396,7829,21110,1035,22145,656,14,670,4289,130,4419,214,11,225,1276,16,1292,54232,4406,58638,755,299,1054,3565,74,3639,2250,18,2268,7188,2537,9725,5,1,6,6493,15,6508,44646,3058,47704,175702,12717,188419,6.7
State,Arunachal Pradesh,97,4,101,52,1,53,4,0,4,51,0,51,0,0,0,51,0,51,97,2,99,59,1,60,38,1,39,68,0,68,4,0,4,123,0,123,216,3,219,525,4,529,23,0,23,502,4,506,241,0,241,18,0,18,22,1,23,10,0,10,12,0,12,514,14,528,0,0,0,95,0,95,3,0,3,9,0,9,0,0,0,0,0,0,761,14,775,2922,43,2965,1.5
State,Assam,2252,55,2307,675,2,677,77,0,77,924,4,928,0,0,0,924,4,928,2081,92,2173,1500,83,1583,581,9,590,1549,0,1549,66,0,66,1042,0,1042,3071,2,3073,6219,87,6306,546,2,548,5673,85,5758,10103,156,10259,452,1,453,708,5,713,66,0,66,748,8,756,7578,151,7729,85,10,95,1157,4,1161,11,0,11,1418,97,1515,0,0,0,1778,0,1778,10627,139,10766,52687,813,53500,1.5
State,Bihar,9135,134,9269,9844,81,9925,641,15,656,1399,1,1400,0,0,0,1399,1,1400,4406,64,4470,941,47,988,3465,17,3482,6007,0,6007,730,0,730,5550,0,5550,4364,0,4364,10555,37,10592,1234,1,1235,9321,36,9357,37136,604,37740,2195,16,2211,2827,46,2873,122,0,122,1120,5,1125,15321,411,15732,2344,555,2899,982,0,982,37,0,37,3141,697,3838,167,12,179,2194,7,2201,77494,1889,79383,197711,4574,202285,2.3
State,Chhattisgarh,1570,87,1657,1097,46,1143,69,0,69,1113,21,1134,0,0,0,1113,21,1134,275,5,280,218,5,223,57,0,57,374,5,379,94,0,94,444,5,449,2070,28,2098,3068,58,3126,685,2,687,2383,56,2439,5254,163,5417,162,2,164,479,13,492,10,0,10,302,24,326,7928,511,8439,146,17,163,2096,10,2106,193,1,194,1101,338,1439,0,0,0,629,0,629,20296,735,21031,48770,2069,50839,4.1
State,Goa,43,0,43,98,2,100,5,0,5,14,0,14,0,0,0,14,0,14,12,1,13,7,1,8,5,0,5,20,0,20,0,0,0,20,0,20,234,1,235,417,26,443,91,0,91,326,26,352,370,52,422,45,1,46,93,7,100,1,0,1,21,2,23,239,24,263,2,2,4,15,0,15,8,0,8,23,13,36,0,0,0,169,3,172,831,84,915,2680,218,2898,7.5
State,Gujarat,2445,188,2633,2039,86,2125,162,2,164,396,5,401,0,0,0,396,5,401,1268,134,1402,945,118,1063,323,16,339,1441,23,1464,108,0,108,1186,21,1207,2996,52,3048,7802,358,8160,1975,30,2005,5827,328,6155,12106,861,12967,2036,196,2232,2442,121,2563,116,2,118,649,27,676,26297,2380,28677,161,77,238,1004,29,1033,147,0,147,7265,2927,10192,0,0,0,2482,9,2491,67490,3715,71205,142038,11213,153251,7.3
State,Haryana,1777,102,1879,1272,39,1311,193,7,200,521,18,539,0,0,0,521,18,539,606,32,638,274,24,298,332,8,340,308,0,308,751,0,751,787,1,788,2576,8,2584,4339,69,4408,1760,1,1761,2579,68,2647,4029,183,4212,512,8,520,1201,18,1219,61,0,61,258,6,264,12652,597,13249,553,181,734,558,9,567,473,7,480,2198,936,3134,0,0,0,792,2,794,21025,312,21337,57442,2535,59977,4.2
State,Himachal Pradesh,164,15,179,166,17,183,33,0,33,137,15,152,0,0,0,137,15,152,101,7,108,67,7,74,34,0,34,16,0,16,0,0,0,64,0,64,375,24,399,424,12,436,71,0,71,353,12,365,2817,448,3265,79,4,83,125,6,131,6,0,6,117,11,128,2129,305,2434,13,2,15,420,11,431,18,0,18,455,193,648,0,0,0,353,2,355,7195,938,8133,15207,2010,17217,11.7
State,Jammu & Kashmir,533,2,535,1084,9,1093,54,0,54,219,3,222,0,0,0,219,3,222,639,22,661,611,22,633,28,0,28,26,0,26,0,0,0,160,0,160,506,0,506,1985,29,2014,247,0,247,1738,29,1767,4125,512,4637,129,0,129,423,4,427,21,0,21,135,0,135,632,34,666,30,10,40,1015,19,1034,367,0,367,92,18,110,0,0,0,240,0,240,10247,1099,11346,22662,1761,24423,7.2
State,Jharkhand,2062,239,2301,1901,76,1977,167,5,172,480,157,637,0,0,0,480,157,637,410,59,469,270,48,318,140,11,151,995,0,995,160,0,160,784,1,785,696,8,704,3741,99,3840,655,0,655,3086,99,3185,8564,497,9061,260,14,274,773,22,795,34,0,34,219,0,219,4138,983,5121,385,172,557,358,26,384,42,4,46,811,132,943,8,0,8,207,13,220,10973,932,11905,38168,3439,41607,8.3
State,Karnataka,2888,237,3125,3874,171,4045,134,4,138,352,9,361,0,0,0,352,9,361,606,44,650,271,35,306,335,9,344,600,4,604,223,0,223,864,7,871,2517,62,2579,4864,166,5030,904,6,910,3960,160,4120,34321,2036,36357,468,8,476,1218,72,1290,123,2,125,564,8,572,42578,3071,45649,292,130,422,2307,94,2401,71,0,71,2543,870,3413,0,0,0,64,1,65,49641,2042,51683,151112,9038,160150,5.6
State,Kerala,816,52,868,2429,20,2449,184,0,184,702,10,712,0,0,0,702,10,712,239,4,243,112,2,114,127,2,129,722,3,725,51,13,64,596,6,602,2037,29,2066,3871,105,3976,880,0,880,2991,105,3096,39852,694,40546,360,10,370,2270,157,2427,135,1,136,485,5,490,27332,1238,28570,43,12,55,2285,32,2317,127,0,127,3517,771,4288,0,0,0,0,0,0,55441,866,56307,143494,4028,147522,2.7
State,Madhya Pradesh,4647,231,4878,8277,283,8560,194,10,204,3152,60,3212,0,0,0,3152,60,3212,1408,72,1480,853,64,917,555,8,563,812,0,812,668,0,668,2330,23,2353,7118,216,7334,9258,235,9493,1741,0,1741,7517,235,7752,21364,535,21899,539,8,547,1896,46,1942,24,2,26,1562,35,1597,55094,2869,57963,1084,419,1503,8134,62,8196,1120,3,1123,5370,1785,7155,0,0,0,2953,5,2958,136904,4386,141290,273908,11285,285193,4
State,Maharashtra,5746,706,6452,5313,263,5576,188,17,205,1815,71,1886,0,0,0,1815,71,1886,1509,140,1649,904,118,1022,605,22,627,3356,45,3401,1611,12,1623,3347,25,3372,11958,276,12234,24523,1038,25561,3423,31,3454,21100,1007,22107,55383,4537,59920,2006,84,2090,5077,232,5309,200,9,209,1659,40,1699,55141,5065,60206,700,309,1009,3347,38,3385,1314,0,1314,14614,6326,20940,10,1,11,7815,19,7834,49983,4334,54317,256615,23587,280202,8.4
State,Manipur,70,0,70,52,0,52,6,1,7,17,0,17,0,0,0,17,0,17,76,3,79,55,3,58,21,0,21,6,0,6,21,0,21,34,0,34,24,0,24,108,8,116,16,0,16,92,8,100,97,5,102,16,0,16,31,1,32,28,6,34,5,0,5,99,3,102,0,0,0,12,0,12,0,0,0,4,0,4,0,0,0,7,0,7,753,32,785,1466,59,1525,3.9
State,Meghalaya,140,8,148,32,0,32,1,0,1,29,0,29,0,0,0,29,0,29,47,2,49,7,2,9,40,0,40,185,0,185,4,0,4,99,0,99,115,0,115,239,3,242,10,0,10,229,3,232,18,0,18,16,1,17,19,1,20,10,0,10,22,0,22,107,1,108,0,0,0,13,0,13,0,0,0,2,1,3,0,0,0,0,0,0,519,9,528,1617,26,1643,1.6
State,Mizoram,33,0,33,14,0,14,6,1,7,62,2,64,0,0,0,62,2,64,6,2,8,4,1,5,2,1,3,6,0,6,0,0,0,12,0,12,319,1,320,790,6,796,18,1,19,772,5,777,0,0,0,33,3,36,63,9,72,14,1,15,23,0,23,169,21,190,0,0,0,57,1,58,0,0,0,0,0,0,0,0,0,0,0,0,692,12,704,2299,59,2358,2.5
State,Nagaland,47,0,47,46,0,46,5,0,5,22,6,28,0,0,0,22,6,28,26,0,26,9,0,9,17,0,17,9,0,9,0,0,0,109,0,109,129,2,131,196,8,204,24,0,24,172,8,180,0,0,0,22,0,22,29,3,32,0,0,0,6,0,6,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,399,18,417,1092,37,1129,3.3
State,Orissa,1500,122,1622,1994,26,2020,64,0,64,875,12,887,0,0,0,875,12,887,642,19,661,538,17,555,104,2,106,879,14,893,124,0,124,1166,1,1167,2742,12,2754,5365,49,5414,401,0,401,4964,49,5013,8242,386,8628,381,0,381,682,7,689,12,0,12,419,11,430,6178,294,6472,438,165,603,2257,21,2278,538,1,539,1571,401,1972,0,0,0,1530,0,1530,29376,1225,30601,66975,2766,69741,4
State,Punjab,1148,95,1243,1771,85,1856,139,9,148,431,28,459,0,0,0,431,28,459,517,94,611,300,69,369,217,25,242,118,0,118,423,2,425,191,0,191,1569,44,1613,1996,67,2063,639,2,641,1357,65,1422,6,0,6,453,12,465,3440,252,3692,88,2,90,113,0,113,9337,294,9631,303,147,450,452,10,462,57,0,57,2030,716,2746,0,0,0,1761,4,1765,10914,676,11590,37257,2537,39794,6.4
State,Rajasthan,2345,197,2542,4381,223,4604,94,5,99,1126,21,1147,0,0,0,1126,21,1147,1889,76,1965,1196,65,1261,693,11,704,286,0,286,208,0,208,1040,6,1046,3308,68,3376,6581,161,6742,1442,1,1443,5139,160,5299,29906,3417,33323,355,9,364,2315,90,2405,69,4,73,1043,35,1078,43432,3372,46804,528,194,722,3249,33,3282,58,0,58,5227,1855,7082,2,0,2,3625,2,3627,72957,6188,79145,184024,15956,199980,8
State,Sikkim,28,1,29,12,0,12,4,0,4,6,0,6,0,0,0,6,0,6,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,1,0,1,29,0,29,81,2,83,0,0,0,81,2,83,9,0,9,1,0,1,9,0,9,0,0,0,2,0,2,37,10,47,0,0,0,0,0,0,15,3,18,0,0,0,0,0,0,4,0,4,147,3,150,392,19,411,4.6
State,Tamil Nadu,3989,266,4255,7087,305,7392,47,0,47,565,0,565,0,0,0,565,0,565,1174,71,1245,752,56,808,422,15,437,570,4,574,42,0,42,922,2,924,4053,57,4110,12669,558,13227,2794,20,2814,9875,538,10413,28138,3127,31265,223,5,228,1284,44,1328,120,1,121,994,24,1018,32902,3131,36033,2162,104,2266,2267,16,2283,1229,0,1229,1167,378,1545,12,0,12,9151,336,9487,78464,8930,87394,189231,17359,206590,8.4
State,Tripura,354,6,360,35,0,35,0,0,0,139,0,139,0,0,0,139,0,139,204,0,204,43,0,43,161,0,161,56,0,56,0,0,0,79,1,80,188,16,204,248,1,249,2,0,2,246,1,247,299,10,309,11,0,11,32,3,35,6,0,6,29,0,29,399,13,412,84,10,94,62,0,62,0,0,0,224,28,252,0,0,0,16,0,16,894,18,912,3359,106,3465,3.1
State,Uttar Pradesh,17562,235,17797,16529,80,16609,2728,17,2745,2674,11,2685,0,0,0,2674,11,2685,7195,279,7474,4046,249,4295,3149,30,3179,3077,4,3081,199,0,199,4767,11,4778,4778,2,4780,16489,127,16616,2064,1,2065,14425,126,14551,36164,477,36641,2832,12,2844,6173,36,6209,280,0,280,1258,1,1259,42055,862,42917,4900,1405,6305,3957,3,3960,3868,93,3961,16143,3684,19827,0,0,0,6938,1,6939,104584,1565,106149,305150,8905,314055,2.8
State,Uttaranchal,521,21,542,470,14,484,56,1,57,81,1,82,0,0,0,81,1,82,264,8,272,146,7,153,118,1,119,118,0,118,13,0,13,316,0,316,268,4,272,870,19,889,154,3,157,716,16,732,1918,108,2026,160,0,160,376,2,378,3,0,3,26,0,26,1494,62,1556,116,45,161,148,2,150,130,7,137,656,90,746,0,0,0,365,0,365,3252,115,3367,11621,499,12120,4.1
State,West Bengal,3533,115,3648,706,27,733,889,24,913,1026,1,1027,0,0,0,1026,1,1027,1580,71,1651,1266,65,1331,314,6,320,1693,4,1697,1561,0,1561,1168,0,1168,505,2,507,11445,330,11775,2094,2,2096,9351,328,9679,13636,746,14382,476,8,484,1013,8,1021,87,0,87,349,8,357,5315,134,5449,589,136,725,1163,0,1163,56,0,56,5792,853,6645,2,0,2,2280,0,2280,32670,1421,34091,87534,3888,91422,4.3
State,Total (States),71089,3371,74460,74818,1963,76781,6324,120,6444,19456,478,19934,0,0,0,19456,478,19934,28807,1473,30280,16279,1189,17468,12528,284,12812,24174,106,24280,7107,27,7134,28352,126,28478,63623,1009,64632,148712,4103,152815,26504,148,26652,122208,3955,126163,375208,20589,395797,14896,416,15312,39309,1336,40645,1860,41,1901,13416,266,13682,453364,30256,483620,15713,4401,20114,40975,494,41469,12132,137,12269,82561,25646,108207,206,14,220,51858,419,52277,899175,44755,943930,2473135,141546,2614681,5.4
Union Territory,A & N Islands,12,2,14,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,35,1,36,42,0,42,5,0,5,37,0,37,46,8,54,11,0,11,6,0,6,1,0,1,2,0,2,113,14,127,0,0,0,19,0,19,1,0,1,6,1,7,0,0,0,0,0,0,304,38,342,607,64,671,9.5
Union Territory,Chandigarh,30,2,32,22,0,22,15,0,15,31,1,32,0,0,0,31,1,32,52,1,53,42,1,43,10,0,10,22,0,22,0,0,0,41,0,41,175,7,182,595,33,628,71,0,71,524,33,557,355,13,368,19,0,19,180,10,190,2,0,2,1,0,1,163,25,188,6,1,7,33,0,33,16,1,17,28,5,33,0,0,0,3,1,4,928,46,974,2717,146,2863,5.1
Union Territory,D & N Haveli,9,0,9,7,2,9,0,0,0,10,0,10,0,0,0,10,0,10,14,0,14,3,0,3,11,0,11,0,0,0,0,0,0,3,0,3,33,5,38,54,0,54,10,0,10,44,0,44,24,1,25,26,0,26,8,3,11,1,0,1,3,0,3,44,2,46,0,0,0,7,0,7,0,0,0,3,1,4,0,0,0,0,0,0,248,6,254,494,20,514,3.9
Union Territory,Daman & Diu,9,1,10,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,2,0,2,5,0,5,6,0,6,0,0,0,0,0,0,15,0,15,30,0,30,14,0,14,16,0,16,82,19,101,7,0,7,13,0,13,5,0,5,1,0,1,24,1,25,0,0,0,0,0,0,0,0,0,7,6,13,0,0,0,0,0,0,98,5,103,311,32,343,9.3
Union Territory,Delhi,692,56,748,854,28,882,133,3,136,438,16,454,0,0,0,438,16,454,494,32,526,274,24,298,220,8,228,192,1,193,295,1,296,992,2,994,1922,15,1937,8302,111,8413,3391,3,3394,4911,108,5019,880,157,1037,257,6,263,1761,135,1896,68,0,68,22,2,24,3141,165,3306,187,69,256,636,14,650,105,2,107,939,261,1200,0,0,0,265,6,271,21919,1444,23363,44494,2526,47020,5.4
Union Territory,Lakshadweep,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,15,1,16,6.3
Union Territory,Pondicherry,46,2,48,136,2,138,0,0,0,13,0,13,0,0,0,13,0,13,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,5,0,5,54,2,56,225,3,228,87,0,87,138,3,141,945,39,984,11,0,11,26,0,26,2,0,2,20,1,21,1230,43,1273,2,2,4,63,3,66,45,0,45,2,1,3,0,0,0,154,0,154,2177,175,2352,5159,273,5432,5
