Category,States/ UTs,Age Groups - 18-25 Years,Age Groups - 25-35 Years,Age Groups - 35-45 Years,Age Groups - 45-55 Years,Age Groups - Above 55 Years,Age Groups - Total
State,Andhra Pradesh,8,26,25,11,0,70
State,Arunachal Pradesh,0,0,1,0,0,1
State,Assam,2,12,13,5,2,34
State,Bihar,1,5,4,4,0,14
State,Chhattisgarh,0,4,7,8,0,19
State,Goa,0,0,1,0,0,1
State,Gujarat,2,13,16,7,0,38
State,Haryana,0,4,8,4,0,16
State,Himachal Pradesh,0,0,2,0,0,2
State,Jammu & Kashmir,52,67,24,7,0,150
State,Jharkhand,2,22,8,12,0,44
State,Karnataka,0,2,8,4,0,14
State,Kerala,0,1,1,2,0,4
State,Madhya Pradesh,0,4,1,5,0,10
State,Maharashtra,6,25,20,17,1,69
State,Manipur,0,2,2,0,0,4
State,Meghalaya,0,8,6,0,0,14
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,0,7,3,1,0,11
State,Punjab,10,33,21,30,1,95
State,Rajasthan,2,12,9,3,0,26
State,Sikkim,0,0,1,1,0,2
State,Tamil Nadu,3,7,11,13,0,34
State,Tripura,5,8,3,1,0,17
State,Uttar Pradesh,2,11,21,18,5,57
State,Uttaranchal,0,4,3,0,0,7
State,West Bengal,0,9,5,3,1,18
State,Total (States),95,286,224,156,10,771
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,3,0,0,3
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,7,25,18,4,0,54
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0
Union Territory,Total (UTs),7,25,21,4,0,57
Total (All-India),Total (All-India),102,311,245,160,10,828
