Category,States/UTs,Population,Murder - Incidence,Murder - Rate,Murder - Percentage Contribution,Infanticide - Incidence,Infanticide - Rate,Infanticide - Percentage Contribution,Other Murder - Incidence,Other Murder - Rate,Other Murder - Percentage Contribution,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Foeticide - Incidence,Foeticide - Rate,Foeticide - Percentage Contribution,Abetment of Suicide - Incidence,Abetment of Suicide - Rate,Abetment of Suicide - Percentage Contribution,Exposure and Abandonment - Incidence,Exposure and Abandonment - Rate,Exposure and Abandonment - Percentage Contribution,Procuration Minor Girl - Incidence,Procuration Minor Girl - Rate,Procuration Minor Girl - Percentage Contribution,Buying of Girls for Prostitution - Incidence,Buying of Girls for Prostitution - Rate,Buying of Girls for Prostitution - Percentage Contribution,Selling of Girls for Prostitution - Incidence,Selling of Girls for Prostitution - Rate,Selling of Girls for Prostitution - Percentage Contribution,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Child Marriage Restraint Act - Percentage Contribution,Other Crime - Incidence,Other Crime - Rate,Other Crime - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Andhra Pradesh,757.28,35,0,3,1,0,0.8,34,0,3.3,84,0.1,4,57,0.1,2,0,0,0,7,0,26.9,22,0,3.2,12,0,8.7,0,0,0,0,0,0,6,0,7.1,47,0.1,1.3,270,0.4,2.5
State,Arunachal Pradesh,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,266.38,0,0,0,0,0,0,0,0,0,0,0,0,18,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.1,0.2
State,Bihar,828.79,2,0,0.2,0,0,0,2,0,0.2,16,0,0.8,26,0,0.9,0,0,0,0,0,0,1,0,0.1,16,0,11.6,1,0,16.7,1,0,12.5,2,0,2.4,18,0,0.5,83,0.1,0.8
State,Chhattisgarh,207.96,14,0.1,1.2,6,0,4.5,8,0,0.8,150,0.7,7.1,46,0.2,1.6,5,0,9.1,1,0,3.8,15,0.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,354,1.7,9.6,585,2.8,5.4
State,Goa,13.44,1,0.1,0.1,0,0,0,1,0.1,0.1,10,0.7,0.5,6,0.4,0.2,0,0,0,0,0,0,3,0.2,0.4,2,0.1,1.4,NA,NA,NA,0,0,0,0,0,0,12,0.9,0.3,34,2.5,0.3
State,Gujarat,505.97,78,0.2,6.6,1,0,0.8,77,0.2,7.4,39,0.1,1.8,120,0.2,4.2,4,0,7.3,0,0,0,112,0.2,16.5,18,0,13,0,0,0,0,0,0,11,0,12.9,190,0.4,5.2,572,1.1,5.3
State,Haryana,210.83,31,0.1,2.6,0,0,0,31,0.1,3,108,0.5,5.1,124,0.6,4.4,3,0,5.5,0,0,0,16,0.1,2.4,5,0,3.6,0,0,0,2,0,25,0,0,0,74,0.4,2,363,1.7,3.4
State,Himachal Pradesh,60.77,5,0.1,0.4,0,0,0,5,0.1,0.5,35,0.6,1.7,20,0.3,0.7,0,0,0,0,0,0,15,0.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1,0.2,82,1.3,0.8
State,Jammu & Kashmir,100.7,2,0,0.2,0,0,0,2,0,0.2,6,0.1,0.3,15,0.1,0.5,0,0,0,0,0,0,4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0.3,0.3
