Category,States/UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,P.C.R. Act - Total,P.C.R. Act - For SCs,P.C.R. Act - For STs,Indian Passport Act,Essential Commodidties Act,TADA Act,AntiquIty & Art Treassure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act - Total,SC/ST (P) of Atrocities Act For SCs,SC/ST (P) of Atrocities Act - For SCs,Forest Act,Other SLL Crimes,Total Cog. Crimes under SLL
State,Andhra Pradesh,14.2,13.1,98.8,50.4,52.9,10.4,82,47.4,0,26.8,27.3,18.2,6.7,100,0,0,18.1,0,98.5,40.8,NA,8.7,9.4,0,38.5,65.5,67.1
State,Arunachal Pradesh,75,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.7
State,Assam,28.5,42.7,23.7,52.2,50,11.8,40,28.6,50,NA,NA,NA,66.7,30,31.8,NA,50,NA,NA,NA,NA,NA,NA,NA,42.9,17.9,26.6
State,Bihar,32.8,32.7,45.3,44,0,32.7,16.7,28.9,0,11.8,11.8,NA,40,30.4,NA,20,31.3,0,42.9,0,NA,31.4,31.5,0,42.1,36.6,36
State,Chhattisgarh,35.4,59.6,97.5,96.6,NA,93.2,66.7,100,0,33.3,33.3,33.3,NA,50,NA,NA,41.7,NA,NA,81.5,NA,30.6,30.8,30.4,75,81.4,83.8
State,Goa,8.3,94,84.7,100,NA,0,97,NA,87.5,0,0,NA,NA,0,NA,0,NA,NA,NA,25,NA,0,0,NA,NA,80.6,83
State,Gujarat,2.7,25.2,38,NA,5.2,12.9,77.8,94.1,NA,0,0,0,100,21.1,NA,NA,0,33.3,100,3.8,NA,0.3,0.6,0,0,59.3,23.6
State,Haryana,35.6,16.3,78.1,39.1,NA,40,11.1,80.7,66.7,100,100,NA,100,20.8,100,NA,NA,0,NA,22.2,NA,6.7,6.7,NA,0,16.6,40.7
State,Himachal Pradesh,14.7,15.1,34.4,3.6,NA,0,NA,NA,81.8,0,0,NA,NA,8.3,NA,NA,0,0,NA,0,NA,7.1,7.1,NA,7.2,20,6.8
State,Jammu & Kashmir,2.5,0,87.2,68.7,NA,3.8,0,NA,71.4,NA,NA,NA,100,6.2,0,NA,0,NA,NA,0,NA,NA,NA,NA,47.1,53.4,18.1
State,Jharkhand,37.8,59.5,65.5,37.5,NA,34.4,33.3,0,NA,NA,NA,NA,NA,30.4,NA,NA,20.9,NA,NA,60,NA,28.6,28.6,NA,58.3,14.3,35.8
State,Karnataka,7.8,3.1,82.8,42,NA,10,90.2,16.7,66.7,4,4.4,0,33.3,2.7,0,0,4.7,NA,NA,12,NA,8.1,8.5,3.2,10.8,62.2,65.5
State,Kerala,11.3,76.1,93.1,43.6,42.2,10.4,28.2,25,45.5,0,0,NA,50,21.4,NA,NA,0,0,26.1,29.2,NA,1.3,1.5,0,NA,88.6,83.7
State,Madhya Pradesh,39.1,48.1,95.6,93.4,NA,52.3,53.1,99.2,0,12.2,8.5,100,50,30.8,NA,NA,73.2,0,NA,49.1,NA,39.5,47.1,32.7,46.2,97.9,94.7
State,Maharashtra,9.3,12.3,20.6,NA,7.1,11.3,62.5,99,100,0.4,0.4,NA,88.9,2,NA,0,25,0,0,15,NA,1,0,3.7,0,32.9,25
State,Manipur,NA,91.7,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.7,91.3
State,Meghalaya,9.1,0,81.3,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4,59.2
State,Mizoram,90,100,100,NA,89.8,NA,100,NA,99.4,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.1,94.5
State,Nagaland,83.3,95.5,NA,100,100,60,100,100,66.7,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6,89.9
State,Orissa,25.1,18.2,68.4,50.6,0,9.1,23.1,0,NA,0,0,NA,NA,10.5,NA,NA,7.8,NA,NA,0,NA,9.8,9.5,10.9,0,38,40.9
State,Punjab,59.3,21.5,83.1,71.7,NA,50,50,85.1,100,0,0,NA,53.2,20.9,NA,NA,33.3,NA,50,31.3,NA,0,0,NA,NA,74.5,67.9
State,Rajasthan,70.7,23,94.6,86.7,NA,77,66.7,96.9,70,50,50,NA,29.1,50.4,NA,NA,NA,50,66.7,71.4,NA,25.8,26.8,22.9,82.6,76.2,79.1
State,Sikkim,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
State,Tamil Nadu,25.7,81.6,99.3,NA,87.8,77.9,99.6,71.9,100,52.5,52.5,NA,46.2,83.3,NA,NA,54.8,NA,90.9,75.9,NA,17.1,17.1,NA,NA,94.6,90.5
State,Tripura,29.6,66.7,40,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,29.2
State,Uttar Pradesh,70.7,66,77.4,77.2,NA,59.9,88.6,99.6,66.7,53.7,53.7,NA,66.7,38.5,100,NA,52,NA,80,75,NA,51.5,51.7,41.7,78.5,86.2,83.9
State,Uttaranchal,85.2,64.1,93,95,100,100,100,100,100,NA,NA,NA,NA,100,NA,NA,100,NA,NA,55.6,NA,40.4,38.3,60,75.7,99,97.9
State,West Bengal,11,20.8,60.9,88,NA,11.7,0,100,56.5,NA,NA,NA,50,7.8,NA,NA,0,NA,NA,23,NA,0,0,NA,NA,99.5,99.3
State,Total (States),60,51.9,85.1,68.9,55.7,51.3,93,98.5,65.2,24.7,24.9,17.2,41.6,19.6,29.2,7.1,29.9,21.1,95.6,49.5,0,32.7,34.7,21.6,71.3,85.5,80
