Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
Arms Act,64645,127,64772,99.8,0.2
Narcotic Drugs & Psychotropic Substances Act,25517,1308,26825,95.1,4.9
Gambling Act,310451,735,311186,99.8,0.2
Excise Act,117983,7570,125553,94,6
Prohibition Act,420068,107407,527475,79.6,20.4
Explosive & Explosive Substances Act,6001,24,6025,99.6,0.4
Immoral Traffic (P) Act,2560,10263,12823,20,80
Indian Railways Act,66998,3169,70167,95.5,4.5
Registration of foreigners Act,2461,294,2755,89.3,10.7
Protection of Civil Rights Act - Total,1067,98,1165,91.6,8.4
Protection of Civil Rights Act - (i) PCR Act for SCs,1011,90,1101,91.8,8.2
Protection of Civil Rights Act - (ii) PCR Act for STs,56,8,64,87.5,12.5
Indian Passport Act,547,109,656,83.4,16.6
Essential Commodities Act,6379,41,6420,99.4,0.6
Terrorist & Disruptive Activities Act,15,0,15,100,0
Antiquity & Art Treasure Act,41,0,41,100,0
Dowry Prohibition Act,5695,1361,7056,80.7,19.3
Child Marriage Restraint Act,221,60,281,78.6,21.4
Indecent Representation of Women (P) Act,240,454,694,34.6,65.4
Copyrights Act,3810,23,3833,99.4,0.6
Sati Prevention Act,0,0,0,0,0
SC/ST (prevention of Atrocities) Act - Total,27492,916,28408,96.8,3.2
SC/ST (prevention of Atrocities) Act - (i) Attrocities Act for SCs,24990,818,25808,96.8,3.2
SC/ST (prevention of Atrocities) Act - (ii) Attrocities Act for STs,2502,98,2600,96.2,3.8
Forest Act,10416,34,10450,99.7,0.3
Other SLL Crimes,2884936,40195,2925131,98.6,1.4
Total Cognizable Crimes under SLL,3957543,174188,4131731,95.8,4.2
