Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Andhra Pradesh,21.1,26.7,15.6,21.2,NA,21.2,10.2,11.4,8.8,22.7,0,29.2,45.7,46.6,43.6,47.1,15.9,15.5,20.7,15.2,22.5,37.1,21.2,25.6,73.1,20.5,NA,34.9,45.5,37.8
State,Arunachal Pradesh,62.5,66.7,NA,66.7,NA,66.7,44.4,44.4,NA,0,NA,65.6,72,62.1,100,61.2,50,0,77.8,NA,33.3,49.4,NA,82.4,100,100,NA,NA,49.1,56.1
State,Assam,32.8,25,25.8,23.2,NA,23.2,17.6,17.3,20.5,20.5,20,20.1,21.9,24.6,33.3,24.4,10.2,27.3,22.8,20,17.7,18.4,38.1,17,33.3,14.1,NA,19.6,17.3,19.7
State,Bihar,26.5,22.8,26.9,27.6,NA,27.6,24.8,25.6,24.5,25.5,28.1,28.3,24.2,26,33.3,25.5,24.6,27.1,25.2,20,24,31.6,36.6,33.6,32,29.4,16.7,32.6,18.9,23.1
State,Chhattisgarh,45.5,40.2,34.1,23.3,NA,23.3,21.6,25,10,17.2,16.7,22.8,33.4,32.6,53.4,29.9,52,31.6,33,50,17.5,74.7,32.6,54.5,61.3,33,NA,69,66.4,55.3
State,Goa,30.5,39.1,0,50,NA,50,22.2,22.7,20,18.2,NA,22.2,16.6,18.4,19.6,18.2,8.2,17.8,14.5,25,7.3,14.8,33.3,20,10,4.8,NA,10.6,22.8,18.8
State,Gujarat,17.9,6.9,0,14.8,NA,14.8,9.5,9.1,12.2,7.6,20,13.9,17.4,14.5,17.6,14,16,10.3,5.5,12.5,3.5,11.7,4.5,6.4,12,3.2,NA,11.9,32.7,24.7
State,Haryana,31.2,20.5,18.2,24.4,0,24.5,24.2,20.7,31.7,25,27.4,20.7,33.1,30.2,26.5,31.3,6.2,12.6,12.6,11.8,12.8,14,17.2,23.6,86.3,8.3,NA,17.8,46.4,31.9
State,Himachal Pradesh,34.1,30.1,30,28.6,NA,28.6,7.5,9.1,0,0,NA,14.3,15.9,27.2,15.2,29.9,33.7,25.5,21.3,33.3,3,12.3,0,13,22.2,4.5,NA,13.2,24.1,21.8
State,Jammu & Kashmir,11,3.7,0,6.7,NA,6.7,0.4,0,3.6,20,NA,0,10.4,8,2.6,8.4,3.3,0,5.4,0,0,5.8,0,10.4,29.5,0,NA,17.9,60.3,41
