Category,States/UTs,Incidence,Percentage Contribution to All-India Total,Population (in Lakhs)@,Rate of Total Cognizable Crimes,Rank per Rate of Total Cognizable Crimes,Rank per Percentage Contribution to All-India
State,Andhra Pradesh,270,2.5,757.28,0.4,18,8
State,Arunachal Pradesh,0,0,10.91,0,NA,NA
State,Assam,18,0.2,266.38,0.1,26,23
State,Bihar,83,0.8,828.79,0.1,24,13
State,Chhattisgarh,585,5.4,207.96,2.8,3,5
State,Goa,34,0.3,13.44,2.5,4,21
State,Gujarat,572,5.3,505.97,1.1,11,6
State,Haryana,363,3.4,210.83,1.7,7,7
State,Himachal Pradesh,82,0.8,60.77,1.3,10,14
State,Jammu & Kashmir,28,0.3,100.7,0.3,19,22
State,Jharkhand,41,0.4,269.09,0.2,22,20
State,Karnataka,72,0.7,527.34,0.1,23,15
State,Kerala,247,2.3,318.39,0.8,13,9
State,Madhya Pradesh,1425,13.2,603.85,2.4,5,3
State,Maharashtra,1621,15,967.52,1.7,8,2
State,Manipur,0,0,23.89,0,NA,NA
State,Meghalaya,0,0,23.06,0,NA,NA
State,Mizoram,0,0,8.91,0,NA,NA
State,Nagaland,0,0,19.89,0,NA,NA
State,Orissa,68,0.6,367.07,0.2,21,16
State,Punjab,123,1.1,242.89,0.5,16,12
State,Rajasthan,218,2,564.73,0.4,17,10
State,Sikkim,5,0,5.4,0.9,12,25
State,Tamil Nadu,61,0.6,621.11,0.1,25,17
State,Tripura,0,0,31.91,0,NA,NA
State,Uttar Pradesh,3709,34.3,1660.53,2.2,6,1
State,Uttaranchal,46,0.4,84.8,0.5,14,19
State,West Bengal,167,1.5,802.21,0.2,20,11
State,Total (States),9838,91,10105.62,1,NA,NA
Union Territory,A & N Islands,0,0,3.56,0,NA,NA
Union Territory,Chandigarh,58,0.5,9.01,6.4,2,18
Union Territory,D & N Haveli,0,0,2.2,0,NA,NA
Union Territory,Daman & Diu,0,0,1.58,0,NA,NA
Union Territory,Delhi,912,8.4,137.83,6.6,1,4
Union Territory,Lakshadweep,1,0,0.61,1.6,9,26
Union Territory,Pondicherry,5,0,9.74,0.5,15,24
Union Territory,Total (UTs),976,9,164.53,5.9,NA,NA
Total (All-India),Total (All-India),10814,100,10270.15,1.1,NA,NA
